"Common_n","Iteration","Group","N_OTUs_tested","Fraction_nonuniform_P","Fraction_nonuniform_Q","Fraction_nonnormal_P","Fraction_nonnormal_Q","Median_IOD","Mean_IOD","Median_occupancy","Fraction_transient","Fraction_low_occupancy","Fraction_high_or_persistent"
12,1,"D0",2345,0.12409381663113,0.0665245202558635,0.235820895522388,0,0.793239921177867,0.826843702887436,0.833333333333333,0.14498933901919,0.14498933901919,0.70362473347548
12,1,"D1",2995,0.218697829716194,0.118530884808013,0.376627712854758,0.265108514190317,0.778151250383644,0.812766957706897,0.5,0.306176961602671,0.306176961602671,0.469449081803005
12,1,"D3",1139,0.251975417032485,0.182616330114135,0.656716417910448,0.593503072870939,0.49008623188403,0.644247826909434,0.25,0.593503072870939,0.593503072870939,0.230026338893766
12,1,"D5",731,0.414500683994528,0.344733242134063,0.623803009575923,0.574555403556772,0.581856605239676,0.835761138234025,0.25,0.571819425444596,0.571819425444596,0.231190150478796
12,1,"D6",743,0.491251682368775,0.432032301480485,0.73485868102288,0.686406460296097,0.602059991327962,0.884409375553767,0.166666666666667,0.660834454912517,0.660834454912517,0.141318977119785
12,1,"D7",535,0.601869158878505,0.598130841121495,0.837383177570094,0.818691588785047,0.602059991327962,0.931123459190639,0.0833333333333333,0.785046728971963,0.785046728971963,0.0953271028037383
12,2,"D0",2346,0.127877237851662,0.0673486786018755,0.233162830349531,0,0.79022955512979,0.82558846168547,0.833333333333333,0.140664961636829,0.140664961636829,0.700341005967604
12,2,"D1",2999,0.209069689896632,0.11137045681894,0.372790930310103,0.260420140046682,0.778151250383644,0.808585866085219,0.5,0.297432477492498,0.297432477492498,0.467822607535845
12,2,"D3",1158,0.253886010362694,0.171848013816926,0.649395509499136,0.582037996545769,0.49008623188403,0.648044517218277,0.25,0.582037996545769,0.582037996545769,0.240932642487047
12,2,"D5",730,0.343835616438356,0.293150684931507,0.632876712328767,0.568493150684932,0.502675359192051,0.796054583355272,0.25,0.56027397260274,0.56027397260274,0.249315068493151
12,2,"D6",658,0.483282674772036,0.433130699088146,0.699088145896657,0.658054711246201,0.632549313475863,0.880318563303421,0.166666666666667,0.644376899696049,0.644376899696049,0.171732522796353
12,2,"D7",533,0.568480300187617,0.562851782363977,0.844277673545966,0.831144465290807,0.581856605239676,0.959327767835039,0.166666666666667,0.793621013133208,0.793621013133208,0.0881801125703565
12,3,"D0",2343,0.127614169867691,0.0682885189927444,0.252240717029449,0,0.784340825201341,0.830850919456218,0.833333333333333,0.129748186086214,0.129748186086214,0.708066581306018
12,3,"D1",3009,0.206713193752077,0.116317713526088,0.375872382851446,0.266201395812562,0.778151250383644,0.805403041733748,0.5,0.30309072781655,0.30309072781655,0.463276836158192
12,3,"D3",1121,0.247992863514719,0.177520071364853,0.655664585191793,0.577163247100803,0.477121254719662,0.647439957777148,0.25,0.579839429081177,0.579839429081177,0.241748438893845
12,3,"D5",772,0.422279792746114,0.345854922279793,0.637305699481865,0.566062176165803,0.632549313475863,0.861892183000792,0.25,0.560880829015544,0.560880829015544,0.234455958549223
12,3,"D6",748,0.512032085561497,0.489304812834225,0.713903743315508,0.675133689839572,0.602059991327962,0.870756055176158,0.166666666666667,0.657754010695187,0.657754010695187,0.157754010695187
12,3,"D7",451,0.498891352549889,0.496674057649667,0.838137472283814,0.813747228381375,0.477121254719662,0.865816989459958,0.166666666666667,0.76940133037694,0.76940133037694,0.0931263858093126
12,4,"D0",2347,0.126970600766937,0.0685982104814657,0.232211333617384,0,0.791696447383016,0.82501411322701,0.833333333333333,0.143587558585428,0.143587558585428,0.701746910950149
12,4,"D1",2990,0.188294314381271,0.0979933110367893,0.369230769230769,0.2561872909699,0.778151250383644,0.798724701346879,0.5,0.294983277591973,0.294983277591973,0.486622073578595
12,4,"D3",1101,0.244323342415985,0.173478655767484,0.63669391462307,0.5858310626703,0.49008623188403,0.65094201924777,0.25,0.584014532243415,0.584014532243415,0.243415077202543
12,4,"D5",724,0.345303867403315,0.281767955801105,0.658839779005525,0.610497237569061,0.49008623188403,0.780008446242556,0.25,0.592541436464088,0.592541436464088,0.218232044198895
12,4,"D6",785,0.538853503184713,0.514649681528662,0.736305732484076,0.686624203821656,0.655836657601492,0.889534780186089,0.166666666666667,0.685350318471338,0.685350318471338,0.142675159235669
12,4,"D7",589,0.580645161290323,0.568760611205433,0.840407470288625,0.809847198641766,0.602059991327962,0.871242454447468,0.0833333333333333,0.782682512733446,0.782682512733446,0.0814940577249576
12,5,"D0",2339,0.124839675074818,0.0671227020094057,0.233304794520548,0,0.778714537965271,0.82226899937377,0.833333333333333,0.137238135955537,0.137238135955537,0.707994869602394
12,5,"D1",2996,0.20894526034713,0.113150867823765,0.372496662216288,0.259345794392523,0.778151250383644,0.812149535627334,0.5,0.298064085447263,0.298064085447263,0.46328437917223
12,5,"D3",1104,0.252717391304348,0.168478260869565,0.654891304347826,0.578804347826087,0.49008623188403,0.654256764449357,0.25,0.577898550724638,0.577898550724638,0.241847826086957
12,5,"D5",706,0.356940509915014,0.307365439093484,0.651558073654391,0.582152974504249,0.502675359192051,0.798915464681511,0.25,0.587818696883853,0.587818696883853,0.232294617563739
12,5,"D6",761,0.536136662286465,0.504599211563732,0.741130091984231,0.705650459921156,0.674610658476574,0.928444387523466,0.166666666666667,0.675427069645204,0.675427069645204,0.140604467805519
12,5,"D7",568,0.59330985915493,0.579225352112676,0.859154929577465,0.845070422535211,0.602059991327962,0.896870787454678,0.0833333333333333,0.799295774647887,0.799295774647887,0.0915492957746479
12,6,"D0",2341,0.126868859461768,0.0610850064075182,0.213583938487826,0,0.778151250383644,0.810168961570642,0.833333333333333,0.125587355830842,0.125587355830842,0.697565143101239
12,6,"D1",3005,0.211647254575707,0.116805324459235,0.370049916805324,0.262895174708819,0.791696447383016,0.81177339935901,0.5,0.304492512479201,0.304492512479201,0.470216306156406
12,6,"D3",1062,0.239171374764595,0.170433145009416,0.659133709981168,0.61864406779661,0.463757293161681,0.621015373063855,0.25,0.590395480225989,0.590395480225989,0.228813559322034
12,6,"D5",733,0.446111869031378,0.3806275579809,0.643929058663029,0.575716234652115,0.655836657601492,0.886818471647958,0.25,0.577080491132333,0.577080491132333,0.234652114597544
12,6,"D6",750,0.510666666666667,0.493333333333333,0.749333333333333,0.697333333333333,0.655836657601492,0.885206606065897,0.166666666666667,0.68,0.68,0.149333333333333
12,6,"D7",487,0.53388090349076,0.505133470225873,0.850102669404518,0.839835728952772,0.477121254719662,0.837511959960041,0.0833333333333333,0.796714579055442,0.796714579055442,0.0903490759753593
12,7,"D0",2345,0.129637526652452,0.0597014925373134,0.237100213219616,0,0.777137727212091,0.815824799226633,0.833333333333333,0.139019189765458,0.139019189765458,0.708315565031983
12,7,"D1",3006,0.20791749833666,0.112774451097804,0.369594145043247,0.25981370592149,0.791696447383016,0.811317637285523,0.5,0.297737857618097,0.297737857618097,0.467398536260812
12,7,"D3",1125,0.258666666666667,0.170666666666667,0.643555555555556,0.579555555555556,0.49008623188403,0.661887316579046,0.25,0.583111111111111,0.583111111111111,0.242666666666667
12,7,"D5",741,0.41025641025641,0.358974358974359,0.611336032388664,0.554655870445344,0.632549313475863,0.854622443211577,0.25,0.553306342780027,0.553306342780027,0.236167341430499
12,7,"D6",758,0.523746701846966,0.493403693931398,0.720316622691293,0.682058047493404,0.674610658476574,0.927033303030676,0.166666666666667,0.651715039577836,0.651715039577836,0.143799472295515
12,7,"D7",640,0.55,0.5359375,0.8671875,0.8390625,0.477121254719662,0.78165461128235,0.0833333333333333,0.81875,0.81875,0.075
12,8,"D0",2342,0.125106746370623,0.0691716481639624,0.233134073441503,0,0.791696447383016,0.829444786055968,0.833333333333333,0.14133219470538,0.14133219470538,0.702818104184458
12,8,"D1",3013,0.201460338533024,0.105874543644208,0.369067374709592,0.266179887155659,0.778151250383644,0.801527260035425,0.5,0.299369399269831,0.299369399269831,0.467308330567541
12,8,"D3",1057,0.224219489120151,0.154210028382214,0.634815515610218,0.574266792809839,0.463757293161681,0.626576203428328,0.25,0.577105014191107,0.577105014191107,0.248817407757805
12,8,"D5",716,0.385474860335196,0.328212290502793,0.624301675977654,0.564245810055866,0.581856605239676,0.838222048349119,0.25,0.565642458100559,0.565642458100559,0.241620111731844
12,8,"D6",761,0.525624178712221,0.503285151116951,0.751642575558476,0.708278580814718,0.632549313475863,0.920370820141161,0.166666666666667,0.678055190538765,0.678055190538765,0.14323258869908
12,8,"D7",545,0.537614678899083,0.526605504587156,0.86605504587156,0.855045871559633,0.477121254719662,0.842212154479027,0.0833333333333333,0.818348623853211,0.818348623853211,0.0825688073394495
12,9,"D0",2344,0.126706484641638,0.0699658703071672,0.234215017064846,0,0.791696447383016,0.828746649337473,0.833333333333333,0.142491467576792,0.142491467576792,0.705204778156997
12,9,"D1",3007,0.200864649151979,0.106418357166611,0.373461922181576,0.259394745593615,0.791696447383016,0.805541219603894,0.5,0.299966744263385,0.299966744263385,0.470901230462255
12,9,"D3",1067,0.243673851921275,0.173383317713215,0.650421743205248,0.588566073102156,0.477121254719662,0.63181710565584,0.25,0.591377694470478,0.591377694470478,0.231490159325211
12,9,"D5",704,0.40625,0.338068181818182,0.627840909090909,0.575284090909091,0.581856605239676,0.831210731451081,0.25,0.573863636363636,0.573863636363636,0.240056818181818
12,9,"D6",726,0.534435261707989,0.516528925619835,0.735537190082645,0.701101928374656,0.655836657601492,0.912492731633218,0.166666666666667,0.685950413223141,0.685950413223141,0.148760330578512
12,9,"D7",609,0.569786535303777,0.566502463054187,0.866995073891626,0.850574712643678,0.49008623188403,0.876868449635926,0.0833333333333333,0.807881773399015,0.807881773399015,0.083743842364532
12,10,"D0",2346,0.128303495311168,0.0677749360613811,0.233589087809037,0,0.7877934031624,0.826556583629557,0.833333333333333,0.142369991474851,0.142369991474851,0.70076726342711
12,10,"D1",3000,0.182333333333333,0.0886666666666667,0.367,0.256333333333333,0.778151250383644,0.797403909270695,0.5,0.293,0.293,0.483333333333333
12,10,"D3",1075,0.244651162790698,0.176744186046512,0.639069767441861,0.585116279069767,0.49008623188403,0.639324532964104,0.25,0.581395348837209,0.581395348837209,0.234418604651163
12,10,"D5",721,0.403606102635229,0.337031900138696,0.654646324549237,0.611650485436893,0.581856605239676,0.824017344731893,0.25,0.600554785020804,0.600554785020804,0.213592233009709
12,10,"D6",704,0.497159090909091,0.424715909090909,0.723011363636364,0.674715909090909,0.632549313475863,0.874339409084506,0.166666666666667,0.650568181818182,0.650568181818182,0.147727272727273
12,10,"D7",537,0.508379888268156,0.499068901303538,0.864059590316574,0.851024208566108,0.477121254719662,0.815405117717847,0.0833333333333333,0.804469273743017,0.804469273743017,0.0912476722532588
12,11,"D0",2346,0.126598465473146,0.0690537084398977,0.255972696245734,0,0.791696447383016,0.831339053094782,0.833333333333333,0.132992327365729,0.132992327365729,0.705882352941177
12,11,"D1",2997,0.215548882215549,0.119452786119453,0.377043710377044,0.265932599265933,0.778151250383644,0.809146703970905,0.5,0.31031031031031,0.31031031031031,0.456456456456456
12,11,"D3",1088,0.228860294117647,0.166360294117647,0.646139705882353,0.576286764705882,0.463757293161681,0.636373406803792,0.25,0.577205882352941,0.577205882352941,0.237132352941176
