OTUID,D0,D1,D3,D5,D6,D7
OTU_1077,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1078,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1079,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_108,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1080,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1081,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1082,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1083,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1084,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1085,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1086,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1087,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
OTU_1088,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1089,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_109,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1090,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1091,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1093,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1094,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1095,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1096,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1097,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1098,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1099,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_110,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1101,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1102,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1103,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1104,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1105,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1106,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1107,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
OTU_1108,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1109,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1110,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1112,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1113,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1114,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
OTU_1115,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
OTU_1116,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
OTU_1117,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1118,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1119,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_112,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1120,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1121,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1122,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1123,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1124,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1125,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1126,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1127,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1128,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1129,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_113,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1130,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1131,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1132,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_1133,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
