Cutoff_label,dominance_cutoff,n_subsample,Treatment,retention_gap_Median,retention_gap_Q2.5,retention_gap_Q97.5,rare_transient_lost_Median,rare_transient_lost_Q2.5,rare_transient_lost_Q97.5,TL_gap_rare_minus_abundant_Median,TL_gap_rare_minus_abundant_Q2.5,TL_gap_rare_minus_abundant_Q97.5,abundant_shift_Median,abundant_shift_Q2.5,abundant_shift_Q97.5,rare_shift_Median,rare_shift_Q2.5,rare_shift_Q97.5,N_iterations
0.01%,1e-4,8,D0,0,0,0,0.21327934098046264,0.1309090915532244,0.24890836487746024,0.21327934098046264,0.1309090915532244,0.24890836487746024,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,8,D1,0.11623842656115724,0.09699885297971063,0.13344190709900489,0.45539907115113937,0.43559302893395835,0.4768627487138244,0.2643102246690313,0.23778781995285087,0.2920230719859218,-0.5411785084140827,-0.568464228440781,-0.5254391312635192,-0.005508419245686458,-0.011278994987882207,-0.0010708695685642375,1000
0.01%,1e-4,8,D3,0.009289915819500977,-0.007247455056544245,0.02689602338415109,0.897169951631354,0.8770379715091106,0.9126911809675732,0.03643238981717212,0.022945837214206677,0.04838027405485095,-0.7034210054521672,-0.7461644633443315,-0.6503226542200345,-0.00651010354550241,-0.010912350672530014,-0.001724881018884628,1000
0.01%,1e-4,8,D5,0.0027735780847669284,-0.00884277180389878,0.014149192598507804,0.9425943958024852,0.9343815296425276,0.9494636810064738,0.0273903455562573,0.017768840124657247,0.0358024664640932,-0.6004851252690709,-0.6848346911533019,-0.5002239375973706,0.026884203187460765,0.0016010267265546662,0.09798143286706423,1000
0.01%,1e-4,8,D6,-0.006665289401093677,-0.024552608275446062,0.013638045024424153,0.9521410579345089,0.94287107199227,0.9605768205253338,0.021420834759493246,0.010836656110830003,0.03365700315810962,-0.48374799609642505,-0.6102088182119302,-0.33078769074749376,0.03306096938760206,0.009005324127841286,0.15884185014856889,1000
0.01%,1e-4,8,D7,0.016309248472690385,-0.0034048211146184017,0.043222864044819155,0.9793103448275862,0.9711589693939197,0.9849345589146874,0.020710349265761152,0.012190287136172206,0.028321009132823108,-0.49619496853599143,-0.6361620336021581,-0.27582485494711484,0.11409034708697996,2.757221859112314e-4,0.21650163186057236,1000
0.01%,1e-4,10,D0,0,0,0,0.13987341772151898,0.1235145550690586,0.17592202159818499,0.13987341772151898,0.1235145550690586,0.17592202159818499,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,10,D1,0.09628740425373766,0.08283880893445426,0.11050219448702031,0.3884400248601616,0.3770168437143244,0.4034581857846086,0.2523142834103037,0.23049238775755254,0.272017281722885,-0.5430183599296475,-0.5604726972631465,-0.5318326108033974,-0.006377782621694195,-0.010335527219791318,-0.00316665019357223,1000
0.01%,1e-4,10,D3,0.006333018939204696,-0.009582057692137635,0.02324252962166976,0.8795779019242707,0.8630688631730424,0.896618676046058,0.03080434591644754,0.018890502333643346,0.043214628495827634,-0.7198823238567156,-0.7523183453421578,-0.6665315143583099,-0.0071291932188779494,-0.010823480295498733,-0.003309614031752617,1000
0.01%,1e-4,10,D5,4.1405810287703515e-4,-0.010362981963661432,0.010512578968884658,0.9331667707682698,0.9260387181160112,0.9407379660022193,0.022730833952160634,0.015310078753453516,0.03090225481919951,-0.6177771424909793,-0.6906553480408011,-0.5286464708335507,0.020303758195532096,0.00358674577586493,0.06237339759620841,1000
0.01%,1e-4,10,D6,-0.010683829749585955,-0.03028530313557035,0.009980997067616178,0.9425465245432229,0.9339932735236062,0.9513123791644484,0.019109366942594075,0.009374385972511078,0.030262366034105252,-0.49926103941818645,-0.6228250924035506,-0.3783418620739713,0.026370194541554426,0.008877336977638607,0.1323075640329039,1000
0.01%,1e-4,10,D7,0.01635397081304727,-0.003319919170318318,0.045761278738795846,0.9746444032158318,0.966665120593692,0.9807692307692307,0.02225628554139991,0.013725531309677247,0.03011636581035851,-0.5038366517996131,-0.6304172759592449,-0.3558781860147976,0.10962466114084268,8.027132760747294e-4,0.20538588370556832,1000
0.01%,1e-4,12,D0,0,0,0,0.2006172839506173,0.17861557478368356,0.22126081582200247,0.2006172839506173,0.17861557478368356,0.22126081582200247,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,12,D1,0.08185001537044578,0.07106069210001165,0.09064667225930023,0.4351995361759776,0.42609542381545923,0.44919611965843426,0.2713396488410158,0.25742349901065625,0.28476123619626537,-0.5442279241518908,-0.5563738388039123,-0.5361816120894537,-0.0068358193083204455,-0.0094105784532591,-0.004998155810687754,1000
0.01%,1e-4,12,D3,0.004264613618277846,-0.009456836010319096,0.018489593813418585,0.8919925512104283,0.8793298152377157,0.9045863592942558,0.03580400838533693,0.025682239810143188,0.04594261959757637,-0.7243748658913951,-0.7567469187217764,-0.6989825972114079,-0.007727635211721484,-0.010664393222607016,-0.004828840377804511,1000
0.01%,1e-4,12,D5,-0.0012006756020205706,-0.011062969121369432,0.008294362911744286,0.9397889509621353,0.9343216017205134,0.945645460160593,0.026353035010530212,0.019646891367487047,0.0329459669684918,-0.6262292786571716,-0.6972208672443069,-0.5563815601790636,0.017656945500219123,0.004188668871439249,0.05798114448439984,1000
0.01%,1e-4,12,D6,-0.01442302977302605,-0.03516223153096945,0.0066422359991715,0.94972067039106145,0.942267147877749,0.9562005517137508,0.022179959760372625,0.013811910668662008,0.032126239331225936,-0.5058173974966238,-0.6282290542124245,-0.40003568424339464,0.020010367239321036,0.008166198650469636,0.11275552211842527,1000
0.01%,1e-4,12,D7,0.016182958173000056,-0.004995795085885978,0.04395911957429813,0.9789473684210527,0.9721534653465347,0.9839111398384737,0.022862961686386574,0.015551109611186152,0.029062099118270845,-0.512469266044838,-0.6275547871522393,-0.4092396995146011,0.10935592327623977,9.678020981915836e-4,0.19113854055448914,1000
0.01%,1e-4,14,D0,0,0,0,0.14055727554179567,0.14055727554179567,0.14055727554179567,0.14055727554179567,0.14055727554179567,0.14055727554179567,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,14,D1,0.07167943967923662,0.07167943967923662,0.07167943967923662,0.3907120743034056,0.3907120743034056,0.3907120743034056,0.2581984131012198,0.2581984131012198,0.2581984131012198,-0.5442361714055914,-0.5442361714055914,-0.5442361714055914,-0.007260294857505567,-0.007260294857505567,-0.007260294857505567,1000
0.01%,1e-4,14,D3,0.0014515556006699515,-0.010407171496726396,0.012565577999966137,0.879876160990712,0.8693343653250774,0.8910371517027863,0.030002199326667756,0.021856971865536538,0.03858801113197649,-0.72617470557924,-0.7609308593585739,-0.7134173428358914,-0.008095151909582654,-0.010341185454745272,-0.006218805788722205,1000
0.01%,1e-4,14,D5,-0.0029039570962120786,-0.010886836183999047,0.005037303963863371,0.9331269349845202,0.9287925696594427,0.9393188854489164,0.022543944238609948,0.016840265441810796,0.028863624828706306,-0.6375994139813136,-0.69550126859555506,-0.577515596186834,0.015108184838763083,0.005452491367447576,0.034937427918215004,1000
0.01%,1e-4,14,D6,-0.01692889407704412,-0.035824958974098695,0.0023975621309783464,0.9436532507739938,0.9362229102167182,0.9504643962848297,0.02152210323301018,0.01210325415757337,0.03057402426026501,-0.5086607062259514,-0.6284432581040018,-0.45232030431137593,0.019602890635000314,0.008234392951401914,0.05522950740423987,1000
0.01%,1e-4,14,D7,0.01748506995550593,-0.006444196315281922,0.04394199698861425,0.9764705882352941,0.9690402476780186,0.9814241486068112,0.024157065759867424,0.016465364834458394,0.03036847180632396,-0.5299623173439498,-0.6167650474906101,-0.4374612460371432,0.10546654657329713,9.787030143124653e-4,0.15695367760818293,1000
0.1%,0.001,8,D0,0,0,0,0.15291208328883452,0.11749505311966078,0.179839025006098,0.15291208328883452,0.11749505311966078,0.179839025006098,NA,NA,NA,NA,NA,NA,1000
