Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,10,Abundant OTUs,D3,Intermediate (0.25-0.50],0.043915589288432276,0.0438957475994513,0.03433948167744465,0.05364511691884457,32,1000
0.01%,1e-4,10,Abundant OTUs,D3,High (0.50-<1.00),0.04040094801430644,0.03994490358126722,0.03163469394301327,0.050824175824175824,29,1000
0.01%,1e-4,10,Abundant OTUs,D3,Persistent (1.00),0.06689871786721191,0.0667574931880109,0.06172839506172839,0.07280219780219781,49,1000
0.01%,1e-4,10,Abundant OTUs,D5,Lost (0),0.8631112958278548,0.8631284916201117,0.8498588718782459,0.8765268773975241,629,1000
0.01%,1e-4,10,Abundant OTUs,D5,Transient (0-0.25],0.04715976738771604,0.04705884606690344,0.03333217753120666,0.06085964529143343,34,1000
0.01%,1e-4,10,Abundant OTUs,D5,Intermediate (0.25-0.50],0.015973042195417193,0.016415868673050615,0.009589041095890411,0.02203856749311295,12,1000
0.01%,1e-4,10,Abundant OTUs,D5,High (0.50-<1.00),0.034710511550540134,0.034482758620689655,0.027738290539839637,0.04109729973504707,25,1000
0.01%,1e-4,10,Abundant OTUs,D5,Persistent (1.00),0.03904538303847182,0.03867403314917127,0.03381941643642504,0.04419889502762431,28,1000
0.01%,1e-4,10,Abundant OTUs,D6,Lost (0),0.8766585388733084,0.8765517713737778,0.8592852776016665,0.8928571428571429,638,1000
0.01%,1e-4,10,Abundant OTUs,D6,Transient (0-0.25],0.04672242569988771,0.04663923182441701,0.029004524671365974,0.06593406593406594,34,1000
0.01%,1e-4,10,Abundant OTUs,D6,Intermediate (0.25-0.50],0.026483636498181865,0.026170798898071626,0.016506189821182942,0.03631842441469296,19,1000
0.01%,1e-4,10,Abundant OTUs,D6,High (0.50-<1.00),0.02799621989322006,0.027624309392265192,0.02063132213674778,0.03552034042744051,20,1000
0.01%,1e-4,10,Abundant OTUs,D6,Persistent (1.00),0.022139179035402048,0.023255813953488372,0.013774104683195593,0.028846153846153848,17,1000
0.01%,1e-4,10,Abundant OTUs,D7,Lost (0),0.8743262681496623,0.8739724793369817,0.8387888716379744,0.9098532918630271,636,1000
0.01%,1e-4,10,Abundant OTUs,D7,Transient (0-0.25],0.077985379952767,0.0782967032967033,0.04252109686826209,0.11294765840220386,57,1000
0.01%,1e-4,10,Abundant OTUs,D7,Intermediate (0.25-0.50],0.021187267515678725,0.02077562326869806,0.013623978201634877,0.028967520389183002,15,1000
0.01%,1e-4,10,Abundant OTUs,D7,High (0.50-<1.00),0.019039159371132486,0.019099590723055934,0.01237921724080596,0.02606489264750001,14,1000
0.01%,1e-4,10,Abundant OTUs,D7,Persistent (1.00),0.007461925010759447,0.006896551724137931,0.004103967168262654,0.012466239612188365,5,1000
0.01%,1e-4,10,Rare OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,10,Rare OTUs,D0,Transient (0-0.25],0.14448791041093453,0.13987341772151898,0.1235145550690586,0.17592202159818499,225,1000
0.01%,1e-4,10,Rare OTUs,D0,Intermediate (0.25-0.50],0.29654996618472945,0.2955818294959552,0.2716553449586532,0.3333756345177664,476,1000
0.01%,1e-4,10,Rare OTUs,D0,High (0.50-<1.00),0.4072392010697761,0.4092892415505973,0.3789535899139471,0.4263652198791956,660,1000
0.01%,1e-4,10,Rare OTUs,D0,Persistent (1.00),0.1517229223345599,0.15089672232529375,0.140361821584529,0.16697819314641746,243,1000
0.01%,1e-4,10,Rare OTUs,D1,Lost (0),0.11595069433521206,0.11577959291219286,0.10480185997887377,0.12822243816987366,186,1000
0.01%,1e-4,10,Rare OTUs,D1,Transient (0-0.25],0.2730116983186901,0.27300995024875624,0.2599233593923153,0.28562835991892127,439,1000
0.01%,1e-4,10,Rare OTUs,D1,Intermediate (0.25-0.50],0.25269553471806033,0.2540523753776024,0.22822891965406614,0.2707844286269776,409,1000
0.01%,1e-4,10,Rare OTUs,D1,High (0.50-<1.00),0.24948738381947705,0.24922696351267778,0.23449131513647642,0.2659650343291397,401,1000
0.01%,1e-4,10,Rare OTUs,D1,Persistent (1.00),0.1088546888085604,0.10154798761609907,0.09571013592023131,0.1372432802625512,163,1000
0.01%,1e-4,10,Rare OTUs,D3,Lost (0),0.759433899852739,0.7584269662921348,0.7397756785659724,0.7841736728486596,1221,1000
0.01%,1e-4,10,Rare OTUs,D3,Transient (0-0.25],0.12012275016719386,0.12034739454094293,0.10785536159600997,0.1315230200739039,194,1000
