Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,n_retained_Median,median_log10_shift_Mean,median_log10_shift_Median,median_log10_shift_Q2.5,median_log10_shift_Q97.5,prop_decrease_Median,prop_increase_Median,N_iterations
0.01%,1e-4,14,Abundant OTUs,D5,110,-0.6387974559378855,-0.6375994139813136,-0.69550126859555506,-0.577515596186834,0.7543859649122807,0.24561403508771928,1000
0.01%,1e-4,14,Abundant OTUs,D6,99,-0.5274394236829775,-0.5086607062259514,-0.6284432581040018,-0.45232030431137593,0.72,0.28,1000
0.01%,1e-4,14,Abundant OTUs,D7,108,-0.535828026495373,-0.5299623173439498,-0.6167650474906101,-0.4374612460371432,0.7309308338720103,0.26906916612798965,1000
0.01%,1e-4,14,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,14,Rare OTUs,D1,1486,-0.007260294857505567,-0.007260294857505567,-0.007260294857505567,-0.007260294857505567,0.6110363391655451,0.38896366083445494,1000
0.01%,1e-4,14,Rare OTUs,D3,435,-0.008057240108055586,-0.008095151909582654,-0.010341185454745272,-0.006218805788722205,0.6407982261640798,0.35585585585585583,1000
0.01%,1e-4,14,Rare OTUs,D5,248,0.015812534478452513,0.015108184838763083,0.005452491367447576,0.034937427918215004,0.35800067252726137,0.6419993274727387,1000
0.01%,1e-4,14,Rare OTUs,D6,247,0.022299184705115365,0.019602890635000314,0.008234392951401914,0.05522950740423987,0.3431968853586841,0.6568031146413159,1000
0.01%,1e-4,14,Rare OTUs,D7,211,0.08496686701332502,0.10546654657329713,9.787030143124653e-4,0.15695367760818293,0.42045454545454547,0.5795454545454546,1000
0.1%,0.001,8,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,8,Abundant OTUs,D1,109,-0.7314544491269126,-0.7366749794071903,-0.7910377156700692,-0.6586257538469272,0.8317757009345794,0.16822429906542055,1000
0.1%,0.001,8,Abundant OTUs,D3,55,-1.3964645539374072,-1.3957831763651978,-1.4862790847769012,-1.3110766561819611,0.9009803921568628,0.09901960784313726,1000
0.1%,0.001,8,Abundant OTUs,D5,32,-1.3337478767037125,-1.3676329757825585,-1.463812717200803,-1.1083933447629046,0.8181818181818182,0.18181818181818182,1000
0.1%,0.001,8,Abundant OTUs,D6,28,-1.037602227674871,-1.0346490483205582,-1.3655614132911456,-0.7625991421839617,0.7333333333333333,0.26666666666666666,1000
0.1%,0.001,8,Abundant OTUs,D7,25,-0.9005529345429503,-0.8921638818568628,-1.4089974029092927,-0.43367338212748163,0.7272727272727273,0.2727272727272727,1000
0.1%,0.001,8,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,8,Rare OTUs,D1,1956,-0.07997957141047185,-0.086338411601103,-0.11448122381986528,-0.020722028509078953,0.66921904315197,0.33078095684803,1000
0.1%,0.001,8,Rare OTUs,D3,471,-0.011235647014646782,-0.011266810122198656,-0.015252114616633172,-0.006939129582129944,0.6493380952776924,0.34979388963341196,1000
0.1%,0.001,8,Rare OTUs,D5,263,0.017386053651377506,0.013907728011530951,-0.004838092260768423,0.06041885513887321,0.41143507573767624,0.5885649242623238,1000
0.1%,0.001,8,Rare OTUs,D6,251,0.025432417859250482,0.01635648900298925,-5.439225189484696e-4,0.12324652559217571,0.3952401856264894,0.6047598143735106,1000
0.1%,0.001,8,Rare OTUs,D7,208,0.03746282275922455,0.0094453684268625,-0.011398057085565405,0.15549548640545205,0.4745762711864407,0.5254237288135594,1000
0.1%,0.001,10,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,10,Abundant OTUs,D1,108,-0.7268939024687127,-0.7289707004274323,-0.7743630146354801,-0.6676976996936479,0.8317757009345794,0.16822429906542055,1000
0.1%,0.001,10,Abundant OTUs,D3,58,-1.4014882403338977,-1.4041412227881027,-1.4683625769620035,-1.34669410760992,0.9074074074074074,0.09259259259259259,1000
0.1%,0.001,10,Abundant OTUs,D5,34,-1.385310647099801,-1.400844476814688,-1.4872979205758015,-1.223146784985776,0.8235294117647058,0.17647058823529413,1000
0.1%,0.001,10,Abundant OTUs,D6,29,-1.0732195485471292,-1.0554529421812133,-1.4122136680766657,-0.8038155563207078,0.75,0.25,1000
0.1%,0.001,10,Abundant OTUs,D7,26,-0.9489601922419774,-0.9366112327350881,-1.4455303746952708,-0.49923433618159474,0.75,0.25,1000
0.1%,0.001,10,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,10,Rare OTUs,D1,2028,-0.08035535891912651,-0.08659906171865273,-0.10824017463099275,-0.02573576465564766,0.6776656056084414,0.32233439439155864,1000
0.1%,0.001,10,Rare OTUs,D3,509,-0.011850504561996454,-0.012187058399450557,-0.015089438360029994,-0.00824982088859292,0.6653053059727616,0.33396228430245184,1000
0.1%,0.001,10,Rare OTUs,D5,287,0.01243679140129817,0.01033013428644991,-0.0027621477951502932,0.04003251277521436,0.4204098281984835,0.5795901718015164,1000
0.1%,0.001,10,Rare OTUs,D6,277,0.01745200356929925,0.014352964725174111,3.6550420115858415e-4,0.04611888111697379,0.40565822006888763,0.5943417799311124,1000
0.1%,0.001,10,Rare OTUs,D7,237,0.024353945082955398,0.005189895359191121,-0.010720473971477872,0.12612248809967516,0.48373038381546607,0.5162696161845339,1000
0.1%,0.001,12,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,12,Abundant OTUs,D1,108,-0.7238351298983925,-0.7231917662669194,-0.7556418553986667,-0.6790243160184193,0.8272727272727273,0.17272727272727273,1000
0.1%,0.001,12,Abundant OTUs,D3,60,-1.4074154194423267,-1.413542289674834,-1.4457360341955556,-1.3644074155381225,0.9090909090909091,0.09090909090909091,1000
0.1%,0.001,12,Abundant OTUs,D5,35,-1.4066348310381285,-1.4129191938141918,-1.4968453269281785,-1.2648652793051798,0.8285714285714286,0.17142857142857143,1000
0.1%,0.001,12,Abundant OTUs,D6,30,-1.1039913108589061,-1.0879205772628349,-1.416169511726777,-0.86569774419615,0.7586206896551724,0.2413793103448276,1000
0.1%,0.001,12,Abundant OTUs,D7,28,-1.040733198017864,-1.0129279498058952,-1.4772640187157504,-0.6220817201487618,0.76,0.24,1000
0.1%,0.001,12,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,12,Rare OTUs,D1,2074,-0.08491510596281299,-0.0906933832469452,-0.106445268372936,-0.033946223587752594,0.6851227732306211,0.3148772267693789,1000
0.1%,0.001,12,Rare OTUs,D3,543,-0.012302516337078052,-0.012312359196294587,-0.01464259690090286,-0.009305694019844836,0.6811202506854681,0.3180982620320856,1000
0.1%,0.001,12,Rare OTUs,D5,305,0.009540748523553329,0.00875188248812453,-0.001353376966202191,0.02505094012556658,0.42812000798722044,0.5718799920127795,1000
0.1%,0.001,12,Rare OTUs,D6,298,0.013348692148259638,0.012021549951919397,-2.338583024773963e-4,0.03173423006095799,0.4149631483799193,0.5850368516200807,1000
0.1%,0.001,12,Rare OTUs,D7,265,0.013993754257216776,0.001109460654707739,-0.011120012429809256,0.10703858232144639,0.49313603557766594,0.5068639644223341,1000
0.1%,0.001,14,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.1%,0.001,14,Abundant OTUs,D1,110,-0.7192372134551743,-0.7192372134551743,-0.7192372134551743,-0.7192372134551743,0.8272727272727273,0.17272727272727273,1000
0.1%,0.001,14,Abundant OTUs,D3,62,-1.4072669935789242,-1.408945697239055,-1.4291692269444427,-1.3713016237357205,0.90625,0.09375,1000
0.1%,0.001,14,Abundant OTUs,D5,37,-1.42592774366001,-1.4236269358671225,-1.4882634688598513,-1.3327133401185127,0.8378378378378378,0.16216216216216217,1000
0.1%,0.001,14,Abundant OTUs,D6,31,-1.1206784768679618,-1.098740221540694,-1.4098801333450708,-0.8952730147945749,0.7666666666666667,0.23333333333333334,1000
