Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
1%,0.01,10,"Mean rare transient/lost proportion, D3-D7",0.9272367490522242,0.0023399136560518694,0.9272131601963766,0.9227523203252307,0.9318376985830829,1000
1%,0.01,10,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.3604193731307689,0.01798859027810928,0.3592971026028382,0.3265986987722435,0.39294734520935976,1000
1%,0.01,10,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.37248812267859777,0.022443879633684702,0.37131844851303897,0.3306195596814767,0.41202749058271826,1000
1%,0.01,10,"Mean retention gap: abundant minus rare, D1-D7",0.38960247482329136,0.026551303430839803,0.39024406376083076,0.3381608944158393,0.44088353956189774,1000
1%,0.01,10,"Mean retention gap: abundant minus rare, D3-D7",0.46539080684073275,0.033188571373462226,0.4661963407221684,0.4020980195755547,0.530267217304921,1000
1%,0.01,10,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
1%,0.01,10,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,10,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
1%,0.01,10,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,10,Spearman rho: abundant retained proportion vs dilution rank,-0.971038172832353,0.027505785066971968,-0.9856107606091623,-0.9856107606091623,-0.8827348295047496,1000
1%,0.01,10,Spearman rho: rare retained proportion vs dilution rank,-0.9673902142298858,0.0494080923518883,-1,-1,-0.8285714285714285,1000
1%,0.01,12,"Mean abundant decrease proportion, D1-D7",0.8615721234321234,0.014612440316869962,0.8628968253968253,0.8288095238095238,0.8857864357864358,1000
1%,0.01,12,"Mean abundant median log10 shift vs D0, D1-D7",-1.6005583132390517,0.11154234880610252,-1.6032131330377424,-1.8106296926858607,-1.376888750614569,1000
1%,0.01,12,"Mean rare decrease proportion, D1-D7",0.5604902697323899,0.013493797380604619,0.5599953503087625,0.5340352017144767,0.5874581663142238,1000
1%,0.01,12,"Mean rare median log10 shift vs D0, D1-D7",-0.022183993043520884,0.004338071521821898,-0.02295868589111527,-0.028485644650155083,-0.011083520065751206,1000
1%,0.01,12,"Mean rare transient/lost proportion, D1-D7",0.8178718165675818,0.001779122654930558,0.8177796873132577,0.8146636919441398,0.8215552422240382,1000
1%,0.01,12,"Mean rare transient/lost proportion, D3-D7",0.9338489832515213,0.0017935900662033578,0.93380145525558,0.9305193137264657,0.9375543178064637,1000
1%,0.01,12,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.3620157726115379,0.016979259241315745,0.35989209333243133,0.3273310081664936,0.3910140176680929,1000
1%,0.01,12,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.3640289283064663,0.02119521380598944,0.36158102839707085,0.32007850639926116,0.3998270294886426,1000
1%,0.01,12,"Mean retention gap: abundant minus rare, D1-D7",0.3951690289931957,0.025970605273688732,0.3953934823785715,0.34209487693607865,0.44273328588570715,1000
1%,0.01,12,"Mean retention gap: abundant minus rare, D3-D7",0.47648643203708435,0.03244756800189286,0.47682245087905467,0.4098211608530005,0.5363702878170902,1000
1%,0.01,12,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
1%,0.01,12,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,12,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
1%,0.01,12,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,12,Spearman rho: abundant retained proportion vs dilution rank,-0.972784717168538,0.02637289765914622,-0.9856107606091623,-0.9856107606091623,-0.9254785803737775,1000
1%,0.01,12,Spearman rho: rare retained proportion vs dilution rank,-0.9582477711874491,0.05804429325088724,-1,-1,-0.7714285714285715,1000
1%,0.01,14,"Mean abundant decrease proportion, D1-D7",0.8674174431124431,0.0076102596225388055,0.8689060939060939,0.8502275224775225,0.8788267288267289,1000
1%,0.01,14,"Mean abundant median log10 shift vs D0, D1-D7",-1.6285014831168654,0.10069978589155658,-1.633660707569944,-1.8152494128525096,-1.4447444121848199,1000
1%,0.01,14,"Mean rare decrease proportion, D1-D7",0.5679839347392671,0.011518628772599852,0.567428176097334,0.5464932123351415,0.5907242715643986,1000
1%,0.01,14,"Mean rare median log10 shift vs D0, D1-D7",-0.02546416473502808,0.0024015328232883694,-0.025586060296312094,-0.0292680459948923,-0.020021715375176625,1000
1%,0.01,14,"Mean rare transient/lost proportion, D1-D7",0.8043997429305912,0.0013756127758404026,0.8043701799485862,0.8017116538131962,0.8071122536418166,1000
1%,0.01,14,"Mean rare transient/lost proportion, D3-D7",0.9275219580119966,0.0017195159698005042,0.9274850042844902,0.9241618466152528,0.9309125964010283,1000
1%,0.01,14,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.3550612813921297,0.01427254784090238,0.3577021949772592,0.3267615846022016,0.37497198602597054,1000
1%,0.01,14,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.3658488810889196,0.017840684801127975,0.3691500230703315,0.3304742601015095,0.39073726188122065,1000
