id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU_750	1	0	0	2.52157947708515e-194	0	13	0	0
OTU_756	2	84.7006077256077	154	0.054750988204631	0	3	-0.873037869711973	0.5
OTU_757	14	851.495323536113	2542	0.335522969725737	0	0	3.04557406822579	0.602040816326531
OTU_768	7	266.816855366855	675	0.0752387626906568	0	3	1.50162513590459	0.448979591836735
OTU_785	4	209.870335220335	538	0.0928563567761566	0	2	0.372422649871066	0.375
OTU_793	3	99.3942222981697	317	0.103418715627699	0	1	-0.380234550314687	0.444444444444444
OTU_824	2	6.34548872180451	30	0.0874709446802136	0	0	-0.726252277807689	0.5
OTU_854	1	0	0	0.0147190045407983	0	3	-0.873037869711973	0
OTU_856	3	73.2919552669553	165	0.0818026449092212	0	1	-0.380234550314687	0.444444444444444
OTU_9	5	230.242735042735	744	0.0607036183873147	0	1	1.42587956368008	0
OTU_908	1	0	0	0.0311321515123184	0	0	-0.726252277807689	0
OTU_944	3	4	6	1.39173709106801e-76	0.333333333333333	5	0.707106781186548	0
OTU_947	1	0	0	2.52157947708515e-194	0	10	0	0
OTU_948	1	0	0	2.52157947708515e-194	0	10	0	0
