id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU_1014	6	73.2375704718728	960	0.240490224152484	0	0	0.220415507511194	0.5
OTU_1028	1	0	0	0.00389730644252316	0	0	-0.936765906922572	0
OTU_1039	4	28.2069150775878	405	0.16744567875872	0	1	-0.310460210282533	0.5
OTU_1050	1	0	0	0.0281129736795857	0	2	-0.811502671200689	0
OTU_1051	3	12.9313649680373	154	0.106095849561451	0	1	-0.310460210282533	0.444444444444444
OTU_1053	1	0	0	0.0485682030854783	0	0	-0.936765906922572	0
OTU_1075	5	18.465665354217	291	0.181556702578469	0	0	0.220415507511194	0.32
OTU_1095	3	6.72200326084027	69	0.0586718210247524	0	2	0.27050089040023	0
OTU_1096	4	56.9313649680373	548	0.108526415352245	0	1	0.194037631426583	0.375
OTU_1112	2	5.23140193140193	27	0.0183455899507109	0	1	-0.310460210282533	0
OTU_1122	6	49.9773118261032	792	0.233069360384731	0	1	-0.310460210282533	0.444444444444444
OTU_1142	5	134.711523996332	1568	0.166222769955742	0	0	0.606142645655782	0
OTU_1143	6	28.6957659433428	410	0.12850537854228	0	2	0.27050089040023	0.5
OTU_1177	12	120.247818771796	1674	0.321634177783523	0	0	1.76332406008955	0.5
OTU_1505	1	0	0	0.0162413236067714	0	1	-0.814958051991649	0
OTU_1704	6	33.3923241613899	576	0.224369510527797	0	0	0.220415507511194	0.5
OTU_1743	1	0	0	0.00389730644252316	0	0	-0.936765906922572	0
OTU_1745	11	179.227283954546	1467	0.186638788217049	0	1	2.71652683997216	0.429752066115702
OTU_1773	4	15.7132632868507	199	0.112786009613447	0	0	-0.551038768777984	0.625
OTU_1774	15	267.13595042862	2051	0.236225863929769	0	2	2.97550979440253	0.604444444444444
OTU_1781	12	123.607718715492	1667	0.286080167446277	0	1	1.70753115655393	0.611111111111111
OTU_1784	14	227.053310223656	2144	0.32453838785118	0	0	2.53477833637873	0.448979591836735
OTU_181	1	0	0	0.0353519526899383	0	2	-0.811502671200689	0
OTU_2044	4	60.125	403	0.073507066870793	0	0	-0.165311630633395	0.375
OTU_207	3	17.0883978585791	162	0.082514280677374	0	2	-0.27050089040023	0.444444444444444
OTU_2245	3	9.67011831782157	184	0.126298339440995	0	0	-0.936765906922572	0.666666666666667
OTU_2314	1	0	0	0.011000566604673	0	0	-0.936765906922572	0
OTU_2601	2	4.34939309056956	38	0.0441323775197814	0	2	-0.27050089040023	0
OTU_2607	3	87	941	0.0260422554153904	0	0	-0.165311630633395	0
OTU_2623	3	18.681107300235	259	0.132053734577146	0	0	-0.551038768777984	0.444444444444444
OTU_2630	1	0	0	0.0353519526899383	0	2	-0.811502671200689	0
OTU_2730	3	28.592424544055	162	0.080910236588452	0	1	-0.310460210282533	0.444444444444444
OTU_2893	3	12.9313649680373	154	0.106095849561451	0	1	-0.310460210282533	0.444444444444444
OTU_2897	3	8.30917550483627	96	0.0973959997045164	0	2	-0.27050089040023	0.444444444444444
OTU_3107	6	49.9773118261032	792	0.233069360384731	0	0	0.220415507511194	0.444444444444444
OTU_3282	1	0	0	0.0485682030854783	0	0	-0.936765906922572	0
OTU_3299	5	48.8541978037222	603	0.16006539847224	0	2	0.27050089040023	0.48
OTU_3462	1	0	0	0.0353519526899383	0	2	-0.811502671200689	0
OTU_453	6	92.0324930539007	985	0.18785416338033	0	2	0.27050089040023	0.611111111111111
OTU_468	1	0	0	0.0485682030854783	0	0	-0.936765906922572	0
OTU_501	8	66.5393733851522	914	0.219252540621072	0	0	1.37759692194496	0.21875
OTU_502	1	0	0	0.0279310889221851	0	1	-0.814958051991649	0
OTU_503	8	66.5393733851522	914	0.219252540621072	0	0	1.37759692194496	0.21875
OTU_614	3	38.2675990675991	73	0.0416771314760444	0	1	-0.310460210282533	0.444444444444444
OTU_65	1	0	0	0.0279310889221851	0	1	-0.814958051991649	0
OTU_754	2	0.554112554112554	8	0.0967017818872077	0	0	-0.551038768777984	0
