"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92","bin93","bin94","bin95","bin96","bin97","bin98","bin99","bin100","bin101","bin102","bin103","bin104","bin105","bin106","bin107","bin108","bin109","bin110","bin111","bin112","bin113","bin114","bin115","bin116","bin117","bin118","bin119","bin120","bin121","bin122","bin123","bin124","bin125"
"CbMPDiCbraya","Group","D0","HeS",0,0,0,0,0,1.52480840324584e-05,2.02989599535305e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79920058764628e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175654782463667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00038137940486e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CbMPDiCbraya","Group","D0","HoS",0,2.3489768433079e-05,0,2.17523927349374e-05,0.00188841699258926,8.38310143287232e-05,5.28441409819191e-06,0,0.00236693441017459,0.000429630059286781,0.000307565021609064,6.56983551273338e-07,0.00461180246283942,0.000374869096450867,0,0,0,0,0,0,0.00112831684348335,0,0,0,0,0,0,0.000284967341350952,0.00243388671320574,0,0.00337448820229034,0,2.30803386283003e-05,0.00475315845299587,5.31515981156544e-06,0.000135098809386208,3.28530597071372e-07,0,0.0154724809771861,2.60743182822566e-05,0.00410201687010769,0,0,0.000783856805950652,0.000114672694410206,0.00238002011736516,0,0,0,0.0185097465192656,0.00200137291706888,0.000138798812395996,0.00163469837810337,0.00257918175896688,0,0.0172036287175767,0,0,0,0,0,0,0,0.000588669336606625,0.00380824721530719,0.000878578762391621,0,8.14135413338721e-06,0,0,0.00160293125353238,0.000238475536773855,0,5.09212346787689e-06,0.00147671019808506,0,0,0,3.29947151554666e-05,0,0,0,0,7.48473941388099e-06,0,0,0,0,0,0,0,0,0.000786686639791158,0,0,0.00303692662234764,6.92895713497378e-05,0,0.000177662172507379,0.000621492591486921,0.00518359638653229,0.0483314740686,8.74356979000057e-06,0.00638759609594116,0.011503363187456,0.00222642119282024,0.0158906680276452,0.00272921068489182,0.0150821236928578,0.000803141464328435,0,0,0.0113918922440008,2.37866174897362e-05,0,0.000172765136529662,0.00149386351668516,0,0,0,0,0.0100922837470671,0.00093482241277936,0.00101163898962289,0.000343600786298171
"CbMPDiCbraya","Group","D0","DL",0.000251611057950386,0,0.000150398997764613,0,0,0,0,0,0,0.00101057136524709,0.00132390655526389,0,0,0.00288278722574915,0.00380316854241787,0.0109531641734371,0.0122449614498756,0.00608734785506075,0.0048516444784575,0.00156911832101529,0.00508098092700861,0.00497739096069627,0.0028421285643254,0.0015803517697836,0.00200446781229719,0.00260880886466459,0.00586906517645661,0.00386769916973066,0.00784130598492091,0.00518280881125981,3.79991492391626e-05,0.00227050335541198,0,0,0,0,0,0,0,0,0.00011144732711629,0,0,0,0,0,0,0,0,0,0.00152442158538489,5.32897190640934e-05,0,0,0,0,0.0242036257270876,0.000655554260474846,0.00601591500278135,0.000650495496219583,0.00365290850970267,0.00282862630036521,0.00114437696203093,0.00132291963185453,0.00130568873182708,0.00010041261940752,0.000619791813148453,0,0,0.000133110567272703,0,0,0,0,0,0.00174749453786702,0,0,0.00205740242681282,0.00106886292754492,0.00116277758494803,0.00589070967191905,0.00628969370474665,0,0,0.00112552393583778,0.00334339197751837,0.00617078709361559,0.0592932433145298,0.00212275056630232,0.00200263265130145,0,0.000700505547041851,0,0.00313385600925882,0.0012732122469653,0.000162643364872159,1.46681976166804e-05,0,0.0154437397631929,0,0,0,0,0,0.0120407935408672,0,0,0,0.00020101463660503,0.031192081826171,0.00152085103065447,0,0,0.00463502991135307,0,0.000731420007395538,0.00261274625001554,0,0.000848156994469301,0.000304614449684744,0,0.000105993664075566,0,0
"CbMPDiCbraya","Group","D0","HD",0.000413580743820657,0.000225765947856003,0.000103849716453058,4.41379805573978e-05,0,1.79391966692602e-05,5.84199534591361e-05,0.000547883017967604,0,7.77449044494461e-05,2.63637122676223e-05,1.39428506360827e-05,0,0,0,0.000154697352946111,0.000155515941057305,0,0,0,0,0.000341437924186166,0,1.96664878181585e-05,0,0,0,0.000116344817866386,0.000106190718786401,0,0,6.59591803991308e-05,0.000585626317064306,0.000916761532595951,6.65891743052491e-05,0.000225452749372038,3.99709476106543e-05,0.000518839057515043,0,1.62964489264104e-05,9.58231960408087e-05,0.000156588188482578,0.000234313164851264,1.24407331566432e-05,0.000400753578840057,0,0.00024214916714685,0.000618468460559142,3.94861996257708e-05,0,4.06225898277588e-05,0.000395362979846151,0.000627153687105837,0,0.000506197269708901,0.00381677584117835,0,5.28169620623948e-05,0.000335201966325694,1.72311398551902e-05,0.00072590761282966,0.00206524860275533,1.45857651876909e-05,0,0,0,0,1.13004897239511e-05,0.000433327126195545,0.000311823983850608,0.00160484961075739,0.000136324426511415,0.000851791444484224,5.26226798001904e-05,0.00144154785815999,0.000164247781805577,0.000166738721015501,0.00150194598211813,2.73363100571138e-05,0.000159836989708295,4.44106854960312e-05,0.000101074662461523,0.000166986451501968,0.000163513212711203,0.00236052932036636,0,3.81621632430626e-05,0.000126586911063304,0.00253210196528051,4.02797531628515e-05,0.000654182075908311,0.00114436230087537,0.000562587981267682,0.00177522744144001,0,0.000105596934660183,9.11502069283372e-06,3.07726419081181e-05,0.000211277782388634,0.00844910720501459,0,0,0.000134792932534261,0,0,0.000917095566774366,0.00347433905757978,0,0,6.73152988973661e-05,0,0.00190695838653993,0.000322713801901216,0.000283735460490714,0.000919412608419946,0.000182058462660602,0.00032089011202099,0.00105078290296377,0.000620496266786957,1.39198283928998e-05,3.5480309872449e-05,0,4.53443877907116e-05,0,9.65041664624812e-05
"CbMPDiCbraya","Group","D0","DR",0.00112728090887526,0.000698476346017812,0.000386382080614768,0,0,0,0,0.000549916041809797,0,0.000391724547026036,0.000546973365849318,4.96571332222146e-07,0,0.000495545927156252,0.00125997298793815,0.00414024782970235,0.00513299841617408,0.00251946470570966,0.00182791423977638,0.000509568996627051,0.00132827278210392,0.0031713459913786,0.00094063139439815,0.000836628893990169,0.00043624080374312,0.000835362674661193,0.00185474288730972,0.00161127451450895,0.00197090538667336,0.000916315300339642,3.55592440492484e-05,0.000396790408230037,0.000114537725777903,0.00208653629178298,0,2.27909158957442e-05,0,0.000872223406925901,0,0,0.0003905412540882,0.000465095159163085,0,3.78327394382434e-05,6.38208205927355e-05,0,0.000215852594602048,0.000179750150167209,0.000153210831257371,0,0.000890287479002898,0.000835168081898583,0.000104293624582275,0,8.42378737681804e-05,0.00204013744002011,0.0178079988831746,0.00085259850664884,0.00180427957908713,0.000349450564462385,0.00245176850980499,0.00323029925381427,0.000281161869142771,0.00046956409818583,0.000350245503673985,3.04331722121895e-05,0.000270237196250446,9.77521709511066e-07,0.00139389267500232,0.00085899896528082,0.000438960809897352,0,7.02200705677192e-05,0,3.08566061908046e-05,0.000492030953805766,0,0.00655036263483766,0.000807745946421953,0.00103630907338875,0.000210713560112017,0.00211031172525749,0.00152725257140945,0.000154321127120789,0.00267757637160932,0.00047675036270292,0.000779989692359285,0.00243481790498446,0.0652750685962259,0.00168577056720986,0.00229977902111613,0.000792658134971208,0.00389938821995387,0.0125899665827577,0.00102898082586019,0.000716940734419041,0.000333064841549782,0.000180877004052023,7.85342292554562e-05,0.0294705716738997,0,0,0.000594924600232165,0,0,0.0129181007471027,0.133989621038099,0,0,0.000141167932149939,0.0273688985717498,0.00334791043929035,0.0166483466492427,0,0.00303628740370073,0,0.0013574855423198,0.00220393881394945,6.32158740406064e-06,0.000368314459258825,0.000650771676318913,0,5.99788679642664e-05,0,0.000317174040598576
"CbMPDiCbraya","Group","D1","HeS",0,0,9.06267069800164e-05,0,0,0,0,0,0,0,8.99872777273246e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03645156400681e-05,0,0,0,0,0,0,0,3.02639229836556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55292820098563e-05,0,0,0,0,0,0,7.1257439069001e-06,1.24643355470205e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124644446577987,0
"CbMPDiCbraya","Group","D1","HoS",0.000361735470699141,0.00112677908036253,2.68339707107438e-05,0.000768915337422864,0,0,1.23003197325955e-05,0,0.0138503605645138,0,0.000227768540736644,0.000532447001389211,0.00618432585132194,2.30459186184664e-05,4.75991356460576e-06,0,0.000968228402665606,0,0,0,0,0.0016336504461509,5.99784726701242e-05,3.55632082113975e-05,0,0,0,1.86640235638235e-05,0.00172760554697436,0,0.000428027265489154,0,1.0982507058345e-05,0.0331021718881773,0,0.000455846920102932,0.000351367733660882,0.000245342192305704,0.00803920817138627,9.69131577941109e-05,0.00193388183272863,0,0,0.00103141807322591,0,0.0832223360395384,0.000415879586590635,0,0,0.00322046696412644,5.04768323744016e-05,6.70068446322651e-05,0.00214434868132039,0.00300871053284472,0,0.0254559811247651,0.00206816044424614,0,0.000547822440986804,0,5.96048025072425e-05,0.000616045805696575,2.53213445361999e-06,1.19474485957267e-05,0.000433219581856456,2.93098748548833e-05,0,9.65089356354103e-06,0.0148722171824192,0.00319023056834272,0,6.42179464094181e-06,7.54339449989712e-05,2.34072892543895e-05,0.00111156531362668,5.4633809344837e-05,0,0,0,0.00158045595559239,8.40760095703043e-06,0,0.00255580506906661,2.3793305479612e-05,0,0,0,0.00250747611732581,0,0.000887440698395145,0,0.0181618059681112,4.20207831723796e-06,0,0,0,0,9.76221746294069e-05,0,0.0422603283395954,0.0258186897505121,0.020720423564575,0.00211833457573778,0.035892126771738,0.00538465542685221,0,0.0930138092550458,0.00131614146676322,0.040775929334161,0,0,0.0112268468713817,0.0111379369645698,0.00260415794652035,0,0.000396992178834853,6.27883553199361e-06,0.00709622452360298,0.00064094262881889,3.95341339044419e-06,0.000154346144977651,0.00819470953313284,0.000151473701383147,0,5.64330183260427e-05
"CbMPDiCbraya","Group","D1","DL",0.0065443074504161,0.00707261613279214,0.000646184723665198,0.000643286926764308,0.00514578009684505,0.00121055087499632,0.000735330426586028,0.00958401700192548,0,0.00138025918925612,0.000337704614719559,0.00024878310292312,0,0,0,4.87329585106064e-05,0.000272044773855855,0.000629962083838368,4.91372638086796e-05,0,0,0.00257260976349309,0.000159609962462677,0.000329079620532903,0,0,0,0,0,0,0,0,0,0.000881930221151158,0.00140291429788771,0.00450384583115238,0.00032736773882076,0.00606927569782027,0,0,0.00240461396922934,0,0.00563366678274821,0.00159092336203682,0.00360616067798005,0,0.000966381095005734,0.0231997977716816,0.00201637192727517,3.57605678287985e-05,1.53763722670568e-05,0.00404830951920136,0.000486389101636836,0,0.000117856509288549,0.0184479871398899,0,0.00127854192659403,0.00250458661494747,0.000480773749971392,0.00414576351132901,0.00529852078731404,4.49545503079478e-06,8.88095894358571e-05,0.000120611923835675,0.000181252945386145,0,0.00049330778744428,0,0,0,0,0,0,0,3.02755005408399e-05,0,0,0,0.000939138746127989,0,2.52276204270014e-05,0.000298271830810641,0.000406667814330073,0,0,0,0.00045329775382177,0.000762214870352367,0.000193108205407543,0.000119566217322501,0,0,0,0.000268981203756336,0.00378442757973383,0.000224250444653898,3.78825343616441e-05,0.000838566018539061,0.0568942548048797,0.000269604560391596,0.0264192840868757,0.00154493351003378,0,0,0.00226731571466133,0.0165891309341177,0,0,0.00550058080282038,0,0,0,0.000179786142739397,0.00632465198449529,0,0,7.16783735569903e-05,0,0,7.23915026048981e-05,0,0.000648430649279045,0.00096658536689134,0
"CbMPDiCbraya","Group","D1","HD",0,0,0,0,0,0.000190811856470319,2.01516355477845e-06,0,0,0,0,0,0,5.51087874631386e-05,6.18184700019489e-05,0.000328434028315821,6.64556056433598e-05,3.88729480819675e-05,6.75864847082158e-05,7.07771711901413e-05,0.00032984953203284,0,2.05513385191273e-05,4.26953997618811e-05,9.55881705401517e-05,3.17483267746787e-05,0.00029052512270994,0.00017659852397842,0,0.000242731239393603,4.32208273017345e-05,8.49570227023392e-05,0.000254782225175523,0,2.42565456336786e-05,0,0,0,0,1.92797915187636e-05,0,0.000126728401817758,0,0,0,0,0,0,0,0,0.000101303982908262,0,0,0,0.000187923317029449,0,6.20388255008166e-05,0,2.91917258402225e-05,1.40487224185013e-05,0,0,3.72833946907368e-05,4.17787503624808e-05,3.87074864027721e-05,1.91309519520055e-05,1.61001070411302e-05,0,0,0,0.000608510422768147,1.66148111605974e-05,0.00024512834247241,0.000112474651525576,4.07469435976676e-05,0.000125912057634015,0.000263199475457128,0.00086802405954137,2.4595276762942e-05,3.85856096377836e-06,2.25653350976214e-05,6.94303669980635e-05,0,1.32833117657759e-05,0.00155056723661021,3.94371775824763e-05,5.32782868141657e-05,0,0,1.60374266649587e-05,8.61869312018478e-05,0,0.000277753073755676,0.00100236859077066,0,0,1.36947522225939e-05,0,0,0.00193996852298718,0,0,0,0,0,0,0,0,0,0,0.000755766771837687,0,0,0,0,6.40188371111075e-05,0.000296210444235961,0,0.000298961431481591,9.95210037742311e-05,2.92096360741121e-05,0,0,0,0.000288987344579235
"CbMPDiCbraya","Group","D1","DR",0,0.00053372970890887,2.02562307411037e-05,2.1616457204804e-05,0.000105930015928921,0.00477974696538219,0.000152074651000949,7.28571882858591e-05,0,0.000156490149748933,0.000210469445585995,1.28551741757193e-05,0,0.000181457419864108,0.000424775357585721,0.00144658403887242,0.00126241528349965,0.000865441264732356,0.000755110566015487,0.000110696725898684,0.000479640672053175,0.000552094914305529,0.000657342970708465,0.000777226326624442,4.95854384804818e-06,0.000280859395248284,0.000373330838696583,0.000386689017492143,2.15700155912733e-05,0.000363894187277076,3.62067230315305e-05,0.000169363789923907,0.000441065454301193,0.00121255791752861,0.00134719146302692,0.000311779997046729,1.61567916803824e-05,0.000193042684751144,0,0.000179185280776324,0.000936986498035016,0.000218170687069506,9.33977669188969e-05,0,0,0,6.42397014987397e-05,0.0023348686086043,0.00025165736446341,0.000197643788031746,0.00092191367714908,0.000107442343282741,0.000592696246655831,0,0.000464522605298804,0.000328887890175183,0.00365756094361924,0.000239089708401855,0.00105684381761148,0.000362886784438717,0.000681192567726128,0.000259103292874795,0.000229542287432022,0.000382206609220174,0.000303678152398596,0.000267793949139116,0.000124377264318626,3.53355394487144e-05,0,0,0,0,0,0,6.69106984351635e-05,0.000258496786278353,0.00044835362113643,0,0.000675235910291993,0.000131303462440959,0.00021433128254129,0.000801797159146021,0.000264062938294053,0.00131985304777635,0.000506460764168446,0.000112707040092375,0.000235054487678665,0.000264037336508087,0.0219643391825802,0.00020420106470441,0.000710364888172229,0,0.000155351716131888,0.000824851738486745,0.000827869276277831,0.00135922658536746,0.000337395517981065,0.000102958161638612,0.00030721356056754,0.0885349770924103,0.000360794478784252,0.00450625697728236,4.84349939326869e-05,0,0,0.00670037360388911,0.0137636204801173,0,0,4.89837805638083e-05,0.00161400485765786,0,0,0.000519737167132934,0.00161370937738488,4.39280571114062e-05,0.000439296055490897,0,0.000125816269855803,0.000278180968612131,0.000176569073168455,0,0.000112199126185445,0.000188530422280752,5.79221327696063e-05
