"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"D5","Stochasticity","0.4059081158","0.4061170077","0.0581903641","0.2623011857","0.368224849","0.4058082237","0.443724112","0.5378565278","0.2623011857","0.368224849","0.4058082237","0.443724112","0.5378565278",NA,NA,NA,NA,NA,NA
"D6","Heterogeneous.Selection","0.0523667767","0.0516968453","1.312309e-02","0.0169552642","0.0429872003","0.0513665702","0.0601414745","0.0930967913","0.0213357396","0.0429872003","0.0513665702","0.0601414745","0.0811661051","0.0169552642","0.0930967913",NA,NA,NA,NA
"D6","Homogeneous.Selection","0.6953152009","0.6906237291","3.929534e-02","0.5922826343","0.6631157056","0.6927723848","0.7176728898","0.7811509594","0.5922826343","0.6631157056","0.6927723848","0.7176728898","0.7811509594",NA,NA,NA,NA,NA,NA
"D6","Dispersal.Limitation","0.0318200087","0.0327072116","9.202463e-03","0.0129326567","0.0258066551","0.0327409871","0.0406267201","0.0524961301","0.0129326567","0.0258066551","0.0327409871","0.0406267201","0.0524961301",NA,NA,NA,NA,NA,NA
"D6","Homogenizing.Dispersal","0.0004278774","0.0004220164","6.064488e-05","0.0002882907","0.0003821763","0.0004212292","0.0004515409","0.0006190083","0.0002882907","0.0003821763","0.0004212292","0.0004515409","0.0005515966","0.0006052414","0.0005623156","0.0006190083",NA,NA,NA
"D6","Drift.and.Others","0.2200701363","0.2245501976","3.056977e-02","0.1438755792","0.2064018458","0.2258375131","0.2430324573","0.3011962163","0.1634408583","0.2064018458","0.2258375131","0.2430324573","0.2857922515","0.1438755792","0.2981116368","0.3011962163",NA,NA,NA
"D6","Stochasticity","0.2523180224","0.2576794256","3.573934e-02","0.1603581796","0.2316517990","0.2581269895","0.2808720642","0.3369864251","0.1603581796","0.2316517990","0.2581269895","0.2808720642","0.3369864251",NA,NA,NA,NA,NA,NA
"D7","Heterogeneous.Selection","7.792370e-02","7.843905e-02","1.743129e-02","4.391720e-02","6.544593e-02","7.724635e-02","9.049497e-02","1.262557e-01","4.391720e-02","6.544593e-02","7.724635e-02","9.049497e-02","1.262557e-01",NA,NA,NA,NA,NA,NA
"D7","Homogeneous.Selection","5.038913e-01","5.024371e-01","3.325644e-02","4.232694e-01","4.797346e-01","5.009504e-01","5.229190e-01","5.927278e-01","4.232694e-01","4.797346e-01","5.009504e-01","5.229190e-01","5.788740e-01","0.5927278",NA,NA,NA,NA,NA
"D7","Dispersal.Limitation","1.001725e-01","9.718884e-02","2.777267e-02","4.376269e-02","7.458862e-02","9.900568e-02","1.156895e-01","1.858032e-01","4.376269e-02","7.458862e-02","9.900568e-02","1.156895e-01","1.654877e-01","0.1858032",NA,NA,NA,NA,NA
"D7","Homogenizing.Dispersal","1.007738e-05","1.000211e-05","4.146280e-06","2.451539e-06","6.876881e-06","9.887299e-06","1.263867e-05","2.072694e-05","2.451539e-06","6.876881e-06","9.887299e-06","1.263867e-05","2.072694e-05",NA,NA,NA,NA,NA,NA
"D7","Drift.and.Others","3.180025e-01","3.219250e-01","3.813332e-02","2.302014e-01","2.957541e-01","3.152265e-01","3.465720e-01","4.224467e-01","2.302014e-01","2.957541e-01","3.152265e-01","3.465720e-01","4.224467e-01",NA,NA,NA,NA,NA,NA
"D7","Stochasticity","4.181850e-01","4.191239e-01","3.690000e-02","3.287137e-01","3.919043e-01","4.155530e-01","4.473188e-01","4.981803e-01","3.287137e-01","3.919043e-01","4.155530e-01","4.473188e-01","4.981803e-01",NA,NA,NA,NA,NA,NA
"D0_vs_D1","Heterogeneous.Selection","0.003517081","0.003546674","0.0003904314","0.002577402","0.003210802","0.003580845","0.003879886","0.004362627","0.002577402","0.003210802","0.003580845","0.003879886","0.004362627",NA,NA,NA,NA,NA,NA
"D0_vs_D1","Homogeneous.Selection","0.428310771","0.429724281","0.0127555337","0.396590705","0.422166969","0.430086232","0.438917536","0.455410002","0.403466621","0.422166969","0.430086232","0.438917536","0.455410002","0.396590705",NA,NA,NA,NA,NA
"D0_vs_D1","Dispersal.Limitation","0.534880488","0.534901724","0.0114231541","0.508004376","0.527130077","0.534893214","0.543115344","0.561792551","0.508004376","0.527130077","0.534893214","0.543115344","0.561792551",NA,NA,NA,NA,NA,NA
"D0_vs_D1","Homogenizing.Dispersal","0.001708851","0.001696342","0.0001864400","0.001250372","0.001573976","0.001699357","0.001808408","0.002349906","0.001250372","0.001573976","0.001699357","0.001808408","0.002065893","0.002349906",NA,NA,NA,NA,NA
"D0_vs_D1","Drift.and.Others","0.031582809","0.030130979","0.0093610265","0.019341236","0.022111389","0.029982551","0.037587537","0.065572011","0.019341236","0.022111389","0.029982551","0.037587537","0.057271184","0.065572011",NA,NA,NA,NA,NA
"D0_vs_D1","Stochasticity","0.568172148","0.566729045","0.0127122929","0.541449594","0.557326351","0.566447533","0.574407232","0.599823907","0.541449594","0.557326351","0.566447533","0.574407232","0.599823907",NA,NA,NA,NA,NA,NA
"D0_vs_D3","Heterogeneous.Selection","0.01261972","0.01264691","0.001854250","0.007999061","0.01141104","0.01236951","0.01369139","0.01834633","0.007999061","0.01141104","0.01236951","0.01369139","0.01650015","0.0174039","0.01834633",NA,NA,NA,NA
"D0_vs_D3","Homogeneous.Selection","0.35861454","0.35900678","0.018554656","0.328256810","0.34489970","0.35861454","0.36614793","0.42769334","0.328256810","0.34489970","0.35861454","0.36614793","0.38646029","0.4081300","0.41002295","0.4276933","0.4009222","0.4128758",NA
"D0_vs_D3","Dispersal.Limitation","0.43108845","0.42829537","0.031729245","0.340260061","0.40681801","0.43103370","0.45015491","0.50838133","0.359433497","0.40681801","0.43103370","0.45015491","0.50838133","0.3402601",NA,NA,NA,NA,NA
"D0_vs_D3","Homogenizing.Dispersal","0.01727056","0.01731079","0.001661255","0.013943136","0.01607499","0.01727056","0.01837717","0.02088577","0.013943136","0.01607499","0.01727056","0.01837717","0.02088577",NA,NA,NA,NA,NA,NA
"D0_vs_D3","Drift.and.Others","0.18040673","0.18274015","0.022251339","0.121425085","0.16972658","0.18400609","0.19548033","0.23746310","0.132827358","0.16972658","0.18400609","0.19548033","0.23112839","0.1259334","0.12142508","0.2374631",NA,NA,NA
"D0_vs_D3","Stochasticity","0.62876575","0.62834631","0.018202070","0.561753547","0.62074647","0.62931559","0.64244293","0.65933705","0.601553777","0.62074647","0.62931559","0.64244293","0.65933705","0.5815275","0.57693026","0.5617535","0.5874342","0.5724863",NA
"D0_vs_D5","Heterogeneous.Selection","0.02382461","0.02374512","0.002763891","0.01629235","0.02179723","0.02410686","0.02543103","0.03111922","0.01794336","0.02179723","0.02410686","0.02543103","0.02890864","0.03111922","0.01629235",NA,NA,NA,NA
"D0_vs_D5","Homogeneous.Selection","0.30782886","0.30700912","0.027689550","0.25065754","0.28441242","0.30740417","0.32422307","0.36791023","0.25065754","0.28441242","0.30740417","0.32422307","0.36791023",NA,NA,NA,NA,NA,NA
"D0_vs_D5","Dispersal.Limitation","0.41319095","0.41148444","0.033208446","0.34885452","0.38722874","0.41239189","0.43405065","0.49282931","0.34885452","0.38722874","0.41239189","0.43405065","0.49282931",NA,NA,NA,NA,NA,NA
"D0_vs_D5","Homogenizing.Dispersal","0.05709192","0.05685662","0.010123765","0.03201743","0.05015695","0.05620467","0.06251214","0.08237703","0.03201743","0.05015695","0.05620467","0.06251214","0.07869638","0.08235638","0.08237703",NA,NA,NA,NA
"D0_vs_D5","Drift.and.Others","0.19806366","0.20090470","0.029720725","0.14332228","0.17661111","0.20300888","0.22059493","0.27086809","0.14332228","0.17661111","0.20300888","0.22059493","0.27086809",NA,NA,NA,NA,NA,NA
"D0_vs_D5","Stochasticity","0.66834653","0.66924576","0.027263387","0.60952200","0.65150381","0.67061396","0.69108907","0.72279768","0.60952200","0.65150381","0.67061396","0.69108907","0.72279768",NA,NA,NA,NA,NA,NA
"D0_vs_D6","Heterogeneous.Selection","0.02650622","0.02643030","0.002396379","0.02181279","0.02475774","0.02629129","0.02797131","0.03265398","0.02181279","0.02475774","0.02629129","0.02797131","0.03265398",NA,NA,NA,NA,NA,NA
"D0_vs_D6","Homogeneous.Selection","0.26143159","0.26474283","0.021543075","0.21200748","0.24992414","0.26315312","0.27685600","0.34661303","0.21200748","0.24992414","0.26315312","0.27685600","0.30750826","0.31824247","0.3466130",NA,NA,NA,NA
"D0_vs_D6","Dispersal.Limitation","0.39709926","0.39634976","0.023537131","0.35104102","0.37768514","0.39303517","0.41268421","0.45843449","0.35104102","0.37768514","0.39303517","0.41268421","0.45843449",NA,NA,NA,NA,NA,NA
"D0_vs_D6","Homogenizing.Dispersal","0.04411132","0.04463098","0.006310033","0.02720601","0.04059742","0.04432899","0.04827898","0.06217848","0.03131757","0.04059742","0.04432899","0.04827898","0.05911148","0.06217848","0.0620072","0.02720601",NA,NA,NA
"D0_vs_D6","Drift.and.Others","0.27085160","0.26784613","0.019460040","0.21632259","0.25695577","0.26909549","0.28158515","0.33822376","0.22117664","0.25695577","0.26909549","0.28158515","0.30596033","0.21632259","0.3382238",NA,NA,NA,NA
"D0_vs_D6","Stochasticity","0.71206219","0.70882687","0.021168527","0.62713217","0.69618209","0.71015242","0.72475151","0.75703492","0.65625497","0.69618209","0.71015242","0.72475151","0.75703492","0.62713217",NA,NA,NA,NA,NA
"D0_vs_D7","Heterogeneous.Selection","0.03415989","0.03402769","0.002742210","0.02788226","0.03184615","0.03395441","0.03552631","0.04144503","0.02788226","0.03184615","0.03395441","0.03552631","0.04095123","0.04144503",NA,NA,NA,NA,NA
"D0_vs_D7","Homogeneous.Selection","0.21921641","0.21807296","0.020663491","0.16527439","0.20544124","0.21790866","0.23050719","0.27128139","0.17142351","0.20544124","0.21790866","0.23050719","0.26744705","0.27128139","0.1652744",NA,NA,NA,NA
"D0_vs_D7","Dispersal.Limitation","0.34265580","0.34088354","0.028557258","0.26208003","0.32595551","0.34192120","0.35665325","0.41064682","0.29305317","0.32595551","0.34192120","0.35665325","0.39963453","0.40637337","0.2700912","0.4106468","0.26208","0.2645051",NA
"D0_vs_D7","Homogenizing.Dispersal","0.08148603","0.08170069","0.008841107","0.06161120","0.07488420","0.08087388","0.08826069","0.10576686","0.06161120","0.07488420","0.08087388","0.08826069","0.10576686",NA,NA,NA,NA,NA,NA
"D0_vs_D7","Drift.and.Others","0.32248188","0.32531513","0.020876280","0.27297070","0.31038053","0.32362764","0.33608661","0.38105154","0.27297070","0.31038053","0.32362764","0.33608661","0.37258031","0.38002057","0.3810515",NA,NA,NA,NA
"D0_vs_D7","Stochasticity","0.74662371","0.74789935","0.020756846","0.69051354","0.73560198","0.74788542","0.76110925","0.80042073","0.70364284","0.73560198","0.74788542","0.76110925","0.78934487","0.69051354","0.8004207","0.6970266",NA,NA,NA
"D1_vs_D3","Heterogeneous.Selection","0.01591224","0.01620847","0.002583881","0.010627054","0.01424849","0.01601327","0.01797123","0.02349486","0.010627054","0.01424849","0.01601327","0.01797123","0.02349486",NA,NA,NA,NA,NA,NA
"D1_vs_D3","Homogeneous.Selection","0.54481109","0.54699829","0.038275062","0.456460914","0.51773137","0.54573159","0.57416945","0.64903089","0.456460914","0.51773137","0.54573159","0.57416945","0.64903089",NA,NA,NA,NA,NA,NA
"D1_vs_D3","Dispersal.Limitation","0.16321412","0.16354274","0.022199736","0.123166374","0.14923361","0.15973570","0.17688710","0.23152149","0.123166374","0.14923361","0.15973570","0.17688710","0.21374834","0.23152149",NA,NA,NA,NA,NA
"D1_vs_D3","Homogenizing.Dispersal","0.01870830","0.01856823","0.007129119","0.008149761","0.01369975","0.01751260","0.02166053","0.05408660","0.008149761","0.01369975","0.01751260","0.02166053","0.03250600","0.03628584","0.03833992","0.0540866",NA,NA,NA
"D1_vs_D3","Drift.and.Others","0.25735426","0.25468227","0.030568591","0.172096450","0.23791035","0.25436972","0.27626704","0.31911413","0.194542446","0.23791035","0.25436972","0.27626704","0.31911413","0.17209645","0.17573308",NA,NA,NA,NA
"D1_vs_D3","Stochasticity","0.43927667","0.43679324","0.038997689","0.333404995","0.40858566","0.43815657","0.46735179","0.52752582","0.333404995","0.40858566","0.43815657","0.46735179","0.52752582",NA,NA,NA,NA,NA,NA
"D1_vs_D5","Heterogeneous.Selection","0.07014523","0.07007221","0.008608333","0.05291646","0.06319825","0.07088416","0.07641219","0.09097429","0.05291646","0.06319825","0.07088416","0.07641219","0.09097429",NA,NA,NA,NA,NA,NA
"D1_vs_D5","Homogeneous.Selection","0.46479641","0.47415592","0.039537061","0.34133483","0.44987644","0.47508070","0.49929979","0.56711423","0.38220302","0.44987644","0.47508070","0.49929979","0.56711423","0.3413348",NA,NA,NA,NA,NA
"D1_vs_D5","Dispersal.Limitation","0.16273713","0.15951953","0.024249145","0.09844503","0.14567188","0.16273713","0.17428205","0.25801274","0.10374758","0.14567188","0.16273713","0.17428205","0.20285709","0.2580127","0.09844503",NA,NA,NA,NA
"D1_vs_D5","Homogenizing.Dispersal","0.08915716","0.08615647","0.019115365","0.03892787","0.07381016","0.08625713","0.10016066","0.13687284","0.03892787","0.07381016","0.08625713","0.10016066","0.13687284",NA,NA,NA,NA,NA,NA
"D1_vs_D5","Drift.and.Others","0.21316406","0.21009587","0.029195948","0.14986141","0.19163291","0.20910453","0.22729653","0.30442284","0.14986141","0.19163291","0.20910453","0.22729653","0.26919351","0.2895043","0.30442284",NA,NA,NA,NA
"D1_vs_D5","Stochasticity","0.46505836","0.45577187","0.038952206","0.34978046","0.43060144","0.45380499","0.47851191","0.57760588","0.36494764","0.43060144","0.45380499","0.47851191","0.53282293","0.3497805","0.57760588","0.5560338",NA,NA,NA
"D1_vs_D6","Heterogeneous.Selection","0.07493197","0.07521484","0.007420471","0.05682972","0.06997895","0.07503397","0.08070699","0.09526598","0.05682972","0.06997895","0.07503397","0.08070699","0.09526598",NA,NA,NA,NA,NA,NA
"D1_vs_D6","Homogeneous.Selection","0.45306582","0.45639152","0.031901752","0.34857029","0.43446295","0.45497535","0.47795279","0.53268656","0.40383882","0.43446295","0.45497535","0.47795279","0.53268656","0.3485703",NA,NA,NA,NA,NA
"D1_vs_D6","Dispersal.Limitation","0.14281219","0.14420486","0.016988136","0.10890418","0.13135416","0.14281219","0.15590877","0.18312952","0.10890418","0.13135416","0.14281219","0.15590877","0.18312952",NA,NA,NA,NA,NA,NA
"D1_vs_D6","Homogenizing.Dispersal","0.08102119","0.07972420","0.015962258","0.05037160","0.06805387","0.07803105","0.09105012","0.13710294","0.05037160","0.06805387","0.07803105","0.09105012","0.11352181","0.1371029",NA,NA,NA,NA,NA
"D1_vs_D6","Drift.and.Others","0.24816883","0.24446457","0.025120164","0.18672177","0.22380686","0.24307727","0.26303290","0.32123123","0.18672177","0.22380686","0.24307727","0.26303290","0.32123123",NA,NA,NA,NA,NA,NA
"D1_vs_D6","Stochasticity","0.47200220","0.46839364","0.031281385","0.39926607","0.44773008","0.46611403","0.49304865","0.57675318","0.39926607","0.44773008","0.46611403","0.49304865","0.52987962","0.5767532",NA,NA,NA,NA,NA
"D1_vs_D7","Heterogeneous.Selection","0.09182226","0.09230473","0.00980673","0.06767741","0.08633909","0.09262569","0.09892815","0.1187127","0.06767741","0.08633909","0.09262569","0.09892815","0.1109323","0.1187127",NA,NA,NA,NA,NA
"D1_vs_D7","Homogeneous.Selection","0.40273743","0.39884076","0.02769802","0.32692062","0.38101570","0.39682445","0.41843819","0.4624182","0.32692062","0.38101570","0.39682445","0.41843819","0.4624182",NA,NA,NA,NA,NA,NA
"D1_vs_D7","Dispersal.Limitation","0.16309392","0.16179925","0.02510384","0.10874932","0.14377332","0.16309392","0.17694126","0.2136662","0.10874932","0.14377332","0.16309392","0.17694126","0.2136662",NA,NA,NA,NA,NA,NA
"D1_vs_D7","Homogenizing.Dispersal","0.09974327","0.10222467","0.01655528","0.06356089","0.08886167","0.10296568","0.11191903","0.1371907","0.06356089","0.08886167","0.10296568","0.11191903","0.1371907",NA,NA,NA,NA,NA,NA
"D1_vs_D7","Drift.and.Others","0.24260311","0.24483059","0.02214878","0.19628250","0.22921463","0.24199105","0.26130200","0.2936849","0.19628250","0.22921463","0.24199105","0.26130200","0.2936849",NA,NA,NA,NA,NA,NA
"D1_vs_D7","Stochasticity","0.50544031","0.50885451","0.02678550","0.43066237","0.49112698","0.50834021","0.52423192","0.5819879","0.44814371","0.49112698","0.50834021","0.52423192","0.5731846","0.5819879","0.4306624",NA,NA,NA,NA
"D3_vs_D5","Heterogeneous.Selection","0.001026082","0.001015077","0.0003289010","0.0002861656","0.0007990354","0.0009554179","0.001219516","0.001982474","0.0002861656","0.0007990354","0.0009554179","0.001219516","0.001774043","0.001982474",NA,NA,NA,NA,NA
"D3_vs_D5","Homogeneous.Selection","0.676651755","0.678108681","0.0421565755","0.5609242744","0.6541294644","0.6789007083","0.711873839","0.749989634","0.5678652116","0.6541294644","0.6789007083","0.711873839","0.749989634","0.560924274",NA,NA,NA,NA,NA
"D3_vs_D5","Dispersal.Limitation","0.067695553","0.068496926","0.0137918073","0.0369873319","0.0577988348","0.0701942276","0.078159037","0.105880253","0.0369873319","0.0577988348","0.0701942276","0.078159037","0.105880253",NA,NA,NA,NA,NA,NA
"D3_vs_D5","Homogenizing.Dispersal","0.001887924","0.001905488","0.0003205113","0.0011274925","0.0017054153","0.0019080300","0.002090321","0.003166191","0.0011782951","0.0017054153","0.0019080300","0.002090321","0.002563457","0.003166191","0.001127493",NA,NA,NA,NA
"D3_vs_D5","Drift.and.Others","0.252738686","0.250473828","0.0398062315","0.1792238461","0.2184479659","0.2463973131","0.277392068","0.359916633","0.1792238461","0.2184479659","0.2463973131","0.277392068","0.359916633",NA,NA,NA,NA,NA,NA
"D3_vs_D5","Stochasticity","0.322322162","0.320876242","0.0421619965","0.2489577652","0.2863828656","0.3203634632","0.344932713","0.437867314","0.2489577652","0.2863828656","0.3203634632","0.344932713","0.430805129","0.437867314",NA,NA,NA,NA,NA
"D3_vs_D6","Heterogeneous.Selection","0.0327066295","0.0313364713","8.828067e-03","0.0141165364","0.0246076586","0.0296118201","0.0384318573","0.0547000972","0.0141165364","0.0246076586","0.0296118201","0.0384318573","0.0547000972",NA,NA,NA,NA,NA,NA
"D3_vs_D6","Homogeneous.Selection","0.6980258703","0.6990109141","3.253186e-02","0.5993117066","0.6813083957","0.7001922248","0.7199667678","0.7746506332","0.6239645293","0.6813083957","0.7001922248","0.7199667678","0.7746506332","0.61787940","0.6069794","0.5993117",NA,NA,NA
"D3_vs_D6","Dispersal.Limitation","0.0358184750","0.0350921936","9.165735e-03","0.0159349489","0.0287986355","0.0340451876","0.0428570844","0.0677976794","0.0159349489","0.0287986355","0.0340451876","0.0428570844","0.0542257507","0.06779768",NA,NA,NA,NA,NA
"D3_vs_D6","Homogenizing.Dispersal","0.0006660788","0.0006674193","6.973535e-05","0.0005161646","0.0006238777","0.0006673295","0.0007211744","0.0008601114","0.0005161646","0.0006238777","0.0006673295","0.0007211744","0.0008601114",NA,NA,NA,NA,NA,NA
"D3_vs_D6","Drift.and.Others","0.2327829464","0.2338930017","2.784884e-02","0.1800154684","0.2171243806","0.2339656848","0.2486858933","0.3330312017","0.1800154684","0.2171243806","0.2339656848","0.2486858933","0.2943418164","0.33303120","0.3073588","0.3009772",NA,NA,NA
"D3_vs_D6","Stochasticity","0.2692675002","0.2696526146","3.228688e-02","0.2068334285","0.2493648705","0.2693585835","0.2867271521","0.3646297552","0.2068334285","0.2493648705","0.2693585835","0.2867271521","0.3256087292","0.35891340","0.3646298","0.3492312","0.3535123","0.3445914",NA
"D3_vs_D7","Heterogeneous.Selection","0.0526983985","0.0511479255","0.0143695890","0.0229963230","0.0415543081","0.0489093361","0.0585082216","0.09489441","0.0229963230","0.0415543081","0.0489093361","0.0585082216","0.08053741","0.0847340","0.09489441",NA,NA,NA,NA
