"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"D3_vs_D7","Homogeneous.Selection","0.6016924773","0.6000949084","0.0323767556","0.5299644060","0.5757806080","0.6016924773","0.6198865497","0.72340105","0.5299644060","0.5757806080","0.6016924773","0.6198865497","0.66922399","0.7234010",NA,NA,NA,NA,NA
"D3_vs_D7","Dispersal.Limitation","0.0633293187","0.0654386696","0.0155113804","0.0352019314","0.0528429768","0.0642438902","0.0767832161","0.10316402","0.0352019314","0.0528429768","0.0642438902","0.0767832161","0.10316402",NA,NA,NA,NA,NA,NA
"D3_vs_D7","Homogenizing.Dispersal","0.0004040626","0.0003978012","0.0000828918","0.0002281136","0.0003424848","0.0003982922","0.0004565719","0.00058895","0.0002281136","0.0003424848","0.0003982922","0.0004565719","0.00058895",NA,NA,NA,NA,NA,NA
"D3_vs_D7","Drift.and.Others","0.2818757429","0.2829206954","0.0278591285","0.2155698776","0.2636703821","0.2836047407","0.3010464752","0.35687727","0.2155698776","0.2636703821","0.2836047407","0.3010464752","0.35687727",NA,NA,NA,NA,NA,NA
"D3_vs_D7","Stochasticity","0.3456091242","0.3487571661","0.0326853837","0.2536026298","0.3267963940","0.3466447489","0.3712249175","0.42719401","0.2636303673","0.3267963940","0.3466447489","0.3712249175","0.42719401","0.2536026",NA,NA,NA,NA,NA
"D5_vs_D6","Heterogeneous.Selection","0.0248355420","0.0253592409","0.0086081810","0.008250211","0.019535488","0.024945272","0.0292197495","0.047967342","0.008250211","0.019535488","0.024945272","0.0292197495","0.043015321","0.04389129","0.04796734","0.04571403",NA,NA,NA
"D5_vs_D6","Homogeneous.Selection","0.6664933531","0.6703286733","0.0289365509","0.603701146","0.647551680","0.671207376","0.6916716010","0.746429250","0.603701146","0.647551680","0.671207376","0.6916716010","0.746429250",NA,NA,NA,NA,NA,NA
"D5_vs_D6","Dispersal.Limitation","0.0709324278","0.0688616706","0.0131540961","0.037790707","0.058253102","0.068740302","0.0782991984","0.104441681","0.037790707","0.058253102","0.068740302","0.0782991984","0.104441681",NA,NA,NA,NA,NA,NA
"D5_vs_D6","Homogenizing.Dispersal","0.0007827851","0.0008002948","0.0001403714","0.000494584","0.000705593","0.000767025","0.0009129694","0.001135274","0.000494584","0.000705593","0.000767025","0.0009129694","0.001135274",NA,NA,NA,NA,NA,NA
"D5_vs_D6","Drift.and.Others","0.2369558920","0.2346501205","0.0279547122","0.173021605","0.215199124","0.231789266","0.2511904120","0.311449572","0.173021605","0.215199124","0.231789266","0.2511904120","0.296811346","0.31144957",NA,NA,NA,NA,NA
"D5_vs_D6","Stochasticity","0.3086711048","0.3043120858","0.0303566225","0.239879843","0.286807526","0.303544405","0.3214848746","0.385419719","0.239879843","0.286807526","0.303544405","0.3214848746","0.365171137","0.38541972",NA,NA,NA,NA,NA
"D5_vs_D7","Heterogeneous.Selection","0.0457243910","0.0464195189","1.140046e-02","1.898878e-02","0.0395706423","0.0449941174","0.0529070132","0.085487004","2.346809e-02","0.0395706423","0.0449941174","0.0529070132","0.0705307008","0.0189887784","0.0742546573","0.085487004","0.0731820279",NA,NA
"D5_vs_D7","Homogeneous.Selection","0.5865970417","0.5823855091","2.948195e-02","5.106527e-01","0.5618109379","0.5820945956","0.6020081441","0.665592268","5.106527e-01","0.5618109379","0.5820945956","0.6020081441","0.6541500498","0.6655922679",NA,NA,NA,NA,NA
"D5_vs_D7","Dispersal.Limitation","0.0719809483","0.0725261182","1.580969e-02","2.852153e-02","0.0605334062","0.0726256386","0.0833597649","0.106057593","2.852153e-02","0.0605334062","0.0726256386","0.0833597649","0.1060575929",NA,NA,NA,NA,NA,NA
"D5_vs_D7","Homogenizing.Dispersal","0.0001908782","0.0001918962","4.706652e-05","9.098157e-05","0.0001635441","0.0001858202","0.0002127486","0.000347088","9.098157e-05","0.0001635441","0.0001858202","0.0002127486","0.0002804645","0.0002914365","0.0002981365","0.000347088","0.0003025016",NA,NA
"D5_vs_D7","Drift.and.Others","0.2955067407","0.2984769576","2.607919e-02","2.320559e-01","0.2824789689","0.2985275955","0.3165966901","0.363035683","2.320559e-01","0.2824789689","0.2985275955","0.3165966901","0.3630356833",NA,NA,NA,NA,NA,NA
"D5_vs_D7","Stochasticity","0.3676785673","0.3711949720","3.264450e-02","2.724787e-01","0.3525894402","0.3711497456","0.3930751985","0.446091112","2.934370e-01","0.3525894402","0.3711497456","0.3930751985","0.4460911119","0.2724787002",NA,NA,NA,NA,NA
"D6_vs_D7","Heterogeneous.Selection","6.752592e-02","0.0685492756","9.963412e-03","4.615368e-02","6.150452e-02","0.0679086575","7.485277e-02","0.0918981777","4.615368e-02","6.150452e-02","0.0679086575","7.485277e-02","0.0918981777",NA,NA,NA,NA,NA,NA
"D6_vs_D7","Homogeneous.Selection","5.787710e-01","0.5844382754","2.752043e-02","5.130935e-01","5.667124e-01","0.5844746858","6.014877e-01","0.6637819731","5.198822e-01","5.667124e-01","0.5844746858","6.014877e-01","0.6509420316","0.6566274568","0.5130935","0.663782",NA,NA,NA
"D6_vs_D7","Dispersal.Limitation","6.350513e-02","0.0609689351","1.335062e-02","2.725632e-02","5.181448e-02","0.0596635017","7.094198e-02","0.1064971056","2.725632e-02","5.181448e-02","0.0596635017","7.094198e-02","0.0907283489","0.1064971056",NA,NA,NA,NA,NA
"D6_vs_D7","Homogenizing.Dispersal","7.868798e-05","0.0000794942","1.237845e-05","4.981818e-05","7.026222e-05","0.0000799951","8.699758e-05","0.0001144316","4.981818e-05","7.026222e-05","0.0000799951","8.699758e-05","0.0001081403","0.0001144316",NA,NA,NA,NA,NA
"D6_vs_D7","Drift.and.Others","2.901193e-01","0.2859640198","2.227088e-02","2.353326e-01","2.697957e-01","0.2844534970","3.006869e-01","0.3414789527","2.353326e-01","2.697957e-01","0.2844534970","3.006869e-01","0.3414789527",NA,NA,NA,NA,NA,NA
"D6_vs_D7","Stochasticity","3.537031e-01","0.3470124490","2.499544e-02","2.706466e-01","3.302677e-01","0.3455935128","3.643055e-01","0.4100724048","2.900643e-01","3.302677e-01","0.3455935128","3.643055e-01","0.4100724048","0.2706465575",NA,NA,NA,NA,NA
