Bin	BinRA	TaxonID	Taxon.Phylum	Taxon.Class	Taxon.Order	Taxon.Family	Taxon.Genus
Bin52	0.000917228	OTU_1030	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
Bin53	0.003116927	OTU_952	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium
Bin54	0.048353726	OTU_944	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
Bin55	0.000692633	OTU_1020	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Roseimarinus
Bin56	0.008230342	OTU_947	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
Bin57	0.00452424	OTU_938	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium
Bin58	0.00029181	OTU_1024	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
Bin59	0.001423644	OTU_1002	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Labilibacter
Bin60	0.000178527	OTU_1031	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium
Bin61	0.001114799	OTU_1018	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium
Bin62	0.001389042	OTU_1017	Bacteroidota	Bacteroidia	Bacteroidetes__VC2.1__Bac22	uncultured__bacterium	uncultured__bacterium
Bin63	0.000162133	OTU_2384	Patescibacteria	ABY1	Candidatus__Falkowbacteria	uncultured__bacterium	uncultured__bacterium
Bin64	0.000275079	OTU_3474	Patescibacteria	WWE3	uncultured__candidate__division__WWE3__bacterium	uncultured__bacterium	uncultured__bacterium
Bin65	0.000601659	OTU_2115	Patescibacteria	Dojkabacteria	uncultured__anaerobic__bacterium	uncultured__bacterium	uncultured__bacterium
Bin66	0.000178067	OTU_2916	Patescibacteria	Gracilibacteria	JGI__0000069-P22	uncultured__bacterium	uncultured__bacterium
Bin67	0.000100356	OTU_2760	Patescibacteria	Saccharimonadia	Saccharimonadales	uncultured__bacterium	uncultured__bacterium
Bin68	5.33E-05	OTU_1118	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
Bin69	0.00158027	OTU_2045	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
Bin70	0.000472869	OTU_153	Marinimicrobia__(SAR406__clade)	uncultured__eubacterium__AB16	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
Bin71	0.063457255	OTU_134	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Bin72	0.001344969	OTU_402	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bin73	0.047764586	OTU_157	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bin74	0.006442681	OTU_385	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bin75	0.163820627	OTU_9	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Bin76	0.000348791	OTU_486	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera
Bin77	0.001635681	OTU_2689	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria
Bin78	0.006180249	OTU_2664	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Seohaeicola
Bin79	0.000589874	OTU_2907	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Labrenzia
Bin80	0.000466562	OTU_2102	SAR324__clade(Marine__group__B)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
Bin81	0.000160966	OTU_166	Desulfobacterota	Desulfuromonadia	Syntrophotaleaceae	Syntrophotalea	Pelobacter__venetianus
Bin82	0.000856924	OTU_131	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus
Bin83	0.001053502	OTU_143	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
Bin84	0.001318778	OTU_65	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Bin85	0.012323402	OTU_5	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Bin86	0.00016834	OTU_1943	Acidobacteriota	d142	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
Bin87	0.000430258	OTU_2110	Acidobacteriota	Subgroup__21	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
Bin88	0.001139627	OTU_2328	Synergistota	Synergistia	Synergistales	Synergistaceae	Aminobacterium
Bin89	0.0153951	OTU_2763	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
Bin90	0.000493641	OTU_2917	Firmicutes	TSAC18	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
