Method,GroupBasedOn,Group,Index,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125
CbMPDiCbraya,Group,D3,HD,0.267495452,0.05237665,0,0.026382866,0,0,0.027532601,0.012220082,0.000794815,0.105354191,0.736842105,0,0.240000882,NaN,0.634305218,1,0.368421053,0.790336426,0.631578947,NaN,0.947368421,0.580895616,NaN,0.002652487,NaN,0.052631579,0.947368421,NaN,1,0.551266709,0,0.473684211,0.098966147,0.001364965,0,0,0,0.024472524,0.109032017,0,0.023466667,0.002273033,0.073835016,0,0,0,0.033027593,0,0,0.290117051,0.005559476,0.052605405,0,0,0.032891964,0.019450649,0.957892815,0,0.208157043,0,0.781970731,0.087736499,NaN,0.526315789,NaN,0.000359355,0,NaN,NaN,0.029795529,0.117724317,0.002828776,0.012730742,0,0,0.417923271,0,0.302024662,0.319706545,0.078723364,NaN,0.044624664,0.725429448,0.004313322,0.234377152,NaN,0.026353914,0.337961545,0.016443702,0.736503216,0.008050714,0.748787454,0.039091801,0.271211544,0.606212621,0.035266897,0,0,0.002496404,0,0.469679729,0.013395267,0.100592138,0.0136796,0.499975057,0.003618228,0.010699205,0.004657207,0.031397198,0.467729538,0.539895575,0.020091234,0.062042964,0,0.003944035,0.140451314,0.461915182,0,0,0,0.006775547,0,0.010684075,0.143791656,0
CbMPDiCbraya,Group,D3,DR,0.210954435,0.667007361,0.841073768,0.868244776,0.911867759,0,0.860524207,0.974775544,0,0.83637867,0.263157895,1,0.595008275,NaN,0.365694782,0,0.631578947,0.104400416,0.368421053,NaN,0,0.186461445,NaN,0.023682035,NaN,0.947368421,0.052631579,NaN,0,0.327804081,0.161791395,0.526315789,0.491501612,0.19985583,0.016169306,0.549425534,0.815267663,0.75897096,0.244443395,0.988412253,0.228834356,0.209981553,0.515069312,1,0.684393789,0,0.436957735,0.932836106,0.920739418,0.210565421,0.146616441,0.513935835,0,0,0.956579571,0.980549351,0,0.964908843,0.335613348,0.982324371,0.068875716,0.826403688,NaN,0.473684211,NaN,0.188775516,1,NaN,NaN,0.755909933,0.599736541,0.239052457,0.987269258,0,0,0.411955343,0.234018248,0.074186773,0.596037363,0.71075032,NaN,0.529506713,0.059592531,0.973636968,0.765622848,NaN,0.973646086,0.589099676,0.142183923,0.158571389,0.802951339,0,0.459916401,0.237333083,0.305762666,0.757147194,1,0.981205703,0.861700848,0.25896225,0.069677066,0.805916816,0.784883128,0.119808362,0.500024943,0.42804455,0.33322613,0.578820303,0.199281413,0.380284136,0.296112836,0.048350942,0.312910083,0.007081346,0.982341878,0.281597769,0.318997242,0.114718891,1,0.947368421,0.784784109,0,0.774596156,0.745904763,0.977807605
CbMPDiCbraya,Group,D3,DominantProcess,HoS,DR,DR,DR,DR,HoS,DR,DR,HoS,DR,HD,DR,DR,,HD,HD,DR,HD,HD,,HD,HD,,HoS,,DR,HD,,HD,HD,HoS,DR,DR,HoS,HoS,DR,DR,DR,HoS,DR,HoS,HoS,DR,DR,DR,HoS,HoS,DR,DR,HoS,HoS,DR,HoS,HoS,DR,DR,HD,DR,DL,DR,HD,DR,,HD,,DL,DR,,,DR,DR,HoS,DR,HoS,HoS,HD,HoS,HoS,DR,DR,,DR,HD,DR,DR,,DR,DR,HoS,HD,DR,HD,HoS,HoS,HD,DR,DR,DR,DR,HoS,HD,DR,DR,HoS,DR,HoS,HoS,DR,HoS,HD,HD,HoS,HoS,HoS,DR,HoS,HD,HoS,DR,DR,DR,HoS,DR,DR,DR
CbMPDiCbraya,Group,D3,DominantProcessImportance,0.521550112,0.667007361,0.841073768,0.868244776,0.911867759,1,0.860524207,0.974775544,0.999205185,0.83637867,0.736842105,1,0.595008275,NaN,0.634305218,1,0.631578947,0.790336426,0.631578947,NaN,0.947368421,0.580895616,NaN,0.964981352,NaN,0.947368421,0.947368421,NaN,1,0.551266709,0.792795618,0.526315789,0.491501612,0.798779206,0.976195016,0.549425534,0.815267663,0.75897096,0.614630711,0.988412253,0.747698977,0.784689229,0.515069312,1,0.684393789,1,0.530014672,0.932836106,0.920739418,0.468838415,0.847824083,0.513935835,1,1,0.956579571,0.980549351,0.957892815,0.964908843,0.359326722,0.982324371,0.781970731,0.826403688,NaN,0.526315789,NaN,0.409491941,1,NaN,NaN,0.755909933,0.599736541,0.758118768,0.987269258,1,1,0.417923271,0.765981752,0.623788565,0.596037363,0.71075032,NaN,0.529506713,0.725429448,0.973636968,0.765622848,NaN,0.973646086,0.589099676,0.841372375,0.736503216,0.802951339,0.748787454,0.500991797,0.491455373,0.606212621,0.757147194,1,0.981205703,0.861700848,0.74103775,0.469679729,0.805916816,0.784883128,0.849098671,0.500024943,0.568337222,0.656074666,0.578820303,0.700297401,0.467729538,0.539895575,0.931557824,0.625046953,0.992918654,0.982341878,0.577950917,0.461915182,0.866284935,1,0.947368421,0.784784109,1,0.774596156,0.745904763,0.977807605
CbMPDiCbraya,Group,D3,DominantProcessPvalue,0.14,0.01,0,0,0,0,0,0,0,0,0.36,0.16,0.08,,0.21,0.14,0.41,0.06,0.4,,0.1,0.09,,0,,0.27,0.27,,0.19,0.31,0.01,0.48,0.4,0,0,0.26,0.01,0.02,0.05,0,0.04,0.04,0.31,0.06,0.1,0,0.39,0,0,0.37,0,0.4,0,0,0,0,0,0.03,0.51,0,0,0,,0.59,,0.55,0.39,,,0,0.06,0.05,0,0,0,0.56,0.01,0.09,0.46,0,,0.41,0.15,0,0,,0.13,0.36,0.01,0,0,0.03,0.5,0.19,0.07,0.03,0.42,0,0,0.03,0.42,0.01,0,0.01,0.55,0.24,0.14,0.29,0.01,0.39,0.09,0,0.14,0,0,0.22,0.28,0,0,0.12,0,0,0.02,0.01,0
CbMPDiCbraya,Group,D5,HeS,0,NaN,0,NaN,0,0,0.016376435,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.245388131,NaN,0,0.052631579,NaN,0.046535298,0,0,NaN,0,0,0,0,0,0,0,0,0,0.071334972,0.017216147,NaN,0,0,0.053248123,0,NaN,0,0,0,0,0,0,0,0,NaN,0.034569264,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,0,0,0.041180889,NaN,0,NaN,0,0,NaN,0,0,0,0.032543549,0,0,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0.005549885,0.025894768,0,0,NaN,0,0.005373003,0,0.135286639,0.008286064
CbMPDiCbraya,Group,D5,HoS,0.034788003,NaN,0.037074417,NaN,0,0.898101751,0.305987605,0.13827562,0.067297051,0.210526316,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.583997216,NaN,0,0,NaN,0,0.019948546,0.866659883,NaN,0.390176005,0.459026042,0.453039436,0.044386086,0,0,0.043369857,0,0.426865771,0.765173947,0.525558095,NaN,0.136194114,0.998306236,0.803474586,0.736842105,NaN,0.022357196,0.125119163,0.500858643,1,1,0.010848281,0.004268374,0,NaN,0.331888109,NaN,NaN,0.003459623,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0.857943181,0.11856317,0.507727732,0.623755262,0.013188342,0.855080854,0.611559098,0.036587742,NaN,0,NaN,0,0.531509406,0.081554338,NaN,0.026892274,0.052631579,0.696761292,NaN,0,NaN,0.724072218,0.072794772,NaN,0.292395902,0,0.020485734,0.134314606,0.783357596,0.270518967,0.648850228,0,0,NaN,0.921185267,0,0.330279394,0.052631579,NaN,0.0674817,0.871213555,0,0.888876677,0.045004275,0.78784293,0.675910491,0.938769181,0.506072022,NaN,0.574144876,0.787319989,0.044521652,0.280782655,0.376627304
CbMPDiCbraya,Group,D5,DL,0,NaN,0,NaN,0,0.034579155,0.362381714,0,0.651719069,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0.684210526,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.062227362,0.48131133,0.02419954,0.03573311,0,0,0,0,NaN,0,NaN,0,0.00754488,0,NaN,0,0,0,NaN,0.105263158,NaN,0,0,NaN,0.160550148,0,0,0.013211539,0,0,0,0,0,NaN,0,0,0,0,NaN,0,0,0,0,0.684529877,0.189946196,0.013477454,0.011168895,0,NaN,0,0,0,0,0
CbMPDiCbraya,Group,D5,HD,0.794855772,NaN,0,NaN,0,0,0,0.115537012,0.003266192,0.009266974,NaN,NaN,0.842105263,0,NaN,NaN,NaN,NaN,NaN,NaN,0.894736842,NaN,NaN,0.007973714,NaN,0,0.142081054,NaN,0.172322248,0.157842379,0,NaN,0.060407922,0,0,0,0,0.315789474,0.083518341,0,0.046379189,0,0.018177978,NaN,0,0,0,0.005644748,NaN,0.742568366,0.470891058,0.499141357,0,0,0.033802446,0.89308649,1,NaN,0.069561773,NaN,NaN,0.263725089,NaN,NaN,NaN,NaN,NaN,NaN,0.210526316,0.105263158,0,0,0,0,0,0.038064558,0,0.060847359,0.127140063,NaN,0,NaN,0.368421053,0,0.0523115,NaN,0,0.335806122,0.005663059,NaN,0,NaN,0.000256945,0.216705172,NaN,0.002749768,0,0,0.009149113,0,0.199714498,0.00158866,0,0,NaN,0,0.982481979,0,0.947368421,NaN,0.028088882,0,0.052631579,0,0.043409898,0,9.75E-05,0,0,NaN,0,0,0,0.109890764,0
CbMPDiCbraya,Group,D5,DR,0.170356225,NaN,0.962925583,NaN,1,0.067319094,0.315254246,0.746187368,0.277717688,0.78020671,NaN,NaN,0.157894737,1,NaN,NaN,NaN,NaN,NaN,NaN,0.105263158,NaN,NaN,0.162640939,NaN,1,0.805287367,NaN,0.781142454,0.822209076,0.133340117,NaN,0.549416072,0.540973958,0.546960564,0.955613914,1,0.684210526,0.873111802,0.315789474,0.52675504,0.163491082,0.439047779,NaN,0.863805886,0.001693764,0.143277291,0.257513147,NaN,0.235074438,0.403989779,0,0,0,0.955349273,0.102645136,0,NaN,0.563980854,NaN,NaN,0.732815288,NaN,NaN,NaN,NaN,NaN,NaN,0.789473684,0.894736842,0,0.079829458,0.4001255,0.468072728,0.340511628,0.9487471,0.144919146,0.327593543,0.836272195,NaN,1,NaN,0.631578947,0.460945714,0.866134162,NaN,0.973107726,0.6115623,0.25639476,NaN,0.894736842,NaN,0.275670836,0.710500056,NaN,0.544304182,1,0.979514266,0.810781193,0.216642404,0.529766535,0.349561111,1,1,NaN,0.078814733,0.017518021,0.669720606,0,NaN,0.904429418,0.128786445,0.947368421,0.111123323,0.22705595,0.016660989,0.284619834,0.050061925,0.493927978,NaN,0.425855124,0.207307008,0.955478348,0.474039942,0.615086632
