"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations","Ref_Median","Difference_from_n14","Ratio_to_n14","Same_sign_as_n14"
8,"D0","DeltaAIC_ExpMinusPower",38.8764168798399,35.5261417766007,28.0877582563231,58.4057924441908,100,58.5903595229595,-23.0642177463589,0.606347905454978,TRUE
8,"D0","Exp_slope",-0.0705337669689654,-0.0706446862938395,-0.0728525783496214,-0.0677170676429271,100,-0.0423354878798512,-0.0283091984139883,1.66868718967714,TRUE
8,"D0","Last_over_first",0.585417726157431,0.585344132179212,0.57492801488679,0.599176494454382,100,0.517531616123165,0.067812516056047,1.13103067318675,TRUE
8,"D0","Power_slope",-0.258495384283238,-0.258343199691583,-0.267403069781504,-0.24746460451373,100,-0.247022820725789,-0.0113203789657945,1.04582725973468,TRUE
8,"D0","Zeta_half_order",0.690111558670842,0.688119659152632,0.680083579401546,0.710086485224684,100,0.603632830013112,0.08448682913952,1.13996393989652,TRUE
8,"D0","Zeta_last",0.585417726157431,0.585344132179212,0.57492801488679,0.599176494454382,100,0.517531616123165,0.067812516056047,1.13103067318675,TRUE
8,"D0","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
8,"D0","Zeta_order2",0.831161550388805,0.828597932738331,0.824375918216457,0.844331060310267,100,0.830800464603281,-0.00220253186495045,0.997348903907989,TRUE
8,"D0","Zeta_order3",0.743756557296209,0.741090164364717,0.734411686912428,0.76159795611621,100,0.743340848974652,-0.00225068460993549,0.996972203783715,TRUE
8,"D1","DeltaAIC_ExpMinusPower",41.4324638760154,41.6619720784997,34.1792382571765,48.3624608319547,100,52.7364219086837,-11.074449830184,0.790003769133977,TRUE
8,"D1","Exp_slope",-0.152544938313373,-0.159612966501192,-0.165914661669189,-0.132070375011899,100,-0.0890781650417646,-0.0705348014594274,1.79183042697789,TRUE
8,"D1","Last_over_first",0.319159848888053,0.30183081300442,0.289224622786381,0.369062209552287,100,0.254591399305086,0.047239413699334,1.18554991970772,TRUE
8,"D1","Power_slope",-0.556395660167031,-0.581527179110087,-0.604521500590038,-0.48298921075218,100,-0.521890420236079,-0.0596367588740075,1.11427065253857,TRUE
8,"D1","Zeta_half_order",0.458044388868659,0.445558119572661,0.430718076417262,0.50202266726636,100,0.341849916520013,0.103708203052648,1.30337349240387,TRUE
8,"D1","Zeta_last",0.319159848888053,0.30183081300442,0.289224622786381,0.369062209552287,100,0.254591399305086,0.047239413699334,1.18554991970772,TRUE
8,"D1","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
8,"D1","Zeta_order2",0.684421380206795,0.678088357320221,0.665317338872341,0.711667816959656,100,0.686104834202844,-0.00801647688262253,0.988315959190207,TRUE
8,"D1","Zeta_order3",0.540294325341506,0.530698478071487,0.515816733102853,0.578894622497079,100,0.542404709590306,-0.011706231518819,0.978417902146054,TRUE
8,"D3","DeltaAIC_ExpMinusPower",16.2952927530535,16.2849272302457,14.1787076260897,18.3338387637401,100,27.5351202305944,-11.2501930003487,0.591423865008275,TRUE
8,"D3","Exp_slope",-0.145929519716764,-0.145554654804919,-0.158425059407929,-0.134549402617884,100,-0.0782763874470193,-0.0672782673579002,1.85949632516494,TRUE
8,"D3","Last_over_first",0.308072204496968,0.308923252131189,0.282370941418662,0.331693071811263,100,0.257207726886507,0.051715525244682,1.20106520854057,TRUE
8,"D3","Power_slope",-0.555219889009152,-0.555241890129771,-0.598442630990356,-0.517322009735253,100,-0.480090943588905,-0.075150946540866,1.15653481396478,TRUE
8,"D3","Zeta_half_order",0.401206792261369,0.401586760079312,0.378335560005439,0.42011268575339,100,0.320919372763743,0.0806673873155695,1.25136340826316,TRUE
8,"D3","Zeta_last",0.308072204496968,0.308923252131189,0.282370941418662,0.331693071811263,100,0.257207726886507,0.051715525244682,1.20106520854057,TRUE
8,"D3","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
8,"D3","Zeta_order2",0.587295953085837,0.588610432018595,0.569618339008281,0.601324193829706,100,0.587014668000766,0.00159576401782902,1.00271843976789,TRUE
8,"D3","Zeta_order3",0.461422514590017,0.462127011048653,0.439859541960325,0.479185130194391,100,0.460246622919212,0.00188038812944047,1.00408560983569,TRUE
8,"D5","DeltaAIC_ExpMinusPower",26.4036144358075,25.6462877208163,19.9540508125808,36.6629077113037,100,47.6472986685897,-22.0010109477734,0.53825271185254,TRUE
8,"D5","Exp_slope",-0.196380206185897,-0.196280066968258,-0.223078565793683,-0.173047185111982,100,-0.117155507816698,-0.07912455915156,1.67538061697755,TRUE
8,"D5","Last_over_first",0.217993221348973,0.217476995281832,0.179285384415438,0.256375022370742,100,0.154344806400342,0.0631321888814895,1.40903345149001,TRUE
8,"D5","Power_slope",-0.72775450714884,-0.728713873149732,-0.818090614527889,-0.648026923433888,100,-0.686404515606523,-0.0423093575432085,1.06163910140629,TRUE
8,"D5","Zeta_half_order",0.336111330724476,0.333644565793066,0.304369419092862,0.36863537386774,100,0.236877660389633,0.0967669054034325,1.40851005216897,TRUE
8,"D5","Zeta_last",0.217993221348973,0.217476995281832,0.179285384415438,0.256375022370742,100,0.154344806400342,0.0631321888814895,1.40903345149001,TRUE
8,"D5","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
8,"D5","Zeta_order2",0.5548175381424,0.555134853941577,0.530360797522417,0.580825873159743,100,0.557428602594782,-0.00229374865320497,0.99588512565999,TRUE
8,"D5","Zeta_order3",0.409117681402152,0.408269893361314,0.37929314156895,0.438702412957176,100,0.411117155588108,-0.00284726222679399,0.993074328842539,TRUE
8,"D6","DeltaAIC_ExpMinusPower",24.2405985960531,23.0370086430439,16.2755985969424,35.8521428850159,100,35.4852046745272,-12.4481960314833,0.649200388002296,TRUE
8,"D6","Exp_slope",-0.265308804607415,-0.257662915997588,-0.319744349771257,-0.224505784471146,100,-0.143561812504699,-0.114101103492889,1.7947872871078,TRUE
8,"D6","Last_over_first",0.129066068258824,0.133034787215257,0.0860198328690808,0.166026299812956,100,0.0937285476698789,0.0393062395453781,1.41936251571739,TRUE
8,"D6","Power_slope",-0.987902849337068,-0.96502575600324,-1.16174043725385,-0.855376927681143,100,-0.865231180041167,-0.0997945759620731,1.11533862655912,TRUE
8,"D6","Zeta_half_order",0.222391493939445,0.224490612588997,0.186308214985599,0.257803750816409,100,0.14631950024593,0.078171112343067,1.5342494487179,TRUE
8,"D6","Zeta_last",0.129066068258824,0.133034787215257,0.0860198328690808,0.166026299812956,100,0.0937285476698789,0.0393062395453781,1.41936251571739,TRUE
8,"D6","Zeta_order1",1,1,1,1,100,1,0,1,TRUE
8,"D6","Zeta_order2",0.448072816657118,0.452456429257582,0.411577382200207,0.481290816092782,100,0.449706118271981,0.00275031098560097,1.00611579623637,TRUE
