"Model","AIC","Common_n","Iteration","Group"
"Exponential",-32.1745580302739,8,1,"D0"
"PowerLaw",-78.6417353227139,8,1,"D0"
"Exponential",-19.4926598673713,8,1,"D1"
"PowerLaw",-64.1880588951892,8,1,"D1"
"Exponential",-13.6133538514644,8,1,"D3"
"PowerLaw",-29.4367559966648,8,1,"D3"
"Exponential",-12.8465577015573,8,1,"D5"
"PowerLaw",-36.4121505321254,8,1,"D5"
"Exponential",-7.12465945813224,8,1,"D6"
"PowerLaw",-28.4331150502835,8,1,"D6"
"Exponential",-3.60050890886824,8,1,"D7"
"PowerLaw",-24.8423279016198,8,1,"D7"
"Exponential",-30.8271323131654,8,2,"D0"
"PowerLaw",-65.2235919594471,8,2,"D0"
"Exponential",-21.1840665703546,8,2,"D1"
"PowerLaw",-60.878746861818,8,2,"D1"
"Exponential",-14.5287002077528,8,2,"D3"
"PowerLaw",-31.6960099988904,8,2,"D3"
"Exponential",-13.6436566867124,8,2,"D5"
"PowerLaw",-39.6219678564557,8,2,"D5"
"Exponential",-10.478482282857,8,2,"D6"
"PowerLaw",-40.0588863523058,8,2,"D6"
"Exponential",-1.05112493211191,8,2,"D7"
"PowerLaw",-18.6499694184298,8,2,"D7"
"Exponential",-30.649049023717,8,3,"D0"
"PowerLaw",-60.9799799055595,8,3,"D0"
"Exponential",-21.2921181533411,8,3,"D1"
"PowerLaw",-57.7791096177786,8,3,"D1"
"Exponential",-13.6679260180055,8,3,"D3"
"PowerLaw",-28.5287997425931,8,3,"D3"
"Exponential",-12.7659096431747,8,3,"D5"
"PowerLaw",-44.1760636431319,8,3,"D5"
"Exponential",-7.18112617544861,8,3,"D6"
"PowerLaw",-27.7516245001875,8,3,"D6"
"Exponential",-3.32763201461834,8,3,"D7"
"PowerLaw",-22.7976898902545,8,3,"D7"
"Exponential",-30.9192286852691,8,4,"D0"
"PowerLaw",-65.9008943519304,8,4,"D0"
"Exponential",-21.4519271327787,8,4,"D1"
"PowerLaw",-61.8196921001209,8,4,"D1"
"Exponential",-14.7071588728238,8,4,"D3"
"PowerLaw",-31.2060756827233,8,4,"D3"
"Exponential",-13.0512763333183,8,4,"D5"
"PowerLaw",-35.4190728791483,8,4,"D5"
"Exponential",-7.55258542183914,8,4,"D6"
"PowerLaw",-32.4499846991855,8,4,"D6"
"Exponential",-5.72417166223204,8,4,"D7"
"PowerLaw",-43.0699218269307,8,4,"D7"
"Exponential",-32.659763618975,8,5,"D0"
"PowerLaw",-84.3920069788831,8,5,"D0"
"Exponential",-19.5801895277216,8,5,"D1"
"PowerLaw",-61.8072278336343,8,5,"D1"
"Exponential",-13.9759985886275,8,5,"D3"
"PowerLaw",-27.84554190884,8,5,"D3"
"Exponential",-14.5734540491188,8,5,"D5"
"PowerLaw",-50.4259440174932,8,5,"D5"
"Exponential",-8.21279934951677,8,5,"D6"
"PowerLaw",-58.0424208168593,8,5,"D6"
"Exponential",-6.13565827177495,8,5,"D7"
"PowerLaw",-18.5829766067367,8,5,"D7"
"Exponential",-31.0035495221525,8,6,"D0"
"PowerLaw",-64.5140716891467,8,6,"D0"
"Exponential",-20.5516333397422,8,6,"D1"
"PowerLaw",-64.5524379347704,8,6,"D1"
"Exponential",-14.3110802124604,8,6,"D3"
"PowerLaw",-30.8082033881694,8,6,"D3"
"Exponential",-13.1506468113921,8,6,"D5"
"PowerLaw",-50.2841855833325,8,6,"D5"
"Exponential",-7.77577506672158,8,6,"D6"
"PowerLaw",-27.3958779284802,8,6,"D6"
"Exponential",-3.53341857670662,8,6,"D7"
"PowerLaw",-27.9258323592467,8,6,"D7"
"Exponential",-34.9971855614401,8,7,"D0"
"PowerLaw",-72.7618037429888,8,7,"D0"
"Exponential",-19.5883875671255,8,7,"D1"
"PowerLaw",-64.2947997727759,8,7,"D1"
"Exponential",-14.0668106325663,8,7,"D3"
"PowerLaw",-30.4402765212328,8,7,"D3"
"Exponential",-13.9604209208782,8,7,"D5"
"PowerLaw",-46.5686519172255,8,7,"D5"
"Exponential",-7.2671902830463,8,7,"D6"
"PowerLaw",-23.9408157063695,8,7,"D6"
"Exponential",-7.32609695900008,8,7,"D7"
"PowerLaw",-32.5333932650793,8,7,"D7"
"Exponential",-32.7329305323737,8,8,"D0"
"PowerLaw",-85.9783597479637,8,8,"D0"
"Exponential",-20.9528976265818,8,8,"D1"
"PowerLaw",-61.9290596287362,8,8,"D1"
"Exponential",-14.3247395450573,8,8,"D3"
"PowerLaw",-30.8482075504688,8,8,"D3"
"Exponential",-13.9104966362887,8,8,"D5"
"PowerLaw",-51.4820792580018,8,8,"D5"
"Exponential",-7.62329967877178,8,8,"D6"
"PowerLaw",-27.8581549133696,8,8,"D6"
"Exponential",-3.19117390408862,8,8,"D7"
"PowerLaw",-20.1614118634125,8,8,"D7"
"Exponential",-33.0355105097955,8,9,"D0"
"PowerLaw",-89.4184653098922,8,9,"D0"
"Exponential",-20.795657032592,8,9,"D1"
"PowerLaw",-62.2024491017007,8,9,"D1"
"Exponential",-13.5435412976523,8,9,"D3"
"PowerLaw",-30.1369282227284,8,9,"D3"
"Exponential",-12.9657821227739,8,9,"D5"
"PowerLaw",-35.7651171383285,8,9,"D5"
"Exponential",-5.73036950176798,8,9,"D6"
"PowerLaw",-28.2057435350758,8,9,"D6"
"Exponential",-0.88584399355279,8,9,"D7"
"PowerLaw",-20.7184730725755,8,9,"D7"
"Exponential",-30.6549037290496,8,10,"D0"
"PowerLaw",-61.02292047139,8,10,"D0"
"Exponential",-20.5789444755838,8,10,"D1"
"PowerLaw",-58.3291180040274,8,10,"D1"
"Exponential",-13.8811316306956,8,10,"D3"
"PowerLaw",-30.8653658905848,8,10,"D3"
"Exponential",-13.6426171591529,8,10,"D5"
"PowerLaw",-37.1512878014254,8,10,"D5"
"Exponential",-7.73125125697148,8,10,"D6"
"PowerLaw",-29.8194224440755,8,10,"D6"
"Exponential",-5.37362483855253,8,10,"D7"
"PowerLaw",-43.9984492929128,8,10,"D7"
"Exponential",-33.5602395417991,8,11,"D0"
"PowerLaw",-70.2177785719856,8,11,"D0"
"Exponential",-20.6650956360323,8,11,"D1"
"PowerLaw",-53.3905800758116,8,11,"D1"
"Exponential",-14.508429772367,8,11,"D3"
"PowerLaw",-30.9596535950763,8,11,"D3"
"Exponential",-12.8730305107837,8,11,"D5"
"PowerLaw",-34.2652881959725,8,11,"D5"
"Exponential",-7.89668364102136,8,11,"D6"
"PowerLaw",-28.8450946924761,8,11,"D6"
"Exponential",-3.63973436826572,8,11,"D7"
"PowerLaw",-25.9673258782125,8,11,"D7"
"Exponential",-32.011543179974,8,12,"D0"
"PowerLaw",-74.0097298208656,8,12,"D0"
"Exponential",-19.8568180819508,8,12,"D1"
"PowerLaw",-68.25127518511,8,12,"D1"
"Exponential",-14.0091545570025,8,12,"D3"
"PowerLaw",-29.6231035120081,8,12,"D3"
"Exponential",-14.5040893859628,8,12,"D5"
"PowerLaw",-37.7125438932675,8,12,"D5"
"Exponential",-7.19767130735651,8,12,"D6"
"PowerLaw",-30.9402217401618,8,12,"D6"
"Exponential",-5.28465331493644,8,12,"D7"
"PowerLaw",-30.9348928597673,8,12,"D7"
"Exponential",-32.3360246695313,8,13,"D0"
"PowerLaw",-82.9629715190536,8,13,"D0"
"Exponential",-20.6698440671911,8,13,"D1"
"PowerLaw",-61.0887575836133,8,13,"D1"
"Exponential",-12.9591538236944,8,13,"D3"
"PowerLaw",-27.8718189218813,8,13,"D3"
"Exponential",-12.0777131161915,8,13,"D5"
"PowerLaw",-37.2045017556543,8,13,"D5"
"Exponential",-7.17209825189989,8,13,"D6"
"PowerLaw",-26.8342737667367,8,13,"D6"
"Exponential",-5.34145495950339,8,13,"D7"
"PowerLaw",-34.6817485455178,8,13,"D7"
"Exponential",-30.8188547017344,8,14,"D0"
"PowerLaw",-61.5747723566794,8,14,"D0"
"Exponential",-21.7915421449349,8,14,"D1"
"PowerLaw",-61.3151967489164,8,14,"D1"
"Exponential",-12.82958564716,8,14,"D3"
"PowerLaw",-27.3372048149262,8,14,"D3"
"Exponential",-14.1166559862279,8,14,"D5"
"PowerLaw",-37.645393788306,8,14,"D5"
"Exponential",-8.80688605474662,8,14,"D6"
"PowerLaw",-29.3909850133331,8,14,"D6"
"Exponential",-8.62172025934132,8,14,"D7"
"PowerLaw",-32.2809960865838,8,14,"D7"
"Exponential",-32.8503744348713,8,15,"D0"
"PowerLaw",-83.9184722560107,8,15,"D0"
"Exponential",-19.3539622343923,8,15,"D1"
"PowerLaw",-62.4463469547373,8,15,"D1"
"Exponential",-14.0357227638812,8,15,"D3"
"PowerLaw",-30.818289478581,8,15,"D3"
"Exponential",-12.8496205432432,8,15,"D5"
"PowerLaw",-45.4268470632895,8,15,"D5"
"Exponential",-7.96763976850197,8,15,"D6"
"PowerLaw",-31.1068314737912,8,15,"D6"
"Exponential",-6.26717217397116,8,15,"D7"
"PowerLaw",-23.7143949990734,8,15,"D7"
"Exponential",-31.9923030150443,8,16,"D0"
"PowerLaw",-72.4597098269506,8,16,"D0"
"Exponential",-22.2053406682947,8,16,"D1"
"PowerLaw",-65.4037933797971,8,16,"D1"
"Exponential",-14.8266042347631,8,16,"D3"
"PowerLaw",-31.1779027713303,8,16,"D3"
"Exponential",-14.4335655801201,8,16,"D5"
"PowerLaw",-38.4024607458484,8,16,"D5"
"Exponential",-8.03285137493615,8,16,"D6"
"PowerLaw",-42.9052622497406,8,16,"D6"
"Exponential",-4.55351948169009,8,16,"D7"
"PowerLaw",-22.3796247826596,8,16,"D7"
"Exponential",-32.9868482757995,8,17,"D0"
"PowerLaw",-84.9807868770682,8,17,"D0"
"Exponential",-19.9677764395824,8,17,"D1"
"PowerLaw",-65.5147470520065,8,17,"D1"
"Exponential",-14.5981143223847,8,17,"D3"
"PowerLaw",-31.8854098128544,8,17,"D3"
"Exponential",-13.9116856784981,8,17,"D5"
"PowerLaw",-38.2584173213228,8,17,"D5"
"Exponential",-7.05162307355982,8,17,"D6"
"PowerLaw",-23.8644121374117,8,17,"D6"
"Exponential",-6.19987426263018,8,17,"D7"
"PowerLaw",-23.0274019845015,8,17,"D7"
"Exponential",-30.6840742428983,8,18,"D0"
"PowerLaw",-62.4300024355816,8,18,"D0"
"Exponential",-20.3935038700992,8,18,"D1"
"PowerLaw",-54.9778854422026,8,18,"D1"
"Exponential",-14.3051117823747,8,18,"D3"
"PowerLaw",-28.8791531150621,8,18,"D3"
"Exponential",-13.0809416532696,8,18,"D5"
"PowerLaw",-41.9044306870216,8,18,"D5"
"Exponential",-7.71797610026076,8,18,"D6"
"PowerLaw",-35.9719329424053,8,18,"D6"
"Exponential",-3.76751383692908,8,18,"D7"
"PowerLaw",-29.9490921685363,8,18,"D7"
"Exponential",-30.8885578754825,8,19,"D0"
"PowerLaw",-64.8315383519333,8,19,"D0"
"Exponential",-20.4173592138948,8,19,"D1"
"PowerLaw",-65.7758231150935,8,19,"D1"
"Exponential",-14.7350513985136,8,19,"D3"
"PowerLaw",-31.9586717353818,8,19,"D3"
"Exponential",-12.2924579516913,8,19,"D5"
"PowerLaw",-36.1996210880799,8,19,"D5"
"Exponential",-7.54702454945051,8,19,"D6"
"PowerLaw",-25.8719603904708,8,19,"D6"
"Exponential",-5.43293483328562,8,19,"D7"
"PowerLaw",-32.0875574267026,8,19,"D7"
"Exponential",-30.716688209238,8,20,"D0"
