"Common_n","Group","Metric","Mean","Median","Q2.5","Q97.5","N_iterations"
8,"D0","DeltaAIC_ExpMinusPower",38.8764168798399,35.5261417766007,28.0877582563231,58.4057924441908,100
8,"D0","Exp_slope",-0.0705337669689654,-0.0706446862938395,-0.0728525783496214,-0.0677170676429271,100
8,"D0","Last_over_first",0.585417726157431,0.585344132179212,0.57492801488679,0.599176494454382,100
8,"D0","Power_slope",-0.258495384283238,-0.258343199691583,-0.267403069781504,-0.24746460451373,100
8,"D0","Zeta_half_order",0.690111558670842,0.688119659152632,0.680083579401546,0.710086485224684,100
8,"D0","Zeta_last",0.585417726157431,0.585344132179212,0.57492801488679,0.599176494454382,100
8,"D0","Zeta_order1",1,1,1,1,100
8,"D0","Zeta_order2",0.831161550388805,0.828597932738331,0.824375918216457,0.844331060310267,100
8,"D0","Zeta_order3",0.743756557296209,0.741090164364717,0.734411686912428,0.76159795611621,100
8,"D1","DeltaAIC_ExpMinusPower",41.4324638760154,41.6619720784997,34.1792382571765,48.3624608319547,100
8,"D1","Exp_slope",-0.152544938313373,-0.159612966501192,-0.165914661669189,-0.132070375011899,100
8,"D1","Last_over_first",0.319159848888053,0.30183081300442,0.289224622786381,0.369062209552287,100
8,"D1","Power_slope",-0.556395660167031,-0.581527179110087,-0.604521500590038,-0.48298921075218,100
8,"D1","Zeta_half_order",0.458044388868659,0.445558119572661,0.430718076417262,0.50202266726636,100
8,"D1","Zeta_last",0.319159848888053,0.30183081300442,0.289224622786381,0.369062209552287,100
8,"D1","Zeta_order1",1,1,1,1,100
8,"D1","Zeta_order2",0.684421380206795,0.678088357320221,0.665317338872341,0.711667816959656,100
8,"D1","Zeta_order3",0.540294325341506,0.530698478071487,0.515816733102853,0.578894622497079,100
8,"D3","DeltaAIC_ExpMinusPower",16.2952927530535,16.2849272302457,14.1787076260897,18.3338387637401,100
8,"D3","Exp_slope",-0.145929519716764,-0.145554654804919,-0.158425059407929,-0.134549402617884,100
8,"D3","Last_over_first",0.308072204496968,0.308923252131189,0.282370941418662,0.331693071811263,100
8,"D3","Power_slope",-0.555219889009152,-0.555241890129771,-0.598442630990356,-0.517322009735253,100
8,"D3","Zeta_half_order",0.401206792261369,0.401586760079312,0.378335560005439,0.42011268575339,100
