"Model","AIC","Common_n","Iteration","Group"
"PowerLaw",-71.6671244590485,10,10,"D1"
"Exponential",-17.5691421770693,10,10,"D3"
"PowerLaw",-36.5995927760893,10,10,"D3"
"Exponential",-15.8429045258277,10,10,"D5"
"PowerLaw",-48.7384536260296,10,10,"D5"
"Exponential",-9.71242831252348,10,10,"D6"
"PowerLaw",-34.3055027950228,10,10,"D6"
"Exponential",-6.17440249713545,10,10,"D7"
"PowerLaw",-53.214042884816,10,10,"D7"
"Exponential",-38.2224447447622,10,11,"D0"
"PowerLaw",-80.8812405053242,10,11,"D0"
"Exponential",-24.4928948140313,10,11,"D1"
"PowerLaw",-66.139130081763,10,11,"D1"
"Exponential",-17.505031589682,10,11,"D3"
"PowerLaw",-36.9157818391632,10,11,"D3"
"Exponential",-15.8318772220564,10,11,"D5"
"PowerLaw",-49.3003161734017,10,11,"D5"
"Exponential",-9.83510790533326,10,11,"D6"
"PowerLaw",-36.6419443802111,10,11,"D6"
"Exponential",-3.3412464001246,10,11,"D7"
"PowerLaw",-24.0892683048518,10,11,"D7"
"Exponential",-38.629883091283,10,12,"D0"
"PowerLaw",-79.427915050865,10,12,"D0"
"Exponential",-23.4866584467224,10,12,"D1"
"PowerLaw",-76.6096013454274,10,12,"D1"
"Exponential",-17.1770757806154,10,12,"D3"
"PowerLaw",-37.8661405201371,10,12,"D3"
"Exponential",-17.1913889477307,10,12,"D5"
"PowerLaw",-54.2150672588673,10,12,"D5"
"Exponential",-9.17045174192244,10,12,"D6"
"PowerLaw",-41.1270940949506,10,12,"D6"
"Exponential",-8.63307627073505,10,12,"D7"
"PowerLaw",-44.9857075907518,10,12,"D7"
"Exponential",-38.883802534008,10,13,"D0"
"PowerLaw",-86.5297381268811,10,13,"D0"
"Exponential",-24.4694276869723,10,13,"D1"
"PowerLaw",-63.9899247861205,10,13,"D1"
"Exponential",-18.1474261990862,10,13,"D3"
"PowerLaw",-37.9708305632984,10,13,"D3"
"Exponential",-16.673752587403,10,13,"D5"
"PowerLaw",-49.4111905964776,10,13,"D5"
"Exponential",-9.11067595617358,10,13,"D6"
"PowerLaw",-32.2733748813272,10,13,"D6"
"Exponential",-5.48483064548708,10,13,"D7"
"PowerLaw",-31.2400340024437,10,13,"D7"
"Exponential",-38.1065602436477,10,14,"D0"
"PowerLaw",-80.8317649884556,10,14,"D0"
"Exponential",-22.9963789078535,10,14,"D1"
"PowerLaw",-67.3929907648998,10,14,"D1"
"Exponential",-17.4835090740813,10,14,"D3"
"PowerLaw",-36.7547536993565,10,14,"D3"
"Exponential",-15.1201409111456,10,14,"D5"
"PowerLaw",-42.4496157116906,10,14,"D5"
"Exponential",-8.23736787532936,10,14,"D6"
"PowerLaw",-37.930723161314,10,14,"D6"
"Exponential",-4.40586257148728,10,14,"D7"
"PowerLaw",-35.3868531377371,10,14,"D7"
"Exponential",-37.8015281660414,10,15,"D0"
"PowerLaw",-77.3000887606413,10,15,"D0"
"Exponential",-23.5528769628422,10,15,"D1"
"PowerLaw",-72.8775697556839,10,15,"D1"
"Exponential",-17.8561911726491,10,15,"D3"
"PowerLaw",-35.8681739194827,10,15,"D3"
"Exponential",-16.6832857362366,10,15,"D5"
"PowerLaw",-55.2004519141521,10,15,"D5"
"Exponential",-7.44695865012292,10,15,"D6"
"PowerLaw",-33.1702207522326,10,15,"D6"
"Exponential",-1.34869038372956,10,15,"D7"
"PowerLaw",-22.6862035586628,10,15,"D7"
"Exponential",-37.4595204301655,10,16,"D0"
"PowerLaw",-74.1099888439165,10,16,"D0"
"Exponential",-23.7399293286688,10,16,"D1"
"PowerLaw",-75.8845228734895,10,16,"D1"
"Exponential",-17.3312626560738,10,16,"D3"
"PowerLaw",-37.3743968909703,10,16,"D3"
"Exponential",-15.2104631512719,10,16,"D5"
"PowerLaw",-50.3627418910589,10,16,"D5"
"Exponential",-8.76425283318429,10,16,"D6"
"PowerLaw",-47.4596344595264,10,16,"D6"
"Exponential",-3.99667785263271,10,16,"D7"
"PowerLaw",-26.2870236631361,10,16,"D7"
"Exponential",-37.7771760798773,10,17,"D0"
"PowerLaw",-74.2099908626808,10,17,"D0"
"Exponential",-23.5917624494296,10,17,"D1"
"PowerLaw",-75.9178474464296,10,17,"D1"
"Exponential",-18.6874853625065,10,17,"D3"
"PowerLaw",-38.6545243349893,10,17,"D3"
"Exponential",-16.3671825221358,10,17,"D5"
"PowerLaw",-50.9969415037007,10,17,"D5"
"Exponential",-9.31668629934424,10,17,"D6"
"PowerLaw",-46.0701986489981,10,17,"D6"
"Exponential",-1.26803548603657,10,17,"D7"
"PowerLaw",-25.3516728932848,10,17,"D7"
"Exponential",-37.8959926110577,10,18,"D0"
"PowerLaw",-81.0683615893986,10,18,"D0"
"Exponential",-24.1761227962175,10,18,"D1"
"PowerLaw",-77.8562396640097,10,18,"D1"
"Exponential",-17.9959925076569,10,18,"D3"
"PowerLaw",-37.5664512734371,10,18,"D3"
"Exponential",-17.7094790392948,10,18,"D5"
"PowerLaw",-57.318609992012,10,18,"D5"
"Exponential",-10.6038982017785,10,18,"D6"
"PowerLaw",-38.4720184600199,10,18,"D6"
"Exponential",-6.41487854928921,10,18,"D7"
"PowerLaw",-31.8548740480178,10,18,"D7"
"Exponential",-38.8585319694393,10,19,"D0"
"PowerLaw",-84.1945440137337,10,19,"D0"
"Exponential",-24.8361679371314,10,19,"D1"
"PowerLaw",-68.964140827521,10,19,"D1"
"Exponential",-18.2110095236324,10,19,"D3"
"PowerLaw",-39.3086200633051,10,19,"D3"
"Exponential",-15.6548895249772,10,19,"D5"
"PowerLaw",-42.6584243464113,10,19,"D5"
"Exponential",-11.0033036109546,10,19,"D6"
"PowerLaw",-38.3535437263821,10,19,"D6"
"Exponential",-5.15733029207877,10,19,"D7"
"PowerLaw",-30.7542502967482,10,19,"D7"
"Exponential",-38.1448873991414,10,20,"D0"
"PowerLaw",-82.0367090863017,10,20,"D0"
