"Exp_slope","Power_slope","Zeta_order1","Zeta_order2","Zeta_order3","Zeta_last","Zeta_half_order","Last_over_first","Common_n","Iteration","Group","DeltaAIC_ExpMinusPower","PowerLaw_better"
-0.0492988231222564,-0.251910118254385,1,0.831650328331255,0.744006222424868,0.533412007670748,0.62466082867322,0.533412007670748,12,1,"D0",53.0159757620703,TRUE
-0.105174284349339,-0.53882564693883,1,0.681060321761549,0.536409936495714,0.265051198198681,0.363843843927477,0.265051198198681,12,1,"D1",48.410693233272,TRUE
-0.0857632233301439,-0.465123977245974,1,0.590753814620815,0.468623838015776,0.292416306080619,0.35379628342507,0.292416306080619,12,1,"D3",21.1973637129765,TRUE
-0.130822945872597,-0.683947120300159,1,0.543620314112117,0.395678092399404,0.174022698612863,0.252689933017802,0.174022698612863,12,1,"D5",32.7915547631133,TRUE
-0.156121949611991,-0.831384601708127,1,0.462585513787996,0.305839621976162,0.121024049650892,0.173274359465205,0.121024049650892,12,1,"D6",26.4862657366091,TRUE
-0.235126777743119,-1.21125146679867,1,0.371953888807821,0.222953451043339,0.0481540930979133,0.0976944403910696,0.0481540930979133,12,1,"D7",43.0994576098316,TRUE
-0.0492748728485875,-0.251569765362345,1,0.832184360843018,0.74490751517539,0.533582824502659,0.625726794379542,0.533582824502659,12,2,"D0",54.323788196051,TRUE
-0.105328548945253,-0.539500355516878,1,0.681184089341942,0.535799945029245,0.264148941812974,0.363530968580563,0.264148941812974,12,2,"D1",48.7280628892743,TRUE
-0.0922966492627918,-0.495264072214002,1,0.592801009022994,0.465854273794509,0.274066168623266,0.341448945931337,0.274066168623266,12,2,"D3",23.6779718453924,TRUE
-0.124718972020429,-0.654564309399993,1,0.552851989973712,0.409677813780033,0.189643577673167,0.264657333251819,0.189643577673167,12,2,"D5",31.4445341231612,TRUE
-0.164371849741978,-0.864999810419968,1,0.459452582603322,0.303871178801207,0.110355857656937,0.170383794534134,0.110355857656937,12,2,"D6",30.3182260963109,TRUE
-0.19244802951619,-1.00468476084747,1,0.404273448253261,0.25990692796749,0.0778658976207642,0.133549939606176,0.0778658976207642,12,2,"D7",33.6587047790248,TRUE
-0.048252766849754,-0.247271882718093,1,0.832406785730272,0.7453578622264,0.53943870014771,0.627505483192337,0.53943870014771,12,3,"D0",49.0170720169356,TRUE
-0.105345789572387,-0.536913651609017,1,0.688194245292037,0.545176369371953,0.266246056782334,0.370894615374111,0.266246056782334,12,3,"D1",55.8035656165219,TRUE
-0.0985053703855711,-0.523702624023712,1,0.588165985492838,0.457649397989617,0.255164034021871,0.330001104606208,0.255164034021871,12,3,"D3",25.9248447202177,TRUE
-0.119481837733508,-0.632155471630223,1,0.562197928653625,0.414252013808976,0.20126582278481,0.269838073319086,0.20126582278481,12,3,"D5",28.5293761510455,TRUE
-0.177125634356146,-0.931698205874771,1,0.43592552026287,0.280409411942441,0.0947237224761113,0.149709451329726,0.0947237224761113,12,3,"D6",30.6964492751979,TRUE
-0.175621198994795,-0.918364185475412,1,0.393166564978645,0.263502135448444,0.0885906040268456,0.154362416107383,0.0885906040268456,12,3,"D7",28.9696525669141,TRUE
-0.0484990027976564,-0.248740104936854,1,0.830352094346566,0.742779956739874,0.53726922697206,0.625017789989653,0.53726922697206,12,4,"D0",48.0309976119598,TRUE
-0.0960976777505494,-0.493059462230362,1,0.699915890177946,0.561970143362607,0.295859823228407,0.394554275000856,0.295859823228407,12,4,"D1",47.0247722452587,TRUE
-0.0947406422379956,-0.505079302798289,1,0.590175799478125,0.463870635963659,0.266499057196732,0.340195526242038,0.266499057196732,12,4,"D3",24.9713447163872,TRUE
-0.131718065781338,-0.687776132134227,1,0.54437157812406,0.398874917273329,0.174718729318332,0.25252477502643,0.174718729318332,12,4,"D5",33.7643009775735,TRUE
-0.197909579963119,-1.01794649867213,1,0.434730494063003,0.276413080121362,0.0741656365883807,0.141567538353694,0.0741656365883807,12,4,"D6",42.405425623816,TRUE
-0.223450524263957,-1.14600460085331,1,0.372143219908583,0.225495175215846,0.0502793296089385,0.111124210984546,0.0502793296089385,12,4,"D7",38.4569618846996,TRUE
-0.0493472798830426,-0.252451815852238,1,0.830194612661503,0.742269402864382,0.532516307570666,0.622913259896854,0.532516307570666,12,5,"D0",51.3022805269488,TRUE
-0.0960976777505494,-0.493059462230362,1,0.699915890177946,0.561970143362607,0.295859823228407,0.394554275000856,0.295859823228407,12,5,"D1",47.0247722452587,TRUE
-0.0955085154730847,-0.513444938021267,1,0.582091821222256,0.450182426269383,0.260869565217391,0.326790057768319,0.260869565217391,12,5,"D3",23.2498847264302,TRUE
-0.138437061676064,-0.713796917081586,1,0.555718012671655,0.404111120667412,0.162724692526017,0.25202013376091,0.162724692526017,12,5,"D5",41.2678905771465,TRUE
-0.184351237860307,-0.958225992467469,1,0.443748650399482,0.28168862016843,0.0855106888361045,0.150070436293714,0.0855106888361045,12,5,"D6",35.1526009409558,TRUE
-0.221623916958526,-1.12519545758641,1,0.382761139517896,0.242326847732253,0.0525931336742148,0.122736284898447,0.0525931336742148,12,5,"D7",39.9841101694771,TRUE
-0.047937712866037,-0.24644294700447,1,0.829413638831675,0.741790180795068,0.539612024285503,0.625460032834533,0.539612024285503,12,6,"D0",45.3191392441696,TRUE
-0.105174284349339,-0.53882564693883,1,0.681060321761549,0.536409936495714,0.265051198198681,0.363843843927477,0.265051198198681,12,6,"D1",48.410693233272,TRUE
-0.0930174703614657,-0.49823186905609,1,0.590217581861036,0.465535578627501,0.272551960574245,0.34090700385965,0.272551960574245,12,6,"D3",24.0682416390864,TRUE
-0.141729553029338,-0.727043087125574,1,0.54930537041974,0.400977517106549,0.156402737047898,0.250430573011218,0.156402737047898,12,6,"D5",44.3829514253595,TRUE
-0.187228937652665,-0.973681983544169,1,0.443181818181818,0.280583985550873,0.0844370860927152,0.146023264814656,0.0844370860927152,12,6,"D6",35.9131440794267,TRUE
-0.259773792189894,-1.34734302241552,1,0.298659486038752,0.165287127553708,0.0309079201545396,0.0698438715180505,0.0309079201545396,12,6,"D7",35.7405785725162,TRUE
-0.0487345237340862,-0.249007228377062,1,0.832993880903675,0.746254011880089,0.537101777537052,0.628089523357631,0.537101777537052,12,7,"D0",53.1518364326121,TRUE
-0.10669456326752,-0.54474264708627,1,0.685327917811492,0.540161987815076,0.262391590013141,0.364020683652747,0.262391590013141,12,7,"D1",52.0681852373036,TRUE
-0.0974108530325587,-0.516377146192885,1,0.593186372745491,0.464904354162871,0.259719438877756,0.337789865445176,0.259719438877756,12,7,"D3",26.5744007764965,TRUE
