"Model","AIC","Common_n","Iteration","Group"
"Exponential",-45.289824083085,12,1,"D0"
"PowerLaw",-98.3057998451553,12,1,"D0"
"Exponential",-26.5584022964323,12,1,"D1"
"PowerLaw",-74.9690955297042,12,1,"D1"
"Exponential",-21.6748087475964,12,1,"D3"
"PowerLaw",-42.8721724605729,12,1,"D3"
"Exponential",-17.479434283041,12,1,"D5"
"PowerLaw",-50.2709890461542,12,1,"D5"
"Exponential",-10.2185258479466,12,1,"D6"
"PowerLaw",-36.7047915845557,12,1,"D6"
"Exponential",-6.16885857503146,12,1,"D7"
"PowerLaw",-49.2683161848631,12,1,"D7"
"Exponential",-45.4793193848877,12,2,"D0"
"PowerLaw",-99.8031075809387,12,2,"D0"
"Exponential",-26.5675837168294,12,2,"D1"
"PowerLaw",-75.2956466061037,12,2,"D1"
"Exponential",-21.5367797769979,12,2,"D3"
"PowerLaw",-45.2147516223904,12,2,"D3"
"Exponential",-17.9821627833227,12,2,"D5"
"PowerLaw",-49.4266969064839,12,2,"D5"
"Exponential",-10.8966698165664,12,2,"D6"
"PowerLaw",-41.2148959128773,12,2,"D6"
"Exponential",-8.48078087147197,12,2,"D7"
"PowerLaw",-42.1394856504967,12,2,"D7"
"Exponential",-45.2218215994362,12,3,"D0"
"PowerLaw",-94.2388936163718,12,3,"D0"
"Exponential",-27.5869151364734,12,3,"D1"
"PowerLaw",-83.3904807529953,12,3,"D1"
"Exponential",-21.4007343038444,12,3,"D3"
"PowerLaw",-47.3255790240621,12,3,"D3"
"Exponential",-17.6771694659212,12,3,"D5"
"PowerLaw",-46.2065456169667,12,3,"D5"
"Exponential",-9.19597891939044,12,3,"D6"
"PowerLaw",-39.8924281945883,12,3,"D6"
"Exponential",-10.0617554072874,12,3,"D7"
"PowerLaw",-39.0314079742015,12,3,"D7"
"Exponential",-44.9336004041441,12,4,"D0"
"PowerLaw",-92.9645980161039,12,4,"D0"
"Exponential",-28.4314792027841,12,4,"D1"
"PowerLaw",-75.4562514480428,12,4,"D1"
"Exponential",-21.8700041132726,12,4,"D3"
"PowerLaw",-46.8413488296598,12,4,"D3"
"Exponential",-17.5588809430116,12,4,"D5"
"PowerLaw",-51.3231819205851,12,4,"D5"
"Exponential",-10.5479951140243,12,4,"D6"
"PowerLaw",-52.9534207378403,12,4,"D6"
"Exponential",-7.9976306176516,12,4,"D7"
"PowerLaw",-46.4545925023512,12,4,"D7"
"Exponential",-45.027733164582,12,5,"D0"
"PowerLaw",-96.3300136915308,12,5,"D0"
"Exponential",-28.4314792027841,12,5,"D1"
"PowerLaw",-75.4562514480428,12,5,"D1"
"Exponential",-20.435627791886,12,5,"D3"
"PowerLaw",-43.6855125183163,12,5,"D3"
"Exponential",-18.675241334151,12,5,"D5"
"PowerLaw",-59.9431319112975,12,5,"D5"
"Exponential",-10.2512411167341,12,5,"D6"
"PowerLaw",-45.4038420576899,12,5,"D6"
"Exponential",-10.1842633355765,12,5,"D7"
"PowerLaw",-50.1683735050537,12,5,"D7"
"Exponential",-44.7421499004204,12,6,"D0"
"PowerLaw",-90.06128914459,12,6,"D0"
"Exponential",-26.5584022964323,12,6,"D1"
"PowerLaw",-74.9690955297042,12,6,"D1"
"Exponential",-21.6199043709988,12,6,"D3"
"PowerLaw",-45.6881460100852,12,6,"D3"
"Exponential",-19.0814652080571,12,6,"D5"
"PowerLaw",-63.4644166334166,12,6,"D5"
"Exponential",-9.84336783776801,12,6,"D6"
"PowerLaw",-45.7565119171947,12,6,"D6"
"Exponential",-2.3851804571667,12,6,"D7"
"PowerLaw",-38.1257590296829,12,6,"D7"
"Exponential",-45.5823311650682,12,7,"D0"
"PowerLaw",-98.7341675976803,12,7,"D0"
"Exponential",-26.9037913025707,12,7,"D1"
"PowerLaw",-78.9719765398743,12,7,"D1"
"Exponential",-22.1140846463713,12,7,"D3"
"PowerLaw",-48.6884854228677,12,7,"D3"
"Exponential",-20.4617670149327,12,7,"D5"
"PowerLaw",-63.1943544488161,12,7,"D5"
"Exponential",-10.259788830071,12,7,"D6"
"PowerLaw",-38.2218834486089,12,7,"D6"
"Exponential",-9.32479014909308,12,7,"D7"
"PowerLaw",-52.6788823270505,12,7,"D7"
"Exponential",-45.4615600415347,12,8,"D0"
"PowerLaw",-95.4393554035847,12,8,"D0"
"Exponential",-26.5639699942462,12,8,"D1"
"PowerLaw",-74.6148020797344,12,8,"D1"
"Exponential",-21.9731481670307,12,8,"D3"
"PowerLaw",-44.2345300021036,12,8,"D3"
"Exponential",-17.7475894341024,12,8,"D5"
"PowerLaw",-57.6127633238504,12,8,"D5"
"Exponential",-10.6536151950593,12,8,"D6"
"PowerLaw",-45.7536110636964,12,8,"D6"
"Exponential",-5.05609725321783,12,8,"D7"
"PowerLaw",-46.0513774039576,12,8,"D7"
"Exponential",-44.7262803270219,12,9,"D0"
"PowerLaw",-91.8344745578848,12,9,"D0"
"Exponential",-26.6678848662052,12,9,"D1"
"PowerLaw",-78.2434655152001,12,9,"D1"
"Exponential",-21.8968413124522,12,9,"D3"
"PowerLaw",-46.9375953678831,12,9,"D3"
"Exponential",-19.912930161816,12,9,"D5"
"PowerLaw",-57.975824396233,12,9,"D5"
"Exponential",-9.57588475747341,12,9,"D6"
"PowerLaw",-40.7562983446959,12,9,"D6"
"Exponential",-9.14639580022095,12,9,"D7"
"PowerLaw",-52.5524687445105,12,9,"D7"
"Exponential",-44.6699325403604,12,10,"D0"
"PowerLaw",-92.5397158211306,12,10,"D0"
"Exponential",-27.2082551412496,12,10,"D1"
"PowerLaw",-79.844872886723,12,10,"D1"
"Exponential",-22.1070680706232,12,10,"D3"
"PowerLaw",-46.7759058575177,12,10,"D3"
"Exponential",-18.7224680320063,12,10,"D5"
"PowerLaw",-66.2906050616453,12,10,"D5"
"Exponential",-10.70099528361,12,10,"D6"
"PowerLaw",-46.8318541245979,12,10,"D6"
"Exponential",-2.96365782211727,12,10,"D7"
"PowerLaw",-36.8440518561735,12,10,"D7"
"Exponential",-44.8159502684494,12,11,"D0"
"PowerLaw",-89.2724826115851,12,11,"D0"
"Exponential",-26.5119802903943,12,11,"D1"
"PowerLaw",-76.6547901596654,12,11,"D1"
"Exponential",-20.9538560430854,12,11,"D3"
"PowerLaw",-45.0531728828383,12,11,"D3"
"Exponential",-19.7380122343521,12,11,"D5"
"PowerLaw",-59.0918701490195,12,11,"D5"
"Exponential",-10.9532783195178,12,11,"D6"
"PowerLaw",-41.3590355770107,12,11,"D6"
"Exponential",-3.62051233890481,12,11,"D7"
"PowerLaw",-42.3504559324012,12,11,"D7"
"Exponential",-44.8388464238467,12,12,"D0"
"PowerLaw",-92.2476893636476,12,12,"D0"
"Exponential",-27.2082551412496,12,12,"D1"
"PowerLaw",-79.844872886723,12,12,"D1"
"Exponential",-21.5609211330889,12,12,"D3"
"PowerLaw",-44.8810182311794,12,12,"D3"
"Exponential",-19.0275830798927,12,12,"D5"
"PowerLaw",-58.1797975453152,12,12,"D5"
"Exponential",-10.4644746621433,12,12,"D6"
"PowerLaw",-40.0437126712465,12,12,"D6"
"Exponential",-0.792910212498507,12,12,"D7"
"PowerLaw",-26.3351457312843,12,12,"D7"
"Exponential",-45.3405047957327,12,13,"D0"
"PowerLaw",-93.711204631212,12,13,"D0"
"Exponential",-29.3187307824232,12,13,"D1"
"PowerLaw",-75.7861478757477,12,13,"D1"
"Exponential",-21.3011283530752,12,13,"D3"
"PowerLaw",-46.2125757227142,12,13,"D3"
"Exponential",-19.9789131242809,12,13,"D5"
"PowerLaw",-61.6426025683372,12,13,"D5"
"Exponential",-10.4039254765098,12,13,"D6"
"PowerLaw",-40.7991788507816,12,13,"D6"
"Exponential",-12.718336795113,12,13,"D7"
"PowerLaw",-46.029786262287,12,13,"D7"
"Exponential",-44.6748908446248,12,14,"D0"
"PowerLaw",-88.7485335850597,12,14,"D0"
"Exponential",-26.9666549325111,12,14,"D1"
"PowerLaw",-78.6156801563478,12,14,"D1"
"Exponential",-21.6184360254868,12,14,"D3"
"PowerLaw",-46.4303478374834,12,14,"D3"
"Exponential",-18.3456407948305,12,14,"D5"
"PowerLaw",-56.8552533808721,12,14,"D5"
"Exponential",-12.1610466552914,12,14,"D6"
"PowerLaw",-40.6227347092242,12,14,"D6"
"Exponential",-7.63673117839051,12,14,"D7"
"PowerLaw",-36.1885660073911,12,14,"D7"
"Exponential",-44.7998234378804,12,15,"D0"
"PowerLaw",-91.4807804066079,12,15,"D0"
"Exponential",-26.3309104298897,12,15,"D1"
"PowerLaw",-74.0945108299509,12,15,"D1"
"Exponential",-20.404707381367,12,15,"D3"
"PowerLaw",-43.1737112701623,12,15,"D3"
"Exponential",-18.8041610950657,12,15,"D5"
"PowerLaw",-68.2655408597874,12,15,"D5"
"Exponential",-11.7104995416172,12,15,"D6"
"PowerLaw",-62.1438197665222,12,15,"D6"
"Exponential",-3.99010295317633,12,15,"D7"
"PowerLaw",-57.8030348815855,12,15,"D7"
"Exponential",-44.8114292620683,12,16,"D0"
"PowerLaw",-94.5709840396727,12,16,"D0"
"Exponential",-27.3977293386356,12,16,"D1"
"PowerLaw",-83.2544910562143,12,16,"D1"
"Exponential",-20.9710692850308,12,16,"D3"
"PowerLaw",-44.3243259026594,12,16,"D3"
"Exponential",-20.1606939007898,12,16,"D5"
"PowerLaw",-54.8469739572282,12,16,"D5"
"Exponential",-9.59008507291992,12,16,"D6"
"PowerLaw",-42.6485870325064,12,16,"D6"
"Exponential",-7.28096793804376,12,16,"D7"
"PowerLaw",-41.8360682361985,12,16,"D7"
"Exponential",-45.0115574182048,12,17,"D0"
"PowerLaw",-96.6526487090707,12,17,"D0"
"Exponential",-27.2424203252277,12,17,"D1"
"PowerLaw",-79.686864408484,12,17,"D1"
"Exponential",-22.1498197811437,12,17,"D3"
"PowerLaw",-45.0648610166779,12,17,"D3"
"Exponential",-20.9191013205893,12,17,"D5"
"PowerLaw",-70.7340285210726,12,17,"D5"
"Exponential",-12.0164820704632,12,17,"D6"
"PowerLaw",-55.8902045249788,12,17,"D6"
"Exponential",-4.33557206189334,12,17,"D7"
"PowerLaw",-46.7431176160188,12,17,"D7"
"Exponential",-44.9402587289573,12,18,"D0"
"PowerLaw",-93.3240214579772,12,18,"D0"
