"Common_n","Iteration","Group","Order","Zeta","Ratio"
8,1,"D0",1,1,NA
8,1,"D0",2,0.834308401693153,0.834308401693153
8,1,"D0",3,0.747192958500951,0.895583643871488
8,1,"D0",4,0.692159189975527,0.926345975428041
8,1,"D0",5,0.653103238207275,0.943573743823826
8,1,"D0",6,0.623651622254666,0.954905114184625
8,1,"D0",7,0.60054407764135,0.962947992454864
8,1,"D0",8,0.582310124255569,0.969637610186092
8,1,"D1",1,1,NA
8,1,"D1",2,0.672396488273093,0.672396488273093
8,1,"D1",3,0.521936756613329,0.776233614714158
8,1,"D1",4,0.43603557873121,0.835418416515627
8,1,"D1",5,0.380660121595275,0.873002434120013
8,1,"D1",6,0.34215110577866,0.898836222572433
8,1,"D1",7,0.313817330210773,0.917189291253625
8,1,"D1",8,0.292013243963498,0.930519814719506
8,1,"D3",1,1,NA
8,1,"D3",2,0.580572152815499,0.580572152815499
8,1,"D3",3,0.451566177801919,0.777795103695618
8,1,"D3",4,0.391345283360492,0.86663993584603
8,1,"D3",5,0.35605649103748,0.909826964004812
8,1,"D3",6,0.332246967227956,0.933129926264938
8,1,"D3",7,0.314955640050697,0.947956403269755
8,1,"D3",8,0.301647655259823,0.957746478873239
8,1,"D5",1,1,NA
8,1,"D5",2,0.54619024758247,0.54619024758247
8,1,"D5",3,0.404156093546396,0.739954796584631
8,1,"D5",4,0.333749399903985,0.825793314101476
8,1,"D5",5,0.290103559426651,0.869225710997863
8,1,"D5",6,0.259790137850628,0.895508274231679
8,1,"D5",7,0.237157945271243,0.912882787750792
8,1,"D5",8,0.218915026404225,0.923076923076923
8,1,"D6",1,1,NA
8,1,"D6",2,0.449670586273038,0.449670586273038
8,1,"D6",3,0.287382203319156,0.639094955489614
8,1,"D6",4,0.218163622717038,0.759141033081834
8,1,"D6",5,0.181386039529647,0.831422018348624
8,1,"D6",6,0.15845217246268,0.873563218390805
8,1,"D6",7,0.142440163455925,0.898947368421053
8,1,"D6",8,0.130764740221833,0.918032786885246
8,1,"D7",1,1,NA
8,1,"D7",2,0.375114030286444,0.375114030286444
8,1,"D7",3,0.219120598430943,0.584143968871595
8,1,"D7",4,0.15165115854771,0.692089925062448
8,1,"D7",5,0.11749680715198,0.774783445620789
8,1,"D7",6,0.0988870644043058,0.841614906832298
8,1,"D7",7,0.0881226053639847,0.891143911439115
8,1,"D7",8,0.0817369093231162,0.927536231884058
8,2,"D0",1,1,NA
8,2,"D0",2,0.825893522362007,0.825893522362007
8,2,"D0",3,0.7365838601869,0.89186298262797
8,2,"D0",4,0.68184004938587,0.92567878043494
8,2,"D0",5,0.643942780509611,0.944419121595464
8,2,"D0",6,0.616024863230943,0.956645344705046
8,2,"D0",7,0.594620771867084,0.965254500846608
8,2,"D0",8,0.578155267471316,0.972309234431776
8,2,"D1",1,1,NA
8,2,"D1",2,0.70267884725716,0.70267884725716
8,2,"D1",3,0.566231960810274,0.805818992588871
8,2,"D1",4,0.487806169733881,0.861495294323961
8,2,"D1",5,0.436669755946864,0.895170629320016
8,2,"D1",6,0.400701707930624,0.917631007125171
8,2,"D1",7,0.373880135928329,0.933063494685831
8,2,"D1",8,0.352795798578931,0.94360669283206
8,2,"D3",1,1,NA
8,2,"D3",2,0.591306737507443,0.591306737507443
8,2,"D3",3,0.464388769294188,0.785360185902401
8,2,"D3",4,0.403206155819173,0.868251306834994
8,2,"D3",5,0.365913983419594,0.907510905125409
8,2,"D3",6,0.339852516832318,0.928777068469145
8,2,"D3",7,0.320294966335364,0.942452830188679
8,2,"D3",8,0.305226033985252,0.952952952952953
8,2,"D5",1,1,NA
8,2,"D5",2,0.560190188026799,0.560190188026799
8,2,"D5",3,0.414955694834666,0.740740740740741
8,2,"D5",4,0.342511346444781,0.825416666666667
8,2,"D5",5,0.29803328290469,0.870141342756184
8,2,"D5",6,0.266839564872848,0.895334783659657
8,2,"D5",7,0.24256177508825,0.909017278617711
8,2,"D5",8,0.221886031265759,0.914760914760915
8,2,"D6",1,1,NA
8,2,"D6",2,0.441828571428571,0.441828571428571
8,2,"D6",3,0.282628571428571,0.639679255043973
8,2,"D6",4,0.206171428571429,0.729478366356652
8,2,"D6",5,0.159771428571429,0.774944567627494
8,2,"D6",6,0.127542857142857,0.798283261802575
8,2,"D6",7,0.1032,0.809139784946237
8,2,"D6",8,0.0832,0.806201550387597
8,2,"D7",1,1,NA
8,2,"D7",2,0.322680946622906,0.322680946622906
8,2,"D7",3,0.175850751425117,0.544967880085653
8,2,"D7",4,0.122577301779236,0.69705304518664
8,2,"D7",5,0.0956987389877354,0.780721533258174
8,2,"D7",6,0.0808429780618414,0.844765342960289
8,2,"D7",7,0.0725513905683192,0.897435897435897
8,2,"D7",8,0.0677146311970979,0.933333333333333
8,3,"D0",1,1,NA
8,3,"D0",2,0.826337968815845,0.826337968815845
8,3,"D0",3,0.737515802781289,0.892511091845581
8,3,"D0",4,0.68456805731142,0.928207985143918
8,3,"D0",5,0.648767383059419,0.947703265044814
8,3,"D0",6,0.622650653181627,0.959744076906838
8,3,"D0",7,0.602507374631268,0.96764914892897
8,3,"D0",8,0.585840707964602,0.97233782129743
8,3,"D1",1,1,NA
8,3,"D1",2,0.706028139358914,0.706028139358914
8,3,"D1",3,0.571735626007523,0.809791556646267
8,3,"D1",4,0.495077257125311,0.865919901795305
8,3,"D1",5,0.445294936889318,0.89944535015594
8,3,"D1",6,0.410181052539232,0.921144658424863
8,3,"D1",7,0.383971750978736,0.936103090578548
8,3,"D1",8,0.363552621478468,0.946821271491403
8,3,"D3",1,1,NA
8,3,"D3",2,0.580570658711447,0.580570658711447
8,3,"D3",3,0.45643073665977,0.786176031824963
8,3,"D3",4,0.39867199153154,0.873455618806662
8,3,"D3",5,0.365057980079873,0.915685043931641
8,3,"D3",6,0.342683924361257,0.938710952945828
8,3,"D3",7,0.326035702256652,0.951418140971637
8,3,"D3",8,0.312563152576625,0.958677685950413
8,3,"D5",1,1,NA
8,3,"D5",2,0.546187874056727,0.546187874056727
8,3,"D5",3,0.38927920895134,0.712720343020486
8,3,"D5",4,0.310902940411137,0.798663101604278
8,3,"D5",5,0.263856362217018,0.8486776029461
8,3,"D5",6,0.231850117096019,0.878698224852071
8,3,"D5",7,0.208105646630237,0.897586980920314
8,3,"D5",8,0.189435336976321,0.910284463894967
8,3,"D6",1,1,NA
8,3,"D6",2,0.442300556586271,0.442300556586271
8,3,"D6",3,0.290445269016698,0.656669463087248
8,3,"D6",4,0.223005565862709,0.767805812839348
8,3,"D6",5,0.18543599257885,0.83153078202995
8,3,"D6",6,0.161966604823748,0.87343671835918
8,3,"D6",7,0.146103896103896,0.902061855670103
8,3,"D6",8,0.135064935064935,0.924444444444444
8,3,"D7",1,1,NA
8,3,"D7",2,0.34160125588697,0.34160125588697
8,3,"D7",3,0.205808477237049,0.602481617647059
8,3,"D7",4,0.15032967032967,0.730434782608696
8,3,"D7",5,0.120565149136578,0.802005012531328
8,3,"D7",6,0.102040816326531,0.846354166666667
8,3,"D7",7,0.089010989010989,0.872307692307692
8,3,"D7",8,0.0791208791208791,0.888888888888889
8,4,"D0",1,1,NA
8,4,"D0",2,0.826727018909429,0.826727018909429
8,4,"D0",3,0.737055289986886,0.891534053113647
8,4,"D0",4,0.682287744828461,0.925694115621368
8,4,"D0",5,0.644623292017429,0.944796820554791
8,4,"D0",6,0.616883116883117,0.956966843305498
8,4,"D0",7,0.595498963577139,0.965335162009258
8,4,"D0",8,0.578027835356826,0.970661362506216
8,4,"D1",1,1,NA
8,4,"D1",2,0.705868094577026,0.705868094577026
8,4,"D1",3,0.571009894008506,0.808947023382137
8,4,"D1",4,0.493069786915229,0.863504804538263
8,4,"D1",5,0.442024195147749,0.896473900607794
8,4,"D1",6,0.40589674092682,0.918268152247065
8,4,"D1",7,0.378914082986272,0.933523344191097
8,4,"D1",8,0.357859015887706,0.94443313657643
8,4,"D3",1,1,NA
8,4,"D3",2,0.595790357959584,0.595790357959584
8,4,"D3",3,0.47132123022355,0.791085696381012
8,4,"D3",4,0.411331497643161,0.872720071294188
8,4,"D3",5,0.375040836327997,0.911772714895162
8,4,"D3",6,0.349838988192467,0.932802389248382
8,4,"D3",7,0.33093760209082,0.945971184631804
8,4,"D3",8,0.316236524011761,0.955577492596249
8,4,"D5",1,1,NA
8,4,"D5",2,0.559643713600548,0.559643713600548
8,4,"D5",3,0.415416238437821,0.742286973555338
8,4,"D5",4,0.344391915039397,0.829028533729177
8,4,"D5",5,0.301404590613224,0.875179054591756
8,4,"D5",6,0.272285029119561,0.903387133439418
8,4,"D5",7,0.25083932853717,0.921238047307499
8,4,"D5",8,0.234052757793765,0.933078393881453
8,4,"D6",1,1,NA
8,4,"D6",2,0.452830188679245,0.452830188679245
