"Common_n","Iteration","Group","Order","Zeta","Ratio"
14,1,"D0",1,1,NA
14,1,"D0",2,0.830800464603281,0.830800464603281
14,1,"D0",3,0.743340848974652,0.894728494560493
14,1,"D0",4,0.690672588081039,0.929146553742792
14,1,"D0",5,0.652414921964218,0.944608101179872
14,1,"D0",6,0.625722370257582,0.959086540163316
14,1,"D0",7,0.603512329230639,0.964504959255653
14,1,"D0",8,0.586239563507169,0.971379597587527
14,1,"D0",9,0.570768092035698,0.973608960509397
14,1,"D0",10,0.557633210675464,0.976987358712736
14,1,"D0",11,0.546156123620912,0.97941821463494
14,1,"D0",12,0.535692789213916,0.980841861961326
14,1,"D0",13,0.526202258596625,0.982283631946553
14,1,"D0",14,0.517531616123165,0.983522224901535
14,1,"D1",1,1,NA
14,1,"D1",2,0.686104834202844,0.686104834202844
14,1,"D1",3,0.542404709590306,0.790556606732705
14,1,"D1",4,0.459596227607057,0.847330820475736
14,1,"D1",5,0.407593881142548,0.886852103344568
14,1,"D1",6,0.370382473715085,0.908704695656487
14,1,"D1",7,0.341841072153784,0.922940734006608
14,1,"D1",8,0.319992328866026,0.936085084363623
14,1,"D1",9,0.306606380578494,0.958167908790287
14,1,"D1",10,0.289811560850142,0.945223515255411
14,1,"D1",11,0.279060928241922,0.962904748945542
14,1,"D1",12,0.269600441524091,0.966098848816165
14,1,"D1",13,0.261540544199269,0.970104287369641
14,1,"D1",14,0.254591399305086,0.973429951690821
14,1,"D3",1,1,NA
14,1,"D3",2,0.594298179174115,0.594298179174115
14,1,"D3",3,0.470013936437725,0.790872247145188
14,1,"D3",4,0.411370618353683,0.875230682459109
14,1,"D3",5,0.377875935407641,0.918577843308089
14,1,"D3",6,0.354143757384797,0.937195847104574
14,1,"D3",7,0.336226073257188,0.949405619175885
14,1,"D3",8,0.322865695155573,0.960263705987504
14,1,"D3",9,0.312116187475384,0.966705946647539
14,1,"D3",10,0.30301260338716,0.970832707646919
14,1,"D3",11,0.295111642984821,0.97392530768021
14,1,"D3",12,0.288029811858091,0.976002874521982
14,1,"D3",13,0.281606931862938,0.977700641632481
14,1,"D3",14,0.275699094131548,0.979020979020979
14,1,"D5",1,1,NA
14,1,"D5",2,0.554625121713729,0.554625121713729
14,1,"D5",3,0.408871578491832,0.737203495630462
14,1,"D5",4,0.337043600562588,0.824326312447079
14,1,"D5",5,0.291144866385373,0.863819594555121
14,1,"D5",6,0.259175246132208,0.890193426213986
14,1,"D5",7,0.233290014064698,0.900124597337872
14,1,"D5",8,0.21393417721519,0.917031009976536
14,1,"D5",9,0.195822784810127,0.915341285619616
14,1,"D5",10,0.18313417721519,0.935203619909502
14,1,"D5",11,0.170983446932814,0.933651214278271
14,1,"D5",12,0.160164448772044,0.936724879777272
14,1,"D5",13,0.150492264416315,0.939610915968657
14,1,"D5",14,0.141772151898734,0.942056074766355
14,1,"D6",1,1,NA
14,1,"D6",2,0.442838929026774,0.442838929026774
14,1,"D6",3,0.285831916702082,0.645453454894434
14,1,"D6",4,0.219639502762431,0.768421893876034
14,1,"D6",5,0.183387430939227,0.834947396223093
14,1,"D6",6,0.162604972375691,0.886674574930803
14,1,"D6",7,0.147145027624309,0.90492329646807
14,1,"D6",8,0.13546546961326,0.920625533872134
14,1,"D6",9,0.126618784530387,0.934694168867318
14,1,"D6",10,0.119067679558011,0.940363469761759
14,1,"D6",11,0.113671376965576,0.954678695238988
14,1,"D6",12,0.108956651083723,0.958523191961678
14,1,"D6",13,0.104972375690608,0.963432471964895
14,1,"D6",14,0.101519337016575,0.967105263157895
14,1,"D7",1,1,NA
14,1,"D7",2,0.397740488453231,0.397740488453231
14,1,"D7",3,0.260757600930387,0.655597326649958
14,1,"D7",4,0.196131029517639,0.752158436869491
14,1,"D7",5,0.1575781137509,0.803432858831389
14,1,"D7",6,0.134436285097192,0.853140591019573
14,1,"D7",7,0.114116630669546,0.84885290148448
14,1,"D7",8,0.100620590352772,0.881734675852323
14,1,"D7",9,0.0893016558675306,0.887508764900331
14,1,"D7",10,0.0784463642908567,0.878442437923251
14,1,"D7",11,0.0698344132469402,0.890218608322167
14,1,"D7",12,0.0625796090158941,0.896114195083267
14,1,"D7",13,0.0561555075593953,0.897345132743363
14,1,"D7",14,0.0503959683225342,0.897435897435897
14,2,"D0",1,1,NA
14,2,"D0",2,0.830800464603281,0.830800464603281
14,2,"D0",3,0.743340848974652,0.894728494560493
14,2,"D0",4,0.690637059594806,0.929098758056221
14,2,"D0",5,0.653314384807343,0.945959061609928
14,2,"D0",6,0.625776847269805,0.957849485365827
14,2,"D0",7,0.603864061244343,0.96498306685352
14,2,"D0",8,0.586021655458275,0.970452943085732
14,2,"D0",9,0.571007909317768,0.974380219569248
14,2,"D0",10,0.55764268493846,0.976593626530887
14,2,"D0",11,0.546156123620912,0.979401574470909
14,2,"D0",12,0.535692789213916,0.980841861961326
14,2,"D0",13,0.526202258596625,0.982283631946553
14,2,"D0",14,0.517531616123165,0.983522224901535
14,2,"D1",1,1,NA
14,2,"D1",2,0.686104834202844,0.686104834202844
14,2,"D1",3,0.542404709590306,0.790556606732705
14,2,"D1",4,0.45846793917242,0.845250660745026
14,2,"D1",5,0.408276792563513,0.890524195215248
14,2,"D1",6,0.367605342719191,0.900382655626956
14,2,"D1",7,0.340626235278191,0.926608500188179
14,2,"D1",8,0.322319028924688,0.946254267999785
14,2,"D1",9,0.305391543702902,0.947482203336678
14,2,"D1",10,0.289984657732052,0.949550384453873
14,2,"D1",11,0.279060928241922,0.962329974366356
14,2,"D1",12,0.269600441524091,0.966098848816165
14,2,"D1",13,0.261540544199269,0.970104287369641
14,2,"D1",14,0.254591399305086,0.973429951690821
14,2,"D3",1,1,NA
14,2,"D3",2,0.594296842398108,0.594296842398108
14,2,"D3",3,0.469418556127417,0.789872202977249
14,2,"D3",4,0.409106329113924,0.87151716474301
14,2,"D3",5,0.371486075949367,0.908042847330087
14,2,"D3",6,0.345410126582278,0.929806388300156
14,2,"D3",7,0.329050632911392,0.952637481035203
14,2,"D3",8,0.314159493670886,0.954745143296788
14,2,"D3",9,0.303478481012658,0.966001305472509
14,2,"D3",10,0.294172151898734,0.969334467857918
14,2,"D3",11,0.286284601474475,0.973187297392533
14,2,"D3",12,0.280122409236333,0.978475292745737
14,2,"D3",13,0.2750452079566,0.981875062071705
14,2,"D3",14,0.270886075949367,0.984878369493754
14,2,"D5",1,1,NA
14,2,"D5",2,0.566492829204694,0.566492829204694
14,2,"D5",3,0.420686657974794,0.742616033755274
14,2,"D5",4,0.343510169491525,0.816546384297521
14,2,"D5",5,0.29783615819209,0.867037382424389
14,2,"D5",6,0.264667231638418,0.888633647589962
14,2,"D5",7,0.240716949152542,0.909507941963152
14,2,"D5",8,0.220713559322034,0.916900783675883
14,2,"D5",9,0.204526553672316,0.926660574459317
14,2,"D5",10,0.191317514124294,0.935416505530203
14,2,"D5",11,0.179889178617992,0.940265084675536
14,2,"D5",12,0.170056497175141,0.945340339433472
14,2,"D5",13,0.161581920903955,0.950166112956811
14,2,"D5",14,0.154237288135593,0.954545454545455
14,2,"D6",1,1,NA
14,2,"D6",2,0.441656804733728,0.441656804733728
14,2,"D6",3,0.28586456278764,0.647254972013814
14,2,"D6",4,0.218390427350427,0.763964673413064
14,2,"D6",5,0.18241641025641,0.835276584553344
14,2,"D6",6,0.158001367521368,0.866157640638119
14,2,"D6",7,0.142479316239316,0.901760019387477
14,2,"D6",8,0.129604102564103,0.909634506852996
14,2,"D6",9,0.11866735042735,0.915614151709875
14,2,"D6",10,0.110707692307692,0.932924615818981
14,2,"D6",11,0.103247863247863,0.932616885924279
14,2,"D6",12,0.0969362261669954,0.938869077941926
14,2,"D6",13,0.0912820512820513,0.941671188279978
14,2,"D6",14,0.0861538461538462,0.943820224719101
14,2,"D7",1,1,NA
14,2,"D7",2,0.37173633064044,0.37173633064044
14,2,"D7",3,0.233491394450299,0.628110236220472
14,2,"D7",4,0.175010654490107,0.749537921524383
14,2,"D7",5,0.134278538812785,0.767259223182759
14,2,"D7",6,0.108547945205479,0.808378957391097
14,2,"D7",7,0.095261796042618,0.877601099332548
14,2,"D7",8,0.0831369863013699,0.872721172128397
14,2,"D7",9,0.0754124809741248,0.907087017813661
14,2,"D7",10,0.0689452054794521,0.914241311104832
14,2,"D7",11,0.0637220465987589,0.924241883908087
14,2,"D7",12,0.0597119775201967,0.937069361506661
14,2,"D7",13,0.0563165905631659,0.943137254901961
14,2,"D7",14,0.0532724505327245,0.945945945945946
14,3,"D0",1,1,NA
14,3,"D0",2,0.830800464603281,0.830800464603281
14,3,"D0",3,0.743340848974652,0.894728494560493
14,3,"D0",4,0.689170325254832,0.927125592795632
14,3,"D0",5,0.653037854756165,0.947571058743269
14,3,"D0",6,0.62521727361164,0.957398210621477
