"Common_n","Iteration","Group","Order","Zeta","Ratio"
12,1,"D0",1,1,NA
12,1,"D0",2,0.831650328331255,0.831650328331255
12,1,"D0",3,0.744006222424868,0.894614235189147
12,1,"D0",4,0.690022812577762,0.927442260266099
12,1,"D0",5,0.652608844008756,0.945778649796756
12,1,"D0",6,0.62466082867322,0.957174936269848
12,1,"D0",7,0.602657344949718,0.964775310514929
12,1,"D0",8,0.584601584513076,0.970039757105841
12,1,"D0",9,0.569279459292736,0.973790482909652
12,1,"D0",10,0.555932536755667,0.976554709081458
12,1,"D0",11,0.544082214682598,0.978683884663011
12,1,"D0",12,0.533412007670748,0.980388612742883
12,1,"D1",1,1,NA
12,1,"D1",2,0.681060321761549,0.681060321761549
12,1,"D1",3,0.536409936495714,0.787610024187431
12,1,"D1",4,0.454074005481286,0.846505581995151
12,1,"D1",5,0.400928277033997,0.882958002867929
12,1,"D1",6,0.363843843927477,0.907503573005962
12,1,"D1",7,0.336537789842888,0.924951171937291
12,1,"D1",8,0.31561419155908,0.937826898151389
12,1,"D1",9,0.299068636290531,0.947576643538059
12,1,"D1",10,0.285637699029647,0.95509078642457
12,1,"D1",11,0.274486677746207,0.960960960960961
12,1,"D1",12,0.265051198198681,0.965625
12,1,"D3",1,1,NA
12,1,"D3",2,0.590753814620815,0.590753814620815
12,1,"D3",3,0.468623838015776,0.793264176070653
12,1,"D3",4,0.411166090419108,0.877390471982917
12,1,"D3",5,0.376952168002043,0.916788073690147
12,1,"D3",6,0.35379628342507,0.938570761644094
12,1,"D3",7,0.33691158913204,0.952275659513519
12,1,"D3",8,0.323985010662305,0.961632134700273
12,1,"D3",9,0.313720212832032,0.968317059455038
12,1,"D3",10,0.30533529326515,0.97327261928331
12,1,"D3",11,0.298337508540196,0.977081638188229
12,1,"D3",12,0.292416306080619,0.980152671755725
12,1,"D5",1,1,NA
12,1,"D5",2,0.543620314112117,0.543620314112117
12,1,"D5",3,0.395678092399404,0.727857444116407
12,1,"D5",4,0.323741831938553,0.818194987686513
12,1,"D5",5,0.281224922618365,0.868670325779037
12,1,"D5",6,0.252689933017802,0.898533212010919
12,1,"D5",7,0.2317675493905,0.91720135670847
12,1,"D5",8,0.215468684321143,0.929675810473815
12,1,"D5",9,0.202241201421529,0.9386106480332
12,1,"D5",10,0.191218617448126,0.945497831817022
