"Model","AIC","Common_n","Iteration","Group"
"Exponential",-52.0866640570973,14,1,"D0"
"PowerLaw",-110.866337292897,14,1,"D0"
"Exponential",-30.392717134357,14,1,"D1"
"PowerLaw",-83.4439607996163,14,1,"D1"
"Exponential",-26.0267394914229,14,1,"D3"
"PowerLaw",-51.6395008129437,14,1,"D3"
"Exponential",-23.3066511620719,14,1,"D5"
"PowerLaw",-80.6344846133022,14,1,"D5"
"Exponential",-10.8168869327681,14,1,"D6"
"PowerLaw",-40.7570179253269,14,1,"D6"
"Exponential",-13.0775297496185,14,1,"D7"
"PowerLaw",-63.527399505979,14,1,"D7"
"Exponential",-52.1416321688914,14,2,"D0"
"PowerLaw",-111.410890744104,14,2,"D0"
"Exponential",-30.2895432924208,14,2,"D1"
"PowerLaw",-82.6055219597415,14,2,"D1"
"Exponential",-25.4655275616528,14,2,"D3"
"PowerLaw",-51.8804173124874,14,2,"D3"
"Exponential",-23.0345596286475,14,2,"D5"
"PowerLaw",-77.6229913024487,14,2,"D5"
"Exponential",-12.0548649982365,14,2,"D6"
"PowerLaw",-49.1770916760568,14,2,"D6"
"Exponential",-7.32218413953265,14,2,"D7"
"PowerLaw",-47.9246566586792,14,2,"D7"
"Exponential",-52.0498774057641,14,3,"D0"
"PowerLaw",-110.319287259603,14,3,"D0"
"Exponential",-30.3237107968566,14,3,"D1"
"PowerLaw",-82.9373902634415,14,3,"D1"
"Exponential",-24.9374652331617,14,3,"D3"
"PowerLaw",-53.0718896694579,14,3,"D3"
"Exponential",-21.6254112067331,14,3,"D5"
"PowerLaw",-58.4493454400256,14,3,"D5"
"Exponential",-12.5906491675738,14,3,"D6"
"PowerLaw",-44.1004749750982,14,3,"D6"
"Exponential",-4.71551903618765,14,3,"D7"
"PowerLaw",-47.1936934759165,14,3,"D7"
"Exponential",-52.0073633675556,14,4,"D0"
"PowerLaw",-109.804452672649,14,4,"D0"
"Exponential",-30.3945655307748,14,4,"D1"
"PowerLaw",-83.4447157397949,14,4,"D1"
"Exponential",-25.9079259169585,14,4,"D3"
"PowerLaw",-54.4720124466099,14,4,"D3"
"Exponential",-22.1596344286681,14,4,"D5"
"PowerLaw",-65.2618791953441,14,4,"D5"
"Exponential",-11.3228287416199,14,4,"D6"
"PowerLaw",-42.4515081861166,14,4,"D6"
"Exponential",-9.50726595068609,14,4,"D7"
"PowerLaw",-46.8075392168835,14,4,"D7"
"Exponential",-52.019920390313,14,5,"D0"
"PowerLaw",-110.004704283747,14,5,"D0"
