"Group","Definition","X","Y","SE_X","SE_Y","Regime","Deterministic","Stochastic","Deterministic_minus_Stochastic","Mean_percent_HoS","Mean_percent_HeS","Mean_percent_DL","Mean_percent_HD","Mean_percent_DR"
"D0","i. HoS vs DL + DR",71.4599690799682,23.4149796548211,2.5384944675691,0.485204618095211,"Stochastic > deterministic",23.4372797956628,76.5627202043373,-53.1254404086745,23.4149796548211,0.0223001408416707,30.0811372654955,5.10275112436906,41.3788318144727
"D1","i. HoS vs DL + DR",43.8346507477597,54.8753274960145,1.48007332932848,1.15540527479845,"Deterministic > stochastic",54.9214281191518,45.0785718808482,9.84285623830355,54.8753274960145,0.0461006231372829,25.4092094615115,1.24392113308853,18.4254412862482
"D3","i. HoS vs DL + DR",22.9620647764293,76.4449331740405,1.49015169168014,1.48646349490387,"Deterministic > stochastic",76.4585416115745,23.5414583884255,52.9170832231491,76.4449331740405,0.013608437534026,0.189214477357361,0.579393611996207,22.7728502990719
"D5","i. HoS vs DL + DR",40.4221860508292,59.3838512625223,1.8553295005097,1.64796037425113,"Deterministic > stochastic",59.4091884204787,40.5908115795213,18.8183768409573,59.3838512625223,0.0253371579563654,10.6728755536202,0.168625528692119,29.749310497209
"D6","i. HoS vs DL + DR",25.1890144971897,69.5315200869842,0.761495713096154,0.838703040324797,"Deterministic > stochastic",74.7681977578367,25.2318022421634,49.5363955156733,69.5315200869842,5.23667767085246,3.18200087069276,0.0427877449737202,22.0070136264969
"D7","i. HoS vs DL + DR",41.8174951098971,50.3891274318375,0.996157234460582,0.9478690467909,"Deterministic > stochastic",58.1814971523812,41.8185028476188,16.3629943047624,50.3891274318375,7.79236972054365,10.017245800696,0.00100773772169173,31.8002493092011
"D0","ii. HoS + HeS vs DL + HD + DR",76.5627202043373,23.4372797956628,2.64087267808061,0.485210041040227,"Stochastic > deterministic",23.4372797956628,76.5627202043373,-53.1254404086745,23.4149796548211,0.0223001408416707,30.0811372654955,5.10275112436906,41.3788318144727
"D1","ii. HoS + HeS vs DL + HD + DR",45.0785718808482,54.9214281191518,1.49365353778412,1.15541728353989,"Deterministic > stochastic",54.9214281191518,45.0785718808482,9.84285623830355,54.8753274960145,0.0461006231372829,25.4092094615115,1.24392113308853,18.4254412862482
"D3","ii. HoS + HeS vs DL + HD + DR",23.5414583884255,76.4585416115745,1.49127024369602,1.48646692347919,"Deterministic > stochastic",76.4585416115745,23.5414583884255,52.9170832231491,76.4449331740405,0.013608437534026,0.189214477357361,0.579393611996207,22.7728502990719
"D5","ii. HoS + HeS vs DL + HD + DR",40.5908115795213,59.4091884204787,1.85538040457252,1.64797217939885,"Deterministic > stochastic",59.4091884204787,40.5908115795213,18.8183768409573,59.3838512625223,0.0253371579563654,10.6728755536202,0.168625528692119,29.749310497209
"D6","ii. HoS + HeS vs DL + HD + DR",25.2318022421634,74.7681977578367,0.761500261968895,0.91716124533664,"Deterministic > stochastic",74.7681977578367,25.2318022421634,49.5363955156733,69.5315200869842,5.23667767085246,3.18200087069276,0.0427877449737202,22.0070136264969
"D7","ii. HoS + HeS vs DL + HD + DR",41.8185028476188,58.1814971523812,0.996157242343383,1.06377634065045,"Deterministic > stochastic",58.1814971523812,41.8185028476188,16.3629943047624,50.3891274318375,7.79236972054365,10.017245800696,0.00100773772169173,31.8002493092011
"D0","iii. HoS vs DR",41.3788318144727,23.4149796548211,1.39459555158475,0.485204618095211,"Stochastic > deterministic",23.4372797956628,76.5627202043373,-53.1254404086745,23.4149796548211,0.0223001408416707,30.0811372654955,5.10275112436906,41.3788318144727
"D1","iii. HoS vs DR",18.4254412862482,54.8753274960145,1.12259423731802,1.15540527479845,"Deterministic > stochastic",54.9214281191518,45.0785718808482,9.84285623830355,54.8753274960145,0.0461006231372829,25.4092094615115,1.24392113308853,18.4254412862482
"D3","iii. HoS vs DR",22.7728502990719,76.4449331740405,1.48913879586619,1.48646349490387,"Deterministic > stochastic",76.4585416115745,23.5414583884255,52.9170832231491,76.4449331740405,0.013608437534026,0.189214477357361,0.579393611996207,22.7728502990719
"D5","iii. HoS vs DR",29.749310497209,59.3838512625223,1.60639142408934,1.64796037425113,"Deterministic > stochastic",59.4091884204787,40.5908115795213,18.8183768409573,59.3838512625223,0.0253371579563654,10.6728755536202,0.168625528692119,29.749310497209
"D6","iii. HoS vs DR",22.0070136264969,69.5315200869842,0.724650910080198,0.838703040324797,"Deterministic > stochastic",74.7681977578367,25.2318022421634,49.5363955156733,69.5315200869842,5.23667767085246,3.18200087069276,0.0427877449737202,22.0070136264969
"D7","iii. HoS vs DR",31.8002493092011,50.3891274318375,0.782134806113474,0.9478690467909,"Deterministic > stochastic",58.1814971523812,41.8185028476188,16.3629943047624,50.3891274318375,7.79236972054365,10.017245800696,0.00100773772169173,31.8002493092011
