"Bins","Group","Process","Relative importance","Family","Phylum","Rank_within_group_process","Shown_in_Fig4D"
"Bin4","D6","DL",0,"MSBL8","Cloacimonadota",27,"No"
"Bin4","D6","DR",0,"MSBL8","Cloacimonadota",95,"No"
"Bin4","D6","HoS",0,"MSBL8","Cloacimonadota",83,"No"
"Bin4","D7","DL",0,"MSBL8","Cloacimonadota",26,"No"
"Bin4","D7","DR",0,"MSBL8","Cloacimonadota",95,"No"
"Bin4","D7","HoS",0,"MSBL8","Cloacimonadota",73,"No"
"Bin5","D0","DL",0,"Sulfurovaceae","Campilobacterota",67,"No"
"Bin5","D0","DR",0,"Sulfurovaceae","Campilobacterota",99,"No"
"Bin5","D0","HoS",0.00188841699258926,"Sulfurovaceae","Campilobacterota",25,"No"
"Bin5","D1","DL",0.00514578009684505,"Sulfurovaceae","Campilobacterota",14,"No"
"Bin5","D1","DR",0.000105930015928921,"Sulfurovaceae","Campilobacterota",84,"No"
"Bin5","D1","HoS",0,"Sulfurovaceae","Campilobacterota",82,"No"
"Bin5","D3","DL",0,"Sulfurovaceae","Campilobacterota",11,"No"
"Bin5","D3","DR",5.88172427913808e-05,"Sulfurovaceae","Campilobacterota",44,"No"
"Bin5","D3","HoS",5.6847008505078e-06,"Sulfurovaceae","Campilobacterota",65,"No"
"Bin5","D5","DL",0,"Sulfurovaceae","Campilobacterota",17,"No"
"Bin5","D5","DR",6.63825262512813e-05,"Sulfurovaceae","Campilobacterota",38,"No"
"Bin5","D5","HoS",0,"Sulfurovaceae","Campilobacterota",70,"No"
"Bin5","D6","DL",0,"Sulfurovaceae","Campilobacterota",27,"No"
"Bin5","D6","DR",3.63735784654492e-05,"Sulfurovaceae","Campilobacterota",48,"No"
"Bin5","D6","HoS",9.18825917780742e-07,"Sulfurovaceae","Campilobacterota",65,"No"
"Bin5","D7","DL",1.65010554320651e-05,"Sulfurovaceae","Campilobacterota",17,"No"
"Bin5","D7","DR",0.0001128007896651,"Sulfurovaceae","Campilobacterota",31,"No"
"Bin5","D7","HoS",0,"Sulfurovaceae","Campilobacterota",73,"No"
"Bin6","D0","DL",0,"Arcobacteraceae","Campilobacterota",67,"No"
"Bin6","D0","DR",0,"Arcobacteraceae","Campilobacterota",99,"No"
"Bin6","D0","HoS",8.38310143287232e-05,"Arcobacteraceae","Campilobacterota",50,"No"
"Bin6","D1","DL",0.00121055087499632,"Arcobacteraceae","Campilobacterota",30,"No"
"Bin6","D1","DR",0.00477974696538219,"Arcobacteraceae","Campilobacterota",5,"No"
"Bin6","D1","HoS",0,"Arcobacteraceae","Campilobacterota",82,"No"
"Bin6","D3","DL",0,"Arcobacteraceae","Campilobacterota",11,"No"
"Bin6","D3","DR",0,"Arcobacteraceae","Campilobacterota",102,"No"
"Bin6","D3","HoS",0.00812781468673691,"Arcobacteraceae","Campilobacterota",5,"No"
"Bin6","D5","DL",0.000323662355241268,"Arcobacteraceae","Campilobacterota",5,"No"
"Bin6","D5","DR",0.000630109582250221,"Arcobacteraceae","Campilobacterota",16,"No"
"Bin6","D5","HoS",0.00840627051595853,"Arcobacteraceae","Campilobacterota",7,"No"
"Bin6","D6","DL",1.74684510057251e-05,"Arcobacteraceae","Campilobacterota",21,"No"
"Bin6","D6","DR",0.000764353805862061,"Arcobacteraceae","Campilobacterota",18,"No"
"Bin6","D6","HoS",0.000975251733542652,"Arcobacteraceae","Campilobacterota",20,"No"
"Bin6","D7","DL",0.00135939669351141,"Arcobacteraceae","Campilobacterota",8,"No"
"Bin6","D7","DR",0.0050602252184772,"Arcobacteraceae","Campilobacterota",8,"No"
"Bin6","D7","HoS",0.00233615275534801,"Arcobacteraceae","Campilobacterota",17,"No"
"Bin7","D0","DL",0,"Spirochaetaceae","Spirochaetota",67,"No"
"Bin7","D0","DR",0,"Spirochaetaceae","Spirochaetota",99,"No"
"Bin7","D0","HoS",5.28441409819191e-06,"Spirochaetaceae","Spirochaetota",62,"No"
"Bin7","D1","DL",0.000735330426586028,"Spirochaetaceae","Spirochaetota",37,"No"
"Bin7","D1","DR",0.000152074651000949,"Spirochaetaceae","Spirochaetota",76,"No"
"Bin7","D1","HoS",1.23003197325955e-05,"Spirochaetaceae","Spirochaetota",71,"No"
"Bin7","D3","DL",0,"Spirochaetaceae","Spirochaetota",11,"No"
"Bin7","D3","DR",8.42304905704112e-05,"Spirochaetaceae","Spirochaetota",36,"No"
"Bin7","D3","HoS",5.61236346499782e-06,"Spirochaetaceae","Spirochaetota",66,"No"
"Bin7","D5","DL",9.27747526191119e-05,"Spirochaetaceae","Spirochaetota",9,"No"
"Bin7","D5","DR",8.07094661145294e-05,"Spirochaetaceae","Spirochaetota",36,"No"
"Bin7","D5","HoS",7.83370774170549e-05,"Spirochaetaceae","Spirochaetota",38,"No"
"Bin7","D6","DL",2.25366389504261e-05,"Spirochaetaceae","Spirochaetota",20,"No"
"Bin7","D6","DR",0.000100571761883812,"Spirochaetaceae","Spirochaetota",41,"No"
"Bin7","D6","HoS",2.39648825725304e-05,"Spirochaetaceae","Spirochaetota",47,"No"
"Bin7","D7","DL",4.06254175288137e-06,"Spirochaetaceae","Spirochaetota",22,"No"
"Bin7","D7","DR",3.48525967721445e-05,"Spirochaetaceae","Spirochaetota",42,"No"
"Bin7","D7","HoS",1.57659881936143e-06,"Spirochaetaceae","Spirochaetota",48,"No"
"Bin8","D0","DL",0,"Spirochaetaceae","Spirochaetota",67,"No"
"Bin8","D0","DR",0.000549916041809797,"Spirochaetaceae","Spirochaetota",56,"No"
"Bin8","D0","HoS",0,"Spirochaetaceae","Spirochaetota",66,"No"
"Bin8","D1","DL",0.00958401700192548,"Spirochaetaceae","Spirochaetota",6,"No"
"Bin8","D1","DR",7.28571882858591e-05,"Spirochaetaceae","Spirochaetota",87,"No"
"Bin8","D1","HoS",0,"Spirochaetaceae","Spirochaetota",82,"No"
"Bin8","D3","DL",0,"Spirochaetaceae","Spirochaetota",11,"No"
"Bin8","D3","DR",0.00135419702631825,"Spirochaetaceae","Spirochaetota",11,"No"
"Bin8","D3","HoS",1.80661944943499e-05,"Spirochaetaceae","Spirochaetota",56,"No"
"Bin8","D5","DL",0,"Spirochaetaceae","Spirochaetota",17,"No"
"Bin8","D5","DR",0.000297261519974403,"Spirochaetaceae","Spirochaetota",20,"No"
"Bin8","D5","HoS",5.50853885867412e-05,"Spirochaetaceae","Spirochaetota",42,"No"
"Bin8","D6","DL",0,"Spirochaetaceae","Spirochaetota",27,"No"
"Bin8","D6","DR",0.000300302973956279,"Spirochaetaceae","Spirochaetota",27,"No"
"Bin8","D6","HoS",0.000144490850856858,"Spirochaetaceae","Spirochaetota",34,"No"
"Bin8","D7","DL",0,"Spirochaetaceae","Spirochaetota",26,"No"
"Bin8","D7","DR",0.000160928641467834,"Spirochaetaceae","Spirochaetota",27,"No"
"Bin8","D7","HoS",2.19645642377099e-05,"Spirochaetaceae","Spirochaetota",34,"No"
"Bin9","D0","DL",0,"Spirochaetaceae","Spirochaetota",67,"No"
"Bin9","D0","DR",0,"Spirochaetaceae","Spirochaetota",99,"No"
"Bin9","D0","HoS",0.00236693441017459,"Spirochaetaceae","Spirochaetota",22,"No"
"Bin9","D1","DL",0,"Spirochaetaceae","Spirochaetota",74,"No"
"Bin9","D1","DR",0,"Spirochaetaceae","Spirochaetota",102,"No"
"Bin9","D1","HoS",0.0138503605645138,"Spirochaetaceae","Spirochaetota",12,"No"
"Bin9","D3","DL",0,"Spirochaetaceae","Spirochaetota",11,"No"
"Bin9","D3","DR",0,"Spirochaetaceae","Spirochaetota",102,"No"
"Bin9","D3","HoS",0.00366715639397138,"Spirochaetaceae","Spirochaetota",12,"No"
"Bin9","D5","DL",0.00911109413327058,"Spirochaetaceae","Spirochaetota",3,"No"
"Bin9","D5","DR",0.00388251951084536,"Spirochaetaceae","Spirochaetota",9,"No"
"Bin9","D5","HoS",0.000940819125844505,"Spirochaetaceae","Spirochaetota",21,"No"
"Bin9","D6","DL",0,"Spirochaetaceae","Spirochaetota",27,"No"
"Bin9","D6","DR",0.00308899530825311,"Spirochaetaceae","Spirochaetota",8,"No"
"Bin9","D6","HoS",0.00292783424162114,"Spirochaetaceae","Spirochaetota",13,"No"
"Bin9","D7","DL",0,"Spirochaetaceae","Spirochaetota",26,"No"
"Bin9","D7","DR",3.65348901226182e-05,"Spirochaetaceae","Spirochaetota",40,"No"
"Bin9","D7","HoS",0.0016217955935623,"Spirochaetaceae","Spirochaetota",18,"No"
"Bin10","D0","DL",0.00101057136524709,"Spirochaetaceae","Spirochaetota",48,"No"
"Bin10","D0","DR",0.000391724547026036,"Spirochaetaceae","Spirochaetota",67,"No"
"Bin10","D0","HoS",0.000429630059286781,"Spirochaetaceae","Spirochaetota",39,"No"
"Bin10","D1","DL",0.00138025918925612,"Spirochaetaceae","Spirochaetota",28,"No"
"Bin10","D1","DR",0.000156490149748933,"Spirochaetaceae","Spirochaetota",74,"No"
"Bin10","D1","HoS",0,"Spirochaetaceae","Spirochaetota",82,"No"
"Bin10","D3","DL",0,"Spirochaetaceae","Spirochaetota",11,"No"
"Bin10","D3","DR",2.68820778843893e-05,"Spirochaetaceae","Spirochaetota",55,"No"
"Bin10","D3","HoS",1.87276628595733e-06,"Spirochaetaceae","Spirochaetota",78,"No"
