OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU_3039	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium
OTU_3041	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__5
OTU_3046	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Actibacterium
OTU_3045	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter
OTU_3050	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
OTU_3048	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_3049	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	uncultured__bacterium
OTU_3051	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	JTB215	bacterium__enrichment__culture__clone__AOM-SR-B4
OTU_3052	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Micropruina
OTU_3053	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
OTU_3055	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
OTU_3054	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
OTU_3056	Bacteria	Spirochaetota	MVP-15	uncultured__organism	uncultured__bacterium	uncultured__bacterium
OTU_3057	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium
OTU_3059	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103
OTU_3063	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
OTU_3061	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus__Riegeria
OTU_3060	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum
OTU_3058	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
OTU_3065	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Seohaeicola
OTU_3064	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
OTU_3067	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
OTU_3066	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
OTU_3068	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured
OTU_3069	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Brassicibacter	uncultured__Firmicutes__bacterium
OTU_3071	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Clostridiisalibacter	uncultured__bacterium
OTU_3062	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae__UCG-011
OTU_3070	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae__R-7__group
OTU_3072	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3076	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
OTU_3074	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_3073	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium
OTU_3075	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	Georgenia
OTU_3079	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3078	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Stappia
OTU_3082	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
OTU_3080	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__11
OTU_3077	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
OTU_3081	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Oceanirhabdus
OTU_3084	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium__sensu__stricto__15
OTU_3085	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
OTU_3086	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium
OTU_3083	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured__bacterium
OTU_3088	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter
OTU_3087	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Limibacillus
OTU_3090	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
OTU_3089	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
OTU_3091	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	uncultured
OTU_3092	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium]__xylanophilum__group
OTU_3097	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120
OTU_3094	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
OTU_3095	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Clostridiisalibacter	uncultured__bacterium
OTU_3099	Bacteria	Marinimicrobia__(SAR406__clade)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3093	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia
OTU_3098	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_3100	Bacteria	Marinimicrobia__(SAR406__clade)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_3096	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propioniciclava
OTU_3101	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
OTU_3105	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured
OTU_3104	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	uncultured	uncultured__bacterium
OTU_3106	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
OTU_3102	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
OTU_3103	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter
OTU_3107	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	S5-A14a
OTU_3108	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum
OTU_3109	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum
OTU_3110	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__organism	uncultured__bacterium
OTU_3112	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_3115	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_3111	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
OTU_3113	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum
OTU_3116	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
