"Group","HeS","HoS","DL","HD","DR"
"D0",0.000414469828867122,0.23174537055404,0.259818619116373,0.0110491393101835,0.496972401190536
"D0",0.000196481636278043,0.221201975357983,0.510827229969636,0.0128540498680115,0.254920263168091
"D0",0,0.355573507541031,0,0.189208782186534,0.455217710272436
"D0",0,0.353570778924981,0.00257810557962764,0.215230080587501,0.428621034907891
"D0",0.000346835666718509,0.352761128456313,0,0.156558184313763,0.490333851563205
"D0",0,0.378269501360326,0.00782871591233626,0.0815458460025993,0.532355936724738
"D0",0.000489737009074509,0.231507131896347,0.255854784416309,0.0101262402316557,0.502022106446614
"D0",0.000475202737880526,0.230746601369525,0.253339703919925,0.0126950703199649,0.502743421652704
"D0",0.000399844033377554,0.228026439437332,0.303471577228137,0.0160887230662331,0.45201341623492
"D0",0.000592387888661959,0.231475102400816,0.254347938868812,0.0161931026593791,0.497391468182332
"D0",0.000196477892731005,0.223535449681799,0.505818580460834,0.0147360126447064,0.255713479319929
"D0",0.000181189248635174,0.201880650444254,0.521805959533153,0.0119410070465311,0.264191193727426
"D0",0.000181192058874021,0.214913843239476,0.503408790287912,0.0155143216391348,0.265981852774603
"D0",0,0.216883121496423,0.477948656312078,0.00459054412297572,0.300577678068524
"D0",0.000414655599771138,0.239730541856991,0.258645190187815,0.0159244237519452,0.485285188603478
"D0",0.00041436618157058,0.205255547394365,0.292526274922814,0.0105017276941798,0.49130208380707
"D0",0.000399369136062181,0.226815190939932,0.253133794593804,0.0160485740117261,0.503603071318476
"D0",0.000399469240161252,0.235549102527183,0.268647045291181,0.0141621790586829,0.481242203882792
"D0",0.000452281731366708,0.215225429870327,0.0371014489118408,0.0718393151668611,0.675381524319605
"D0",0.000437744055664496,0.30562901523799,0.0270813830276515,0.106049718810265,0.560802138868429
"D0",0.000452377502721226,0.243845494985736,0.0358398902476831,0.0958600318092334,0.624002205454626
"D0",0.000495663023996163,0.246868243302155,0.0417547327550925,0.133399941894954,0.577481419023802
"D0",0,0.239582463926151,0.475732150929745,0.00513109784552139,0.279554287298583
"D0",0,0.213494039292655,0.495186969946263,0.0118905552738317,0.27942843548725
"D0",0,0.202792042632598,0.476807432174521,0.0103765994038793,0.310023925789002
"D0",0,0.185975408934057,0.517591165742299,0.0122698247876913,0.284163600535952
"D0",7.58102712794238e-05,0.205186318043188,0.537811102978128,0.0140523485900861,0.242874420117318
"D0",0.000105552037154317,0.209066649009368,0.525761837450926,0.0140837401060154,0.250982221396537
"D0",0.000105615739762817,0.199557630125158,0.538328956500852,0.0130209594616046,0.248986838172622
"D0",4.51794769805487e-05,0.226524939564819,0.429400009709518,0.00672104558974954,0.337308825658933
"D0",4.51828814887779e-05,0.21976435366978,0.487400100605288,0.00710757897507697,0.285682783868367
"D0",0,0.221876938037226,0.469836127953304,0.00630702006383688,0.301979913945634
"D0",4.51586589903927e-05,0.222786070297291,0.521187855868511,0.0068243856722901,0.249156529502918
"D0",0,0.19941571372961,0.00487947116857647,0.106506970755991,0.689197844345822
"D0",0,0.201340321927334,0.0166763051871682,0.116000097021881,0.665983275863617
"D0",0,0.202001545870202,0.0148723846108882,0.112644554493442,0.670481515025468
"D0",0,0.352575159053458,0.00527914679412542,0.150207647001506,0.49193804715091
"D0",0.000347021437622525,0.323672224076778,0,0.285048849472961,0.390931905012638
"D0",0,0.347041944643245,0,0.211017310719812,0.441940744636943
"D0",0.000520192509632821,0.21344561778103,0.263737400256172,0.0133886826882815,0.508908106764885
"D0",0.000505658238438838,0.234653350073857,0.263844896906785,0.0120006942693137,0.488995400511605
"D0",0.000429717690411437,0.228726202333307,0.314498910943114,0.0106664895764236,0.445678679456744
"D0",0.00056355298427212,0.238496955873992,0.255734424438641,0.00915930310625729,0.496045763596838
"D0",0,0.18242360951528,0.532243334827187,0.0375966691243226,0.247736386533211
"D0",0,0.181552549231813,0.528583113729351,0.0146851584882148,0.275179178550621
"D0",0,0.19096829124757,0.519369449046995,0.0355902858786226,0.254071973826812
"D0",0.000346732019421968,0.351031779276697,0.00483923759024211,0.204920702992331,0.438861548121308
"D0",0,0.347382708180918,0.00523254634930398,0.10708332044621,0.540301425023568
"D0",0.000519734264148606,0.212441517974954,0.261259252411088,0.0155132291080691,0.51026626624174
"D0",0.000505199992954623,0.240525451159944,0.266880159340916,0.0117301165828899,0.480359072923296
"D0",0.000399740386081013,0.202915740953894,0.311716596119154,0.0145002989970574,0.470467623543814
"D0",0.00063743991355873,0.237782622783687,0.248667791085958,0.0113442066652733,0.501567939551522
"D0",7.58065277323864e-05,0.200243172151812,0.52770232534396,0.0181743570608899,0.253804338915605
"D0",6.05178836365554e-05,0.198422954930591,0.533282204065806,0.0123940276977127,0.255840295422254
"D0",6.05206938754021e-05,0.197124403408624,0.527294683462986,0.0144471731903291,0.261073219244186
"D0",0.00033183507801264,0.345425237348707,0.0170441015734052,0.0926423113157016,0.544556514684173
"D0",0.000489706082739216,0.232782160597536,0.307697056867591,0.0108084064113175,0.448222670040817
"D0",0.000475171811545233,0.227727133176111,0.26961328906778,0.0104998818491736,0.49168452409539
"D0",0.000414413926597618,0.238978898775599,0.29525496925351,0.0113005961645172,0.454051121879776
"D0",0.000533066557378515,0.232591329876343,0.252322635001214,0.0146225803773426,0.499930388187723
"D0",0.000105552037154317,0.176077429926395,0.53018380132375,0.011020591655816,0.282612625056885
"D0",0.000105552037154317,0.198483521904393,0.542844484752944,0.0141878916191838,0.244378549686325
"D0",0.000105552037154317,0.212943237207731,0.516594825371957,0.0143731218404487,0.255983263542709
"D0",0.000474772826250885,0.230892576108667,0.323267463700351,0.0115519708129778,0.433813216551753
"D0",0.000460238555056903,0.233510916685005,0.267611886515554,0.012776570826352,0.485640387418032
"D0",0.000414523131069333,0.241297456695737,0.296512071523013,0.00949650716874969,0.452279441481431
"D0",0.000518133300890184,0.243851253448443,0.24809145796545,0.0156633161134248,0.491875839171792
"D0",0.000105615739762817,0.172429948767112,0.542198810130667,0.0151783170586262,0.270087308303832
"D0",0.000105615739762817,0.195841178880069,0.541454473373377,0.0131261273237665,0.249472604683025
"D0",0.000105615739762817,0.198439786415777,0.527080272386544,0.0127068167379089,0.261667508720007
"D0",0.000481370653106551,0.219082805600726,0.0381306036646826,0.0972371136476076,0.645068106433878
"D0",0.00048141833708637,0.245378896787651,0.0525771366623671,0.0969990130340523,0.604563535178844
"D0",0.000539241176441448,0.212779619065279,0.0568853786018745,0.135677365949499,0.594118395206907
"D0",4.51757334335113e-05,0.216880173450687,0.424279334125787,0.0109751297084577,0.347820186981634
"D0",0,0.228693673582774,0.465540002538695,0.00659957255476527,0.299166751323765
"D0",0,0.209465157634565,0.427857752043293,0.0106815668559386,0.351995523466203
"D0",0.000466887470400617,0.243218953191922,0.0347685248212715,0.24777131464574,0.473774319870666
"D0",0.000524710309755695,0.264974671893298,0.070259778390997,0.133157013234723,0.531083826171226
"D0",4.51791379417405e-05,0.239183333127005,0.450559636064898,0.0114255217608935,0.298786329909261
"D0",0,0.203145660410337,0.487985903330754,0.00803763500744351,0.300830801251465
"D0",0,0.234742602366202,0.47845597036439,0.00722514635653258,0.279576280912875
"D0",0.000524757993735513,0.256661603385341,0.0495508061372594,0.123316077270695,0.569946755212969
"D0",0,0.215806335252335,0.481335127798413,0.00497774978642698,0.297880787162826
"D0",2.98934740946481e-05,0.216712181805309,0.50990052195608,0.0102151201593873,0.263142282605129
"D0",2.98962843334948e-05,0.205417782350655,0.45857708747268,0.00697505825568098,0.329000175636651
"D0",4.51549154433553e-05,0.265991679020594,0.419777371786995,0.00632076145043559,0.307865032826532
"D0",0,0.217411058274236,0.526387185475259,0.00726525331800609,0.248936502932498
"D0",0,0.212719142095781,0.462634929117995,0.00667439339684659,0.317971535389378
"D0",0,0.191261796109646,0.0177309673091698,0.141510752641665,0.649496483939519
"D0",0,0.19790422088456,0.0240056178833675,0.153350673508353,0.62473948772372
"D0",0,0.207128215798466,0.00544791216677171,0.282633966052989,0.504789905981773
"D1",0.00130168710600735,0.598834427998942,0.3053879976952,0.0113423870735914,0.0831335001262591
"D1",0,0.549053372599948,0.379989957487527,0.0112976302343196,0.0596590396782054
"D1",0,0.555648321513472,0.356123865507373,0.0110390948004245,0.0771887181787303
"D1",0.0011597890151235,0.729849648409127,0.184645758054772,0.0113564982855106,0.0729883062354669
"D1",0.00107673757517121,0.715954308555275,0.21208471893004,0.00972626697594912,0.0611579679635651
"D1",0.000257940451306656,0.559703003884027,0.326585950054158,0.00866315328906177,0.104789952321447
"D1",0.00158176874215476,0.658681082239768,0.255663197970375,0.00988046392564567,0.0741934871220563
"D1",0,0.703908533009744,0.244520766751181,0.00694055097807328,0.0446301492610016
"D1",0.00126597938224112,0.584803887293615,0.181589425202721,0.00949900780776929,0.222841700313654
"D1",0,0.583048398202806,0.345418462013935,0.0142768539892848,0.0572562857939737
"D1",0,0.740391902254994,0.164173949233349,0.0128987715133155,0.0825353769983421
"D1",0,0.540117353351037,0.378451879952842,0.00833042951918971,0.0731003371769315
"D1",0,0.666016794617379,0.247150201249048,0.00949625893816143,0.0773367451954124
"D1",0,0.563922175515636,0.359143388115166,0.0112773529537281,0.0656570834154702
"D1",0,0.583236908045264,0.309498649527653,0.0127949263007885,0.0944695161262945
"D1",0,0.48225033246341,0.365733013922975,0.0147451165204179,0.137271537093197
"D1",0.000791133816264237,0.562820076782616,0.196262786771259,0.0104747824830445,0.229651220146816
"D1",0,0.501979583401956,0.288464265657258,0.011245086162023,0.198311064778763
"D1",0.000431271123880184,0.557948154345478,0.326905701297383,0.0139416216166566,0.100773251616602
"D1",0,0.57975514148861,0.187260184689931,0.0121649378875614,0.220819735933897
"D1",0.000884096891717716,0.616867993748773,0.136399781969312,0.00713471987710948,0.238713407513088
"D1",0.00129083373935045,0.569112504006011,0.189100234811737,0.0118888873070784,0.228607540135823
"D1",0.000718782770901131,0.538979827209984,0.370046920625888,0.0195263895570469,0.0707280798361797
"D1",0,0.39748250245838,0.33465256625597,0.0103426152879833,0.257522315997667
"D1",0,0.405903216097174,0.360708583047159,0.0142986541922274,0.219089546663439
"D1",0.000594536170600364,0.498452096635218,0.191468047132234,0.0118431411083581,0.297642178953589
"D1",0,0.485416883797609,0.192171103369831,0.0102842271723233,0.312127785660237
"D1",0.00086480653396201,0.51369470790194,0.372130977345951,0.00961878900052965,0.103690719217618
"D1",0,0.472231584185358,0.238226709735331,0.0167629025605216,0.27277880351879
"D1",0,0.515517372247852,0.352387440828478,0.0132786815972519,0.118816505326419
"D1",0.000117582353063526,0.685960506441359,0.221137064708119,0.0110783016151469,0.081706544882311
"D1",0.000775214775717677,0.426884348598063,0.304982935039352,0.00662350354363902,0.260733998043228
"D1",0.000203229109455648,0.569403508327032,0.353034756048324,0.0144072665973961,0.0629512399177919
"D1",0.000422569459453079,0.747495877861279,0.16858093622726,0.0133727983238204,0.0701278181281877
"D1",0,0.374256618437069,0.341202003508815,0.00870255846420313,0.275838819589913
"D1",0,0.406989873895014,0.510110992355373,0.013079951771493,0.0698191819781207
"D1",0,0.521174417024542,0.121966357918906,0.0105262095889936,0.346333015467557
"D1",0,0.57113854966361,0.342473548822523,0.00912913578988493,0.0772587657239815
"D1",0,0.43918592261905,0.323495431413311,0.0160977003779537,0.221220945589684
"D1",0.0011553536636668,0.501623170295983,0.419868314381565,0.0092913915408138,0.0680617701179718
"D1",0,0.724869749833984,0.222014496346943,0.0115957114163709,0.0415200424027024
"D1",0,0.580339110180773,0.109609923292015,0.00953726740788803,0.300513699119324
"D1",0.000770415215468039,0.565439634890472,0.344547109917347,0.0149552125721359,0.0742876274045765
"D1",0.000926609676781796,0.746267309407695,0.151573758092095,0.0145120142698226,0.0867203085536052
"D1",0.000808144576750826,0.490372836249663,0.177291412937281,0.00601876870269337,0.325508837533613
"D1",0,0.369887273636022,0.407617014389479,0.0116928910588598,0.21080282091564
"D1",0,0.506133506686531,0.412855932339117,0.0096405898212497,0.0713699711531017
"D1",0,0.448962572643619,0.358750243372702,0.00998209292244305,0.182305091061237
"D1",0.000310270789116692,0.713867055044491,0.191396372540953,0.00827246083919831,0.0861538407862403
"D1",0,0.683312969422105,0.224721905765014,0.00756518528510999,0.084399939527771
"D1",0,0.52295466625273,0.167746743629373,0.00728604593988807,0.302012544178009
"D1",0.000868710145852699,0.457834548306557,0.381209765563914,0.00906919070685096,0.151017785276825
"D1",0.000576884680017286,0.694988468854339,0.198568120604032,0.0147438164118744,0.0911227094497369
"D1",0,0.352412232173744,0.332537077672746,0.00672610999444351,0.308324580159067
"D1",0,0.382793057581739,0.412130895679526,0.00964004803539163,0.195435998703343
"D1",0.0011618146231476,0.476898296222616,0.120707813659378,0.00993819623850292,0.391293879256356
