id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1122	6	0.780263701200468	0.65384580080852	0.111116184756412	0	M3	1.94487383821556	0.277777777777778	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
OTU_1122	6	0.109542707386523	0.532368002084451	0.233069360384731	0	M2	-0.310460210282533	0.444444444444444	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
OTU_1142	5	1.49601419514697	1.82143381421351	0.166222769955742	0	M1	0.606142645655782	0	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium
OTU_1163	4	0.363079203010864	0.374255160181589	0.00029829343814875	0	M3	0.518495139130856	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium
OTU_1164	5	1.90187923671246	-0.254730669024429	6.95697372391372e-05	0	M4	2.15455453937882	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__BD2-2	uncultured__organism
OTU_1165	2	1.81126711867259	1.77149455733486	4.84686046095105e-05	0	M8	-0.591607978309961	0.5	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1177	12	1.25935046290026	1.99751754628268	0.321634177783523	0	M1	1.76332406008955	0.5	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1177	9	1.31697866490031	1.23109679096429	0.128978824996416	0	M2	2.41173041500211	0.493827160493827	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
OTU_1183	6	1.73366822454338	1.25239127643184	0.119309557455514	0	M2	1.2833778958395	0.5	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1190	6	0.687394323195845	1.50060562467331	0.0180797166805842	0.2	M2	-0.285198189420146	0.444444444444444	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_1195	5	0.0422012027127347	0.427547715993824	0.131003794677622	0	M6	-0.420084025208403	0.64	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_12	24	1.51681472712677	1.52468849108837	0.0130900297352994	0.11231884057971	M2	3.56883139733858	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_1209	10	0.118944844460434	0.13723817272971	0.0163286088753334	0.0666666666666667	M2	0.292906248593663	0.46	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium
