OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1112	8	0.634203666	0.287016712	0.101427526	0	M1	0.836314513	0.5625	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D724004B	92.471
OTU_1121	7	0.322112115	0.331460426	0.019618666	0.142857143	M2	-0.09249671	0.448979592	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	D705008A	93.632
OTU_1122	6	0.780263701	0.653845801	0.111116185	0	M3	1.944873838	0.277777778	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
OTU_1122	6	0.109542707	0.532368002	0.23306936	0	M2	-0.31046021	0.444444444	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
OTU_1142	5	1.496014195	1.821433814	0.16622277	0	M1	0.606142646	0	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	D715006	94.104
OTU_1163	4	0.363079203	0.37425516	0.000298293	0	M3	0.518495139	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__bacterium	D717016A	92.925
OTU_1164	5	1.901879237	-0.254730669	6.96E-05	0	M4	2.154554539	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__BD2-2	uncultured__organism	D705008A	89.387
OTU_1165	2	1.811267119	1.771494557	4.85E-05	0	M8	-0.591607978	0.5	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D724004B	96.462
OTU_1177	9	1.316978665	1.231096791	0.128978825	0	M2	2.411730415	0.49382716	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	94.353
OTU_1177	12	1.259350463	1.997517546	0.321634178	0	M1	1.76332406	0.5	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	94.353
OTU_1183	6	1.733668225	1.252391276	0.119309557	0	M2	1.283377896	0.5	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	93.868
OTU_1190	6	0.687394323	1.500605625	0.018079717	0.2	M2	-0.285198189	0.444444444	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium	NA	NA
OTU_1195	5	0.042201203	0.427547716	0.131003795	0	M6	-0.420084025	0.64	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	92.941
OTU_12	24	1.516814727	1.524688491	0.01309003	0.112318841	M2	3.568831397	0	D1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium	NA	NA
OTU_1209	10	0.118944844	0.137238173	0.016328609	0.066666667	M2	0.292906249	0.46	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D510014	87.264
OTU_1211	22	0.018484983	-0.107048815	5.05E-05	0.168831169	M1	0.25726099	0	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	96.941
