#module: 82
modularity: 0.5904247
No	ID	No. module	Zi	Pi
1	OTU_1002	1	-0.863302627433956	0
2	OTU_1003	18	0	0
3	OTU_1004	0	1.0767851818386	0.471938775510204
4	OTU_1010	1	-0.477899668758083	0.375
5	OTU_1012	7	2.4509473387127	0
6	OTU_1013	7	-0.591607978309961	0
7	OTU_1014	1	-0.285198189420146	0
8	OTU_1016	18	0	0
9	OTU_1018	67	0	0
10	OTU_1019	8	0	0
11	OTU_1020	49	0	0
12	OTU_1021	8	0.801783725737273	0.375
13	OTU_1022	21	0	0
14	OTU_1023	1	-0.863302627433956	0
15	OTU_1027	62	0	0
16	OTU_1030	0	3.21855515996141	0.0886965927528394
17	OTU_1033	0	0.979432001014838	0.18
18	OTU_1039	30	0	0
19	OTU_1042	0	4.58149969149411	0.155
20	OTU_1045	4	0.10976425998969	0
21	OTU_1048	12	-0.577350269189626	0
22	OTU_1049	0	0.78472563936731	0
23	OTU_1052	0	1.0767851818386	0.350694444444445
24	OTU_1057	0	0.590019277719782	0.21875
25	OTU_1058	39	0	0
26	OTU_1061	16	1.73205080756888	0
27	OTU_1064	51	0	0
28	OTU_1066	44	0	0
29	OTU_1069	1	-0.670601148096019	0.444444444444444
30	OTU_1073	0	4.58149969149411	0.129273197357081
31	OTU_109	6	-1.07863874326001	0
32	OTU_1091	81	0	0
33	OTU_1092	0	-0.0914529880465662	0.21875
34	OTU_1094	73	0	0
35	OTU_1099	5	0.801783725737273	0
36	OTU_11	1	-0.477899668758083	0
37	OTU_1103	0	-0.18880616887033	0.244897959183674
38	OTU_1106	0	-0.286159349694094	0
39	OTU_1108	0	1.36884472430989	0.312757201646091
40	OTU_1111	13	-1	0
41	OTU_1113	1	-0.670601148096019	0
42	OTU_1114	0	-0.383512530517858	0.32
43	OTU_1117	0	0.103253373600962	0.18
44	OTU_1118	48	0	0
45	OTU_1121	1	-0.0924967100822096	0.448979591836735
46	OTU_1135	22	0	0
47	OTU_1137	0	-0.286159349694094	0
48	OTU_1140	15	0	0
49	OTU_1146	2	-0.426995996931293	0
50	OTU_1149	6	-1.07863874326001	0
51	OTU_1151	0	0.103253373600962	0
52	OTU_1155	12	-0.577350269189626	0
53	OTU_1163	2	0.518495139130856	0
54	OTU_1165	7	-0.591607978309961	0.5
55	OTU_1166	0	-0.675572072989151	0
56	OTU_1170	0	-0.480865711341622	0
57	OTU_1178	0	-0.18880616887033	0
58	OTU_1180	6	-1.07863874326001	0
59	OTU_1190	1	-0.285198189420146	0.444444444444444
60	OTU_1192	5	0	0
61	OTU_1194	0	-0.0914529880465662	0
62	OTU_1196	0	-0.480865711341622	0.375
63	OTU_1197	21	0	0
64	OTU_1199	0	-0.383512530517858	0
65	OTU_12	1	3.56883139733858	0
66	OTU_1209	1	0.292906248593663	0.46
67	OTU_1211	1	-0.0924967100822096	0.277777777777778
68	OTU_1213	2	-0.899741564962368	0
69	OTU_1224	1	0.871010686607473	0.291666666666667
70	OTU_1227	0	-0.383512530517858	0
71	OTU_1229	0	-0.578218892165386	0
72	OTU_1231	0	-0.480865711341622	0
73	OTU_1232	6	1.56892908110547	0
74	OTU_1240	5	0	0.444444444444444
75	OTU_1246	0	-0.286159349694094	0
76	OTU_1250	0	-0.480865711341622	0.375
77	OTU_1252	14	1	0
78	OTU_1254	3	-0.666010175452128	0.5
79	OTU_1255	5	-0.801783725737273	0.5
80	OTU_1256	2	-0.426995996931293	0
81	OTU_1257	17	0	0
82	OTU_1258	0	0.200606554424726	0.484429065743945
83	OTU_1259	16	-0.577350269189626	0
84	OTU_1260	1	0.292906248593663	0.21875
85	OTU_1261	3	-0.666010175452128	0.444444444444444
86	OTU_1262	8	0	0.64
87	OTU_1279	50	0	0
88	OTU_1283	2	-0.899741564962368	0.64
89	OTU_1290	1	-0.477899668758083	0.56
90	OTU_1292	0	-0.480865711341622	0
91	OTU_1294	28	0	0
92	OTU_1296	3	-0.102463103915712	0.444444444444444
93	OTU_13	1	1.06371216594541	0
94	OTU_1303	3	0.461083967620704	0.375
95	OTU_1304	1	-0.863302627433956	0
96	OTU_1305	1	-0.863302627433956	0.5
97	OTU_1306	0	-0.0914529880465662	0
98	OTU_131	0	-0.675572072989151	0
99	OTU_1310	1	0.4856077279316	0
100	OTU_132	4	-0.658585559938142	0
101	OTU_1331	38	0	0
102	OTU_1339	2	0.0457495710997814	0
103	OTU_1340	1	1.06371216594541	0.152777777777778
104	OTU_1343	7	-0.591607978309961	0
105	OTU_1344	0	-0.675572072989151	0
106	OTU_1348	42	0	0
107	OTU_1351	0	-0.0914529880465662	0
108	OTU_1358	0	-0.383512530517858	0
109	OTU_1380	0	-0.480865711341622	0
110	OTU_1400	2	-0.426995996931293	0
111	OTU_1402	0	-0.18880616887033	0
112	OTU_1408	2	0.0457495710997814	0
113	OTU_1417	3	-0.666010175452128	0
114	OTU_1418	4	-0.658585559938142	0.444444444444444
115	OTU_1419	4	0.10976425998969	0
116	OTU_1420	4	-0.658585559938142	0
117	OTU_1422	20	0	0
118	OTU_1427	38	0	0
119	OTU_1431	0	-0.578218892165386	0
120	OTU_1438	24	0	0
121	OTU_1443	0	-0.480865711341622	0
122	OTU_1449	0	0.200606554424726	0
123	OTU_145	1	-0.0924967100822096	0
124	OTU_1452	8	-0.801783725737273	0
125	OTU_1458	23	0	0
126	OTU_1466	1	-0.863302627433956	0
127	OTU_1468	2	-0.899741564962368	0
128	OTU_148	1	-0.477899668758083	0
129	OTU_1484	21	0	0
130	OTU_152	79	0	0
131	OTU_1520	26	0	0
132	OTU_1525	3	-0.666010175452128	0.5
133	OTU_153	1	-0.670601148096019	0
134	OTU_1530	81	0	0
135	OTU_154	74	0	0
136	OTU_1542	4	0.10976425998969	0.48
137	OTU_1549	1	-0.477899668758083	0
138	OTU_1551	26	0	0
139	OTU_156	72	0	0
140	OTU_1578	3	-0.666010175452128	0.5
141	OTU_1594	3	-0.102463103915712	0
142	OTU_1599	69	0	0
143	OTU_1610	0	0.200606554424726	0
144	OTU_1627	2	-0.899741564962368	0
145	OTU_1628	1	-0.863302627433956	0
146	OTU_1640	66	0	0
147	OTU_1641	0	-0.675572072989151	0
