Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0.0104166666666667	0	0	weighted	Yes	D7
2	0.0104166666666667	0	0	weighted	Yes	D7
3	0.0104166666666667	0	0	weighted	Yes	D7
1	0.0104166666666667	0	0	unweighted	Yes	D7
2	0.0104166666666667	0	0	unweighted	Yes	D7
3	0.0104166666666667	0	0	unweighted	Yes	D7
1	0.0416666666666667	0	0	weighted	No	D7
2	0.0416666666666667	0	0	weighted	No	D7
3	0.0416666666666667	0	0	weighted	No	D7
1	0.0104166666666667	0	0	unweighted	No	D7
2	0.0104166666666667	0	0	unweighted	No	D7
3	0.0104166666666667	0	0	unweighted	No	D7
1	0.0104166666666667	0	0	weighted	Yes	D7
2	0.0104166666666667	0	0	weighted	Yes	D7
3	0.0104166666666667	0	0	weighted	Yes	D7
1	0.0104166666666667	0	0	unweighted	Yes	D7
2	0.0104166666666667	0	0	unweighted	Yes	D7
3	0.0104166666666667	0	0	unweighted	Yes	D7
1	0.0416666666666667	0	0	weighted	No	D7
2	0.0416666666666667	0	0	weighted	No	D7
3	0.0416666666666667	0	0	weighted	No	D7
1	0.0104166666666667	0	0	unweighted	No	D7
2	0.0104166666666667	0	0	unweighted	No	D7
3	0.0104166666666667	0	0	unweighted	No	D7
