SampleID	Group	Measure	Value
D508	D5	Simpson	0.676
D509	D5	Simpson	0.857
D510	D5	Simpson	0.699
D511	D5	Simpson	0.789
D512	D5	Simpson	0.782
D513	D5	Simpson	0.746
D514	D5	Simpson	0.754
D515	D5	Simpson	0.736
D516	D5	Simpson	0.751
D517	D5	Simpson	0.805
D518	D5	Simpson	0.723
D519	D5	Simpson	0.703
D520	D5	Simpson	0.795
D601	D6	Simpson	0.792
D602	D6	Simpson	0.748
D603	D6	Simpson	0.791
D604	D6	Simpson	0.594
D605	D6	Simpson	0.69
D606	D6	Simpson	0.732
D607	D6	Simpson	0.667
D608	D6	Simpson	0.679
D609	D6	Simpson	0.752
D610	D6	Simpson	0.64
D611	D6	Simpson	0.654
D612	D6	Simpson	0.782
D613	D6	Simpson	0.6
D614	D6	Simpson	0.727
D615	D6	Simpson	0.768
D616	D6	Simpson	0.737
D617	D6	Simpson	0.671
D618	D6	Simpson	0.702
D619	D6	Simpson	0.627
D620	D6	Simpson	0.627
D621	D6	Simpson	0.73
D622	D6	Simpson	0.804
D623	D6	Simpson	0.706
D624	D6	Simpson	0.589
D625	D6	Simpson	0.787
D626	D6	Simpson	0.719
D627	D6	Simpson	0.647
D628	D6	Simpson	0.794
D629	D6	Simpson	0.719
D630	D6	Simpson	0.72
D631	D6	Simpson	0.807
D632	D6	Simpson	0.789
D633	D6	Simpson	0.632
D634	D6	Simpson	0.792
D635	D6	Simpson	0.738
D636	D6	Simpson	0.667
D637	D6	Simpson	0.599
D638	D6	Simpson	0.798
D639	D6	Simpson	0.753
D640	D6	Simpson	0.647
D701	D7	Simpson	0.561
D702	D7	Simpson	0.654
D703	D7	Simpson	0.761
D704	D7	Simpson	0.746
D705	D7	Simpson	0.591
D706	D7	Simpson	0.419
D707	D7	Simpson	0.643
D708	D7	Simpson	0.707
D709	D7	Simpson	0.741
D710	D7	Simpson	0.542
D711	D7	Simpson	0.567
D712	D7	Simpson	0.783
D713	D7	Simpson	0.587
D714	D7	Simpson	0.677
D715	D7	Simpson	0.81
D716	D7	Simpson	0.595
D717	D7	Simpson	0.762
D718	D7	Simpson	0.639
D719	D7	Simpson	0.585
D720	D7	Simpson	0.476
D721	D7	Simpson	0.692
D722	D7	Simpson	0.742
D723	D7	Simpson	0.715
D724	D7	Simpson	0.269
D725	D7	Simpson	0.591
D726	D7	Simpson	0.767
D727	D7	Simpson	0.595
D728	D7	Simpson	0.725
D729	D7	Simpson	0.408
D730	D7	Simpson	0.12
D731	D7	Simpson	0.469
D732	D7	Simpson	0.666
D733	D7	Simpson	0.298
D734	D7	Simpson	0.683
D735	D7	Simpson	0.762
D736	D7	Simpson	0.717
D737	D7	Simpson	0.656
D738	D7	Simpson	0.693
D739	D7	Simpson	0.444
D740	D7	Simpson	0.742
D001	D0	InvSimpson	26.768
D002	D0	InvSimpson	24.399
D003	D0	InvSimpson	24.127
D004	D0	InvSimpson	26.801
D005	D0	InvSimpson	27.079
D006	D0	InvSimpson	27.041
D007	D0	InvSimpson	27.196
D008	D0	InvSimpson	24.777
D009	D0	InvSimpson	24.548
D010	D0	InvSimpson	24.556
D011	D0	InvSimpson	24.689
D012	D0	InvSimpson	24.17
D013	D0	InvSimpson	24.026
D014	D0	InvSimpson	24.309
D101	D1	InvSimpson	27.051
D102	D1	InvSimpson	19.502
D103	D1	InvSimpson	14.849
D104	D1	InvSimpson	11.256
D105	D1	InvSimpson	12.614
D106	D1	InvSimpson	17.822
D107	D1	InvSimpson	15.61
D108	D1	InvSimpson	17.644
D109	D1	InvSimpson	20.772
D110	D1	InvSimpson	11.186
D111	D1	InvSimpson	18.285
D112	D1	InvSimpson	13.764
D113	D1	InvSimpson	13.169
D114	D1	InvSimpson	16.467
D301	D3	InvSimpson	6.417
D302	D3	InvSimpson	5.298
D303	D3	InvSimpson	3.971
D304	D3	InvSimpson	4.377
D305	D3	InvSimpson	3.489
D306	D3	InvSimpson	3.333
D307	D3	InvSimpson	3.171
D308	D3	InvSimpson	6.073
D309	D3	InvSimpson	4.929
D310	D3	InvSimpson	3.584
D311	D3	InvSimpson	3.67
D312	D3	InvSimpson	2.153
D313	D3	InvSimpson	3.012
D314	D3	InvSimpson	4.756
D315	D3	InvSimpson	3.444
D316	D3	InvSimpson	4.122
D317	D3	InvSimpson	3.12
D318	D3	InvSimpson	3.524
D319	D3	InvSimpson	3.448
D320	D3	InvSimpson	4.227
D501	D5	InvSimpson	3.817
D502	D5	InvSimpson	3.725
D503	D5	InvSimpson	3.339
D504	D5	InvSimpson	4.12
D505	D5	InvSimpson	5.17
D506	D5	InvSimpson	3.844
D507	D5	InvSimpson	4.833
D508	D5	InvSimpson	3.084
D509	D5	InvSimpson	6.994
D510	D5	InvSimpson	3.317
D511	D5	InvSimpson	4.733
D512	D5	InvSimpson	4.587
D513	D5	InvSimpson	3.935
D514	D5	InvSimpson	4.066
D515	D5	InvSimpson	3.783
D516	D5	InvSimpson	4.016
D517	D5	InvSimpson	5.132
D518	D5	InvSimpson	3.615
D519	D5	InvSimpson	3.365
D520	D5	InvSimpson	4.883
D601	D6	InvSimpson	4.798
D602	D6	InvSimpson	3.968
D603	D6	InvSimpson	4.787
D604	D6	InvSimpson	2.461
D605	D6	InvSimpson	3.224
D606	D6	InvSimpson	3.732
D607	D6	InvSimpson	3.007
D608	D6	InvSimpson	3.114
D609	D6	InvSimpson	4.025
D610	D6	InvSimpson	2.775
D611	D6	InvSimpson	2.887
D612	D6	InvSimpson	4.591
D613	D6	InvSimpson	2.498
D614	D6	InvSimpson	3.665
D615	D6	InvSimpson	4.318
D616	D6	InvSimpson	3.795
D617	D6	InvSimpson	3.036
D618	D6	InvSimpson	3.352
D619	D6	InvSimpson	2.679
D620	D6	InvSimpson	2.683
D621	D6	InvSimpson	3.71
D622	D6	InvSimpson	5.101
D623	D6	InvSimpson	3.402
D624	D6	InvSimpson	2.434
D625	D6	InvSimpson	4.702
D626	D6	InvSimpson	3.564
D627	D6	InvSimpson	2.836
D628	D6	InvSimpson	4.852
D629	D6	InvSimpson	3.559
D630	D6	InvSimpson	3.572
D631	D6	InvSimpson	5.171
D632	D6	InvSimpson	4.729
D633	D6	InvSimpson	2.715
D634	D6	InvSimpson	4.801
D635	D6	InvSimpson	3.824
D636	D6	InvSimpson	3.001
D637	D6	InvSimpson	2.494
D638	D6	InvSimpson	4.952
D639	D6	InvSimpson	4.044
D640	D6	InvSimpson	2.836
D701	D7	InvSimpson	2.278
D702	D7	InvSimpson	2.892
D703	D7	InvSimpson	4.189
D704	D7	InvSimpson	3.939
D705	D7	InvSimpson	2.447
D706	D7	InvSimpson	1.721
D707	D7	InvSimpson	2.801
D708	D7	InvSimpson	3.417
D709	D7	InvSimpson	3.855
D710	D7	InvSimpson	2.185
D711	D7	InvSimpson	2.31
D712	D7	InvSimpson	4.605
D713	D7	InvSimpson	2.422
D714	D7	InvSimpson	3.093
D715	D7	InvSimpson	5.262
D716	D7	InvSimpson	2.469
D717	D7	InvSimpson	4.195
D718	D7	InvSimpson	2.768
D719	D7	InvSimpson	2.41
D720	D7	InvSimpson	1.909
D721	D7	InvSimpson	3.245
D722	D7	InvSimpson	3.877
D723	D7	InvSimpson	3.509
D724	D7	InvSimpson	1.368
D725	D7	InvSimpson	2.447
D726	D7	InvSimpson	4.289
D727	D7	InvSimpson	2.471
D728	D7	InvSimpson	3.63
D729	D7	InvSimpson	1.689
D730	D7	InvSimpson	1.136
D731	D7	InvSimpson	1.884
D732	D7	InvSimpson	2.998
D733	D7	InvSimpson	1.424
D734	D7	InvSimpson	3.154
D735	D7	InvSimpson	4.196
D736	D7	InvSimpson	3.529
D737	D7	InvSimpson	2.904
D738	D7	InvSimpson	3.254
D739	D7	InvSimpson	1.798
D740	D7	InvSimpson	3.881
D001	D0	Fisher	396.288
D002	D0	Fisher	363.135
D003	D0	Fisher	373.37
D004	D0	Fisher	384.568
D005	D0	Fisher	386.982
D006	D0	Fisher	390.779
D007	D0	Fisher	385.947
D008	D0	Fisher	366.724
D009	D0	Fisher	365.344
D010	D0	Fisher	366.207
D011	D0	Fisher	362.373
D012	D0	Fisher	374.215
D013	D0	Fisher	371.4
D014	D0	Fisher	367.425
D101	D1	Fisher	419.727
D102	D1	Fisher	367.525
D103	D1	Fisher	363.33
D104	D1	Fisher	335.015
D105	D1	Fisher	375.524
D106	D1	Fisher	312.389
D107	D1	Fisher	368.452
D108	D1	Fisher	363.445
D109	D1	Fisher	360.305
D110	D1	Fisher	224.373
D111	D1	Fisher	318.975
D112	D1	Fisher	327.59
D113	D1	Fisher	305.444
D114	D1	Fisher	383.28
D301	D3	Fisher	99.229
D302	D3	Fisher	64.299
D303	D3	Fisher	43.285
D304	D3	Fisher	76.976
D305	D3	Fisher	59.316
D306	D3	Fisher	71.559
D307	D3	Fisher	60.509
D308	D3	Fisher	79.704
D309	D3	Fisher	70.258
D310	D3	Fisher	61.514
D311	D3	Fisher	50.114
D312	D3	Fisher	74.838
D313	D3	Fisher	49.756
D314	D3	Fisher	58.697
D315	D3	Fisher	41.058
D316	D3	Fisher	51.15
D317	D3	Fisher	61.581
D318	D3	Fisher	45.675
D319	D3	Fisher	57.085
D320	D3	Fisher	44.021
D501	D5	Fisher	27.762
D502	D5	Fisher	39.114
D503	D5	Fisher	34.919
D504	D5	Fisher	39.977
D505	D5	Fisher	38.964
D506	D5	Fisher	40.032
D507	D5	Fisher	34.04
D508	D5	Fisher	38.587
D509	D5	Fisher	54.967
D510	D5	Fisher	31.724
D511	D5	Fisher	40.023
D512	D5	Fisher	18.952
D513	D5	Fisher	32.027
D514	D5	Fisher	42.604
D515	D5	Fisher	62.475
D516	D5	Fisher	43.163
D517	D5	Fisher	32.748
D518	D5	Fisher	32.59
D519	D5	Fisher	33.715
D520	D5	Fisher	45.223
D601	D6	Fisher	36.083
D602	D6	Fisher	30.12
D603	D6	Fisher	31.207
D604	D6	Fisher	27.886
D605	D6	Fisher	33.811
D606	D6	Fisher	30.385
D607	D6	Fisher	33.281
D608	D6	Fisher	29.019
D609	D6	Fisher	31.117
D610	D6	Fisher	25.066
D611	D6	Fisher	26.831
D612	D6	Fisher	32.572
D613	D6	Fisher	28.39
D614	D6	Fisher	32.521
D615	D6	Fisher	24.765
D616	D6	Fisher	27.158
D617	D6	Fisher	24.607
D618	D6	Fisher	29.379
D619	D6	Fisher	35.075
D620	D6	Fisher	25.285
D621	D6	Fisher	24.065
D622	D6	Fisher	39.554
D623	D6	Fisher	16.944
D624	D6	Fisher	14.458
D625	D6	Fisher	22.997
D626	D6	Fisher	30.018
D627	D6	Fisher	24.581
D628	D6	Fisher	30.621
D629	D6	Fisher	18.517
D630	D6	Fisher	24.113
D631	D6	Fisher	47.77
D632	D6	Fisher	31.007
D633	D6	Fisher	39.787
D634	D6	Fisher	37.248
D635	D6	Fisher	39.463
D636	D6	Fisher	30.248
D637	D6	Fisher	37.107
D638	D6	Fisher	34.037
D639	D6	Fisher	48.069
D640	D6	Fisher	13.201
D701	D7	Fisher	12.657
D702	D7	Fisher	18.512
D703	D7	Fisher	18.41
D704	D7	Fisher	10.828
D705	D7	Fisher	14.206
D706	D7	Fisher	6.609
D707	D7	Fisher	20.907
D708	D7	Fisher	16.11
D709	D7	Fisher	9.81
D710	D7	Fisher	13.924
D711	D7	Fisher	30.375
D712	D7	Fisher	23.616
D713	D7	Fisher	16.996
D714	D7	Fisher	14.636
D715	D7	Fisher	21.332
D716	D7	Fisher	11.728
D717	D7	Fisher	10.686
D718	D7	Fisher	13.363
D719	D7	Fisher	17.76
D720	D7	Fisher	13.584
D721	D7	Fisher	13.084
D722	D7	Fisher	17.287
D723	D7	Fisher	10.129
D724	D7	Fisher	11.445
D725	D7	Fisher	16.238
D726	D7	Fisher	9.187
D727	D7	Fisher	19.113
D728	D7	Fisher	20.157
D729	D7	Fisher	12.974
D730	D7	Fisher	4.301
D731	D7	Fisher	7.343
D732	D7	Fisher	18.77
D733	D7	Fisher	9.135
D734	D7	Fisher	13.334
D735	D7	Fisher	11.097
D736	D7	Fisher	7.445
D737	D7	Fisher	18.57
D738	D7	Fisher	9.74
D739	D7	Fisher	10.443
D740	D7	Fisher	14.861
D001	D0	Pielou	0.654
D002	D0	Pielou	0.648
D003	D0	Pielou	0.654
D004	D0	Pielou	0.656
D005	D0	Pielou	0.656
D006	D0	Pielou	0.655
D007	D0	Pielou	0.657
D008	D0	Pielou	0.648
D009	D0	Pielou	0.648
D010	D0	Pielou	0.647
D011	D0	Pielou	0.648
D012	D0	Pielou	0.653
D013	D0	Pielou	0.652
D014	D0	Pielou	0.654
D101	D1	Pielou	0.64
D102	D1	Pielou	0.592
D103	D1	Pielou	0.583
D104	D1	Pielou	0.543
D105	D1	Pielou	0.562
D106	D1	Pielou	0.579
D107	D1	Pielou	0.584
D108	D1	Pielou	0.595
D109	D1	Pielou	0.605
D110	D1	Pielou	0.525
D111	D1	Pielou	0.585
D112	D1	Pielou	0.557
D113	D1	Pielou	0.549
D114	D1	Pielou	0.585
D301	D3	Pielou	0.458
D302	D3	Pielou	0.373
D303	D3	Pielou	0.363
D304	D3	Pielou	0.385
D305	D3	Pielou	0.343
D306	D3	Pielou	0.336
D307	D3	Pielou	0.352
D308	D3	Pielou	0.433
D309	D3	Pielou	0.397
D310	D3	Pielou	0.344
D311	D3	Pielou	0.334
D312	D3	Pielou	0.293
D313	D3	Pielou	0.303
D314	D3	Pielou	0.366
D315	D3	Pielou	0.321
D316	D3	Pielou	0.342
D317	D3	Pielou	0.335
D318	D3	Pielou	0.319
D319	D3	Pielou	0.337
D320	D3	Pielou	0.35
D501	D5	Pielou	0.328
D502	D5	Pielou	0.337
D503	D5	Pielou	0.341
D504	D5	Pielou	0.357
D505	D5	Pielou	0.415
D506	D5	Pielou	0.364
D507	D5	Pielou	0.388
D508	D5	Pielou	0.329
D509	D5	Pielou	0.444
D510	D5	Pielou	0.334
D511	D5	Pielou	0.403
D512	D5	Pielou	0.457
D513	D5	Pielou	0.363
D514	D5	Pielou	0.379
D515	D5	Pielou	0.382
D516	D5	Pielou	0.342
D517	D5	Pielou	0.414
D518	D5	Pielou	0.301
D519	D5	Pielou	0.308
D520	D5	Pielou	0.406
D601	D6	Pielou	0.426
D602	D6	Pielou	0.352
D603	D6	Pielou	0.38
D604	D6	Pielou	0.275
D605	D6	Pielou	0.342
D606	D6	Pielou	0.342
D607	D6	Pielou	0.309
D608	D6	Pielou	0.285
D609	D6	Pielou	0.391
D610	D6	Pielou	0.279
D611	D6	Pielou	0.307
D612	D6	Pielou	0.373
D613	D6	Pielou	0.291
D614	D6	Pielou	0.338
D615	D6	Pielou	0.381
D616	D6	Pielou	0.38
D617	D6	Pielou	0.314
D618	D6	Pielou	0.313
D619	D6	Pielou	0.287
D620	D6	Pielou	0.301
D621	D6	Pielou	0.345
D622	D6	Pielou	0.415
D623	D6	Pielou	0.32
D624	D6	Pielou	0.272
D625	D6	Pielou	0.407
D626	D6	Pielou	0.338
D627	D6	Pielou	0.322
D628	D6	Pielou	0.41
D629	D6	Pielou	0.341
D630	D6	Pielou	0.318
D631	D6	Pielou	0.399
D632	D6	Pielou	0.362
D633	D6	Pielou	0.335
D634	D6	Pielou	0.404
D635	D6	Pielou	0.401
D636	D6	Pielou	0.325
D637	D6	Pielou	0.315
D638	D6	Pielou	0.414
D639	D6	Pielou	0.401
D640	D6	Pielou	0.309
D701	D7	Pielou	0.287
D702	D7	Pielou	0.291
D703	D7	Pielou	0.367
D704	D7	Pielou	0.38
D705	D7	Pielou	0.32
D706	D7	Pielou	0.23
D707	D7	Pielou	0.329
D708	D7	Pielou	0.394
D709	D7	Pielou	0.373
D710	D7	Pielou	0.292
D711	D7	Pielou	0.271
D712	D7	Pielou	0.396
D713	D7	Pielou	0.305
D714	D7	Pielou	0.351
D715	D7	Pielou	0.448
D716	D7	Pielou	0.297
D717	D7	Pielou	0.381
D718	D7	Pielou	0.338
D719	D7	Pielou	0.295
D720	D7	Pielou	0.262
D721	D7	Pielou	0.388
D722	D7	Pielou	0.375
D723	D7	Pielou	0.409
D724	D7	Pielou	0.147
D725	D7	Pielou	0.304
D726	D7	Pielou	0.412
D727	D7	Pielou	0.327
D728	D7	Pielou	0.326
D729	D7	Pielou	0.219
D730	D7	Pielou	0.097
D731	D7	Pielou	0.25
D732	D7	Pielou	0.313
D733	D7	Pielou	0.169
D734	D7	Pielou	0.361
D735	D7	Pielou	0.411
D736	D7	Pielou	0.419
D737	D7	Pielou	0.339
D738	D7	Pielou	0.352
D739	D7	Pielou	0.226
D740	D7	Pielou	0.399
D001	D0	Coverage	0.984
D002	D0	Coverage	0.987
D003	D0	Coverage	0.985
D004	D0	Coverage	0.985
D005	D0	Coverage	0.985
D006	D0	Coverage	0.983
D007	D0	Coverage	0.984
D008	D0	Coverage	0.986
D009	D0	Coverage	0.986
D010	D0	Coverage	0.985
D011	D0	Coverage	0.986
D012	D0	Coverage	0.985
D013	D0	Coverage	0.985
D014	D0	Coverage	0.986
D101	D1	Coverage	0.979
D102	D1	Coverage	0.981
D103	D1	Coverage	0.982
D104	D1	Coverage	0.98
D105	D1	Coverage	0.978
D106	D1	Coverage	0.982
D107	D1	Coverage	0.981
D108	D1	Coverage	0.982
D109	D1	Coverage	0.982
D110	D1	Coverage	0.985
D111	D1	Coverage	0.982
D112	D1	Coverage	0.982
D113	D1	Coverage	0.982
D114	D1	Coverage	0.979
D301	D3	Coverage	0.993
D302	D3	Coverage	0.994
D303	D3	Coverage	0.997
D304	D3	Coverage	0.994
D305	D3	Coverage	0.995
D306	D3	Coverage	0.994
D307	D3	Coverage	0.995
D308	D3	Coverage	0.994
D309	D3	Coverage	0.995
D310	D3	Coverage	0.995
D311	D3	Coverage	0.996
D312	D3	Coverage	0.994
D313	D3	Coverage	0.996
D314	D3	Coverage	0.995
D315	D3	Coverage	0.996
D316	D3	Coverage	0.996
D317	D3	Coverage	0.995
D318	D3	Coverage	0.996
D319	D3	Coverage	0.995
D320	D3	Coverage	0.996
D501	D5	Coverage	0.998
D502	D5	Coverage	0.997
D503	D5	Coverage	0.997
D504	D5	Coverage	0.997
D505	D5	Coverage	0.996
D506	D5	Coverage	0.997
D507	D5	Coverage	0.997
D508	D5	Coverage	0.997
D509	D5	Coverage	0.994
D510	D5	Coverage	0.997
D511	D5	Coverage	0.997
D512	D5	Coverage	0.999
D513	D5	Coverage	0.997
D514	D5	Coverage	0.996
D515	D5	Coverage	0.995
D516	D5	Coverage	0.996
D517	D5	Coverage	0.997
D518	D5	Coverage	0.997
D519	D5	Coverage	0.997
D520	D5	Coverage	0.996
D601	D6	Coverage	0.997
D602	D6	Coverage	0.997
D603	D6	Coverage	0.997
D604	D6	Coverage	0.997
D605	D6	Coverage	0.998
D606	D6	Coverage	0.998
D607	D6	Coverage	0.998
D608	D6	Coverage	0.997
D609	D6	Coverage	0.997
D610	D6	Coverage	0.998
D611	D6	Coverage	0.998
D612	D6	Coverage	0.997
D613	D6	Coverage	0.998
D614	D6	Coverage	0.997
D615	D6	Coverage	0.998
D616	D6	Coverage	0.998
D617	D6	Coverage	0.998
D618	D6	Coverage	0.998
D619	D6	Coverage	0.997
D620	D6	Coverage	0.998
D621	D6	Coverage	0.998
D622	D6	Coverage	0.997
D623	D6	Coverage	0.999
D624	D6	Coverage	0.999
D625	D6	Coverage	0.998
D626	D6	Coverage	0.998
D627	D6	Coverage	0.998
D628	D6	Coverage	0.997
D629	D6	Coverage	0.998
D630	D6	Coverage	0.998
D631	D6	Coverage	0.996
D632	D6	Coverage	0.997
D633	D6	Coverage	0.997
D634	D6	Coverage	0.997
D635	D6	Coverage	0.997
D636	D6	Coverage	0.998
D637	D6	Coverage	0.997
D638	D6	Coverage	0.997
D639	D6	Coverage	0.997
D640	D6	Coverage	0.999
D701	D7	Coverage	0.999
D702	D7	Coverage	0.998
D703	D7	Coverage	0.998
D704	D7	Coverage	0.999
D705	D7	Coverage	0.999
D706	D7	Coverage	0.999
D707	D7	Coverage	0.998
D708	D7	Coverage	0.999
D709	D7	Coverage	0.999
D710	D7	Coverage	0.999
D711	D7	Coverage	0.998
D712	D7	Coverage	0.997
D713	D7	Coverage	0.998
D714	D7	Coverage	0.999
D715	D7	Coverage	0.999
D716	D7	Coverage	0.999
D717	D7	Coverage	0.999
D718	D7	Coverage	0.999
D719	D7	Coverage	0.999
D720	D7	Coverage	0.999
D721	D7	Coverage	0.999
D722	D7	Coverage	0.998
D723	D7	Coverage	0.999
D724	D7	Coverage	0.999
D725	D7	Coverage	0.999
D726	D7	Coverage	0.999
D727	D7	Coverage	0.998
D728	D7	Coverage	0.998
D729	D7	Coverage	0.999
D730	D7	Coverage	1
D731	D7	Coverage	0.999
D732	D7	Coverage	0.998
D733	D7	Coverage	0.999
D734	D7	Coverage	0.999
D735	D7	Coverage	0.999
D736	D7	Coverage	1
D737	D7	Coverage	0.999
D738	D7	Coverage	0.999
D739	D7	Coverage	0.999
D740	D7	Coverage	0.999
D001	D0	PD	131.449
D002	D0	PD	127.329
D003	D0	PD	128.42
D004	D0	PD	128.433
D005	D0	PD	130.637
D006	D0	PD	130.516
D007	D0	PD	129.775
D008	D0	PD	129.208
D009	D0	PD	130.009
D010	D0	PD	127.834
D011	D0	PD	128.647
D012	D0	PD	128.771
D013	D0	PD	128.555
D014	D0	PD	127.686
D101	D1	PD	124.668
D102	D1	PD	116.417
D103	D1	PD	117.248
D104	D1	PD	113.365
D105	D1	PD	123.186
D106	D1	PD	110.75
D107	D1	PD	117.507
D108	D1	PD	116.354
D109	D1	PD	115.925
D110	D1	PD	98.011
D111	D1	PD	112.178
D112	D1	PD	112.961
D113	D1	PD	109.012
D114	D1	PD	121.39
D301	D3	PD	45.339
D302	D3	PD	34.08
D303	D3	PD	24.944
D304	D3	PD	35.202
D305	D3	PD	32.146
D306	D3	PD	37.307
D307	D3	PD	32.875
D308	D3	PD	34.86
D309	D3	PD	31.163
D310	D3	PD	32.835
D311	D3	PD	26.224
D312	D3	PD	34.722
D313	D3	PD	24.978
D314	D3	PD	29.086
D315	D3	PD	24.256
D316	D3	PD	27.809
D317	D3	PD	32.077
D318	D3	PD	24.464
D319	D3	PD	29.462
D320	D3	PD	25.452
D501	D5	PD	17.06
D502	D5	PD	19.772
D503	D5	PD	18.693
D504	D5	PD	19.886
D505	D5	PD	18.965
D506	D5	PD	20.766
D507	D5	PD	19.352
D508	D5	PD	21.398
D509	D5	PD	24.991
D510	D5	PD	18.38
D511	D5	PD	20.475
D512	D5	PD	13.709
D513	D5	PD	19.639
D514	D5	PD	21.216
D515	D5	PD	27.313
D516	D5	PD	21.836
D517	D5	PD	18.365
D518	D5	PD	19.95
D519	D5	PD	18.136
D520	D5	PD	23.947
D601	D6	PD	21.6
D602	D6	PD	18.732
D603	D6	PD	21.009
D604	D6	PD	20.486
D605	D6	PD	21.667
D606	D6	PD	21.205
D607	D6	PD	22.001
D608	D6	PD	19.311
D609	D6	PD	20.318
D610	D6	PD	18.331
D611	D6	PD	19.675
D612	D6	PD	19.556
D613	D6	PD	18.093
D614	D6	PD	19.532
D615	D6	PD	18.028
D616	D6	PD	17.095
D617	D6	PD	17.79
D618	D6	PD	18.823
D619	D6	PD	22.029
D620	D6	PD	16.673
D621	D6	PD	14.72
D622	D6	PD	20.461
D623	D6	PD	12.308
D624	D6	PD	11.37
D625	D6	PD	14.272
D626	D6	PD	16.133
D627	D6	PD	16.205
D628	D6	PD	17.274
D629	D6	PD	13.325
D630	D6	PD	15.049
D631	D6	PD	21.687
D632	D6	PD	17.678
D633	D6	PD	20.395
D634	D6	PD	19.492
D635	D6	PD	19.166
D636	D6	PD	15.965
D637	D6	PD	20.441
D638	D6	PD	18.939
D639	D6	PD	23.969
D640	D6	PD	11.852
D701	D7	PD	12.653
D702	D7	PD	14.405
D703	D7	PD	15.285
D704	D7	PD	11.48
D705	D7	PD	10.784
D706	D7	PD	9.733
D707	D7	PD	12.209
D708	D7	PD	12.615
D709	D7	PD	9.71
D710	D7	PD	12.646
D711	D7	PD	20.35
D712	D7	PD	18.631
D713	D7	PD	14.929
D714	D7	PD	11.873
D715	D7	PD	13.862
D716	D7	PD	11.05
D717	D7	PD	9.959
D718	D7	PD	9.331
D719	D7	PD	11.866
D720	D7	PD	11.273
D721	D7	PD	10.529
D722	D7	PD	12.437
D723	D7	PD	8.172
D724	D7	PD	10.596
D725	D7	PD	11.885
D726	D7	PD	8.8
D727	D7	PD	11.864
D728	D7	PD	12.486
D729	D7	PD	10.246
D730	D7	PD	5.298
D731	D7	PD	6.268
D732	D7	PD	13.075
D733	D7	PD	8.341
D734	D7	PD	8.735
D735	D7	PD	8.614
D736	D7	PD	7.862
D737	D7	PD	12.077
D738	D7	PD	8.511
D739	D7	PD	9.343
D740	D7	PD	11.085
