SampleID	Group	Measure	Value
D623	D6	Chao1	178.789
D624	D6	Chao1	174.895
D625	D6	Chao1	270.286
D626	D6	Chao1	306.758
D627	D6	Chao1	265.129
D628	D6	Chao1	320.938
D629	D6	Chao1	217.5
D630	D6	Chao1	236.217
D631	D6	Chao1	418.019
D632	D6	Chao1	345.812
D633	D6	Chao1	359
D634	D6	Chao1	405.107
D635	D6	Chao1	385.6
D636	D6	Chao1	276.538
D637	D6	Chao1	387.941
D638	D6	Chao1	369.688
D639	D6	Chao1	430.17
D640	D6	Chao1	149.316
D701	D7	Chao1	198
D702	D7	Chao1	236.316
D703	D7	Chao1	211.75
D704	D7	Chao1	126.667
D705	D7	Chao1	153
D706	D7	Chao1	107
D707	D7	Chao1	238.182
D708	D7	Chao1	163.053
D709	D7	Chao1	119.545
D710	D7	Chao1	162.812
D711	D7	Chao1	331.75
D712	D7	Chao1	260.5
D713	D7	Chao1	223.056
D714	D7	Chao1	157.333
D715	D7	Chao1	208.273
D716	D7	Chao1	138.111
D717	D7	Chao1	125.545
D718	D7	Chao1	147.167
D719	D7	Chao1	184
D720	D7	Chao1	209.5
D721	D7	Chao1	146.154
D722	D7	Chao1	249.588
D723	D7	Chao1	103.857
D724	D7	Chao1	120.636
D725	D7	Chao1	190.333
D726	D7	Chao1	99.214
D727	D7	Chao1	231.353
D728	D7	Chao1	220
D729	D7	Chao1	160
D730	D7	Chao1	46.857
D731	D7	Chao1	88.25
D732	D7	Chao1	207.3
D733	D7	Chao1	142
D734	D7	Chao1	124.5
D735	D7	Chao1	133.091
D736	D7	Chao1	82.429
D737	D7	Chao1	215
D738	D7	Chao1	135.5
D739	D7	Chao1	114.062
D740	D7	Chao1	140.105
D001	D0	se.chao1	55.086
D002	D0	se.chao1	46.422
D003	D0	se.chao1	53.054
D004	D0	se.chao1	47.573
D005	D0	se.chao1	47.167
D006	D0	se.chao1	64.413
D007	D0	se.chao1	52.128
D008	D0	se.chao1	48.967
D009	D0	se.chao1	51.145
D010	D0	se.chao1	51.256
D011	D0	se.chao1	46.215
